,equity
2024-08-13,2281890.2514226087
2024-08-14,2209916.9462454217
2024-08-15,2166803.6684177765
2024-08-16,2217281.891193719
2024-08-17,2240032.199362146
2024-08-18,2200172.192636548
2024-08-19,2238769.820238762
2024-08-20,2222322.371868896
2024-08-21,2303013.3365249857
2024-08-22,2273515.0462930007
2024-08-23,2412835.1800326626
2024-08-24,2416335.398336025
2024-08-25,2419492.2586644855
2024-08-26,2366243.535879061
2024-08-27,2304243.559658287
2024-08-28,2307173.892210459
2024-08-29,2333546.8851800086
2024-08-30,2332081.7189039225
2024-08-31,2299848.060830028
2024-09-01,2225559.2725256286
2024-09-02,2297076.6254374287
2024-09-03,2232124.7897797916
2024-09-04,2251372.204019907
2024-09-05,2180877.886575739
2024-09-06,2094595.52749218
2024-09-07,2102918.997080014
2024-09-08,2130659.0872314977
2024-09-09,2215534.382670741
2024-09-10,2238275.715157055
2024-09-11,2227086.27111992
2024-09-12,2257620.3751737806
2024-09-13,2351105.586215708
2024-09-14,2330336.617456332
2024-09-15,2296396.675893806
2024-09-16,2260315.22323103
2024-09-17,2342309.275979269
2024-09-18,2398772.5556848384
2024-09-19,2444892.899820825
2024-09-20,2454525.2342456295
2024-09-21,2460415.845921203
2024-09-22,2469124.7871644306
2024-09-23,2459592.6358518414
2024-09-24,2784899.7588324808
2024-09-25,2709589.756301512
2024-09-26,2616654.0084973383
2024-09-27,2643893.796646838
2024-09-28,2691964.0110283075
2024-09-29,2805730.185064452
2024-09-30,2832969.9732139506
2024-10-01,2805730.1850644513
2024-10-02,2962759.5520439176
2024-10-03,2955973.644898444
2024-10-04,3021818.3374353587
2024-10-05,3020114.703546197
2024-10-06,3057371.3738891315
2024-10-07,3027474.968685349
2024-10-08,3023525.363298373
2024-10-09,2948388.2149324273
2024-10-10,2933553.014111238
2024-10-11,3042419.7561563533
2024-10-12,3075493.3384621143
2024-10-13,3058822.9604234765
2024-10-14,3215222.787687329
2024-10-15,3263715.070544781
2024-10-16,3290482.086538976
2024-10-17,3280464.773400826
2024-10-18,3329945.939871605
2024-10-19,3327240.62293928
2024-10-20,3358917.0178169603
2024-10-21,3277995.9709547595
2024-10-22,3173940.0972296274
2024-10-23,3180788.2782274433
2024-10-24,3224160.0912136137
2024-10-25,2986756.4832893135
2024-10-26,3121437.376246369
2024-10-27,3276662.8121968727
2024-10-28,3671574.5830709487
2024-10-29,4000287.2709661336
2024-10-30,3829082.7460207245
2024-10-31,3671574.583070948
2024-11-01,3619071.8620876893
2024-11-02,3628202.770084778
2024-11-03,3441019.156144464
2024-11-04,3598527.3190942407
2024-11-05,3866910.9376494586
2024-11-06,4474247.722856894
2024-11-07,4399183.625808783
2024-11-08,4597079.88166289
2024-11-09,4983773.714941032
2024-11-10,6321279.4441619
2024-11-11,8004534.953725578
2024-11-12,8652815.791868346
2024-11-13,9091827.026119413
2024-11-14,8247924.601730055
2024-11-15,8680111.827158567
2024-11-16,8286593.98505787
2024-11-17,8350284.734068387
2024-11-18,8450370.1967992
2024-11-19,8416568.661221739
2024-11-20,8996210.102676041
2024-11-21,9528459.476590054
2024-11-22,12375629.072664332
2024-11-23,19006872.98464783
2024-11-24,19524540.18393406
2024-11-25,17515845.6289572
2024-11-26,15955552.943784613
2024-11-27,17614275.307694722
2024-11-28,18186625.661835138
2024-11-29,19954714.335453607
2024-11-30,19123530.381670076
2024-12-01,20344787.506746754
2024-12-02,19626615.40632853
2024-12-03,19742518.00453019
2024-12-04,20242150.013689283
2024-12-05,19892683.190708842
2024-12-06,20478022.883049957
2024-12-07,20483869.797122497
2024-12-08,20743889.742446948
2024-12-09,19951238.769445866
2024-12-10,19811196.842314586
2024-12-11,20746618.713957053
2024-12-12,20507660.830800276
2024-12-13,20793276.71780729
2024-12-14,20787754.97530232
2024-12-15,21409612.669510074
2024-12-16,21752207.67056577
2024-12-17,22379938.518133786
2024-12-18,20121560.41793018
2024-12-19,19491315.366710566
2024-12-20,19858958.313255336
2024-12-21,19482561.9632214
2024-12-22,19176192.841100756
2024-12-23,19683890.24347211
2024-12-24,20398363.44137935
2024-12-25,20553956.324420016
2024-12-26,19790485.08313653
2024-12-27,19476840.17146604
2024-12-28,19678319.797328614
2024-12-29,19351132.96906922
2024-12-30,19160333.179878455
2024-12-31,19314401.70550842
2025-01-01,19521323.15600773
2025-01-02,20040100.316617604
2025-01-03,20295479.849399798
2025-01-04,20311588.423634846
2025-01-05,20339152.3056999
2025-01-06,21152997.49548333
2025-01-07,20048687.09587148
2025-01-08,19657524.29682923
2025-01-09,19139890.882479724
2025-01-10,19587049.590880804
2025-01-11,19558025.85397024
2025-01-12,19544732.097317748
2025-01-13,19547211.751055513
2025-01-14,20587932.2663516
2025-01-15,21351738.67673832
2025-01-16,21238395.800442196
2025-01-17,22119633.944234543
2025-01-18,22187968.985232107
2025-01-19,21501406.472140204
2025-01-20,21701081.551515646
2025-01-21,22555695.071668904
2025-01-22,22025350.399576552
2025-01-23,22081828.812935755
2025-01-24,22278244.86604183
2025-01-25,22252302.76099319
2025-01-26,21792408.937528774
2025-01-27,21683374.45983483
2025-01-28,21603538.336983293
2025-01-29,21688710.34795482
2025-01-30,21809299.812013295
2025-01-31,21322777.052346304
2025-02-01,20948025.097133115
2025-02-02,20330286.678585425
2025-02-03,21118256.608978838
2025-02-04,20357128.113162834
2025-02-05,20115415.06877856
2025-02-06,20100960.205320112
2025-02-07,20094394.73306378
2025-02-08,20082500.278887287
2025-02-09,20084583.994083416
2025-02-10,20287124.858087353
2025-02-11,19937925.28150411
2025-02-12,20373723.84085016
2025-02-13,20115222.66345247
2025-02-14,20297557.553347193
2025-02-15,20315771.68331853
2025-02-16,20011123.186225474
2025-02-17,19939852.856858794
2025-02-18,19906621.957331672
2025-02-19,20116931.669247504
2025-02-20,20471778.308541544
2025-02-21,20014782.665138572
2025-02-22,20104331.65453705
2025-02-23,20040563.465103704
2025-02-24,19054471.284604393
2025-02-25,18445034.83299187
2025-02-26,17512288.21389624
2025-02-27,17622397.31113536
2025-02-28,17552711.091983177
2025-03-01,17912416.213580593
2025-03-02,19624581.86774964
2025-03-03,17934974.67332765
2025-03-04,18163217.492916614
2025-03-05,18861678.36461617
2025-03-06,18720359.61646004
2025-03-07,18061466.079158574
2025-03-08,17948723.73917884
2025-03-09,16802597.030271307
2025-03-10,16353503.205300432
2025-03-11,17260639.717290685
2025-03-12,17415859.489172887
2025-03-13,16878030.587903198
2025-03-14,17484621.471344426
2025-03-15,17559653.277337614
2025-03-16,17188386.867075026
2025-03-17,17490793.45926979
2025-03-18,17218439.14015378
2025-03-19,18084757.267245498
2025-03-20,17522681.716615047
2025-03-21,17498154.04925431
2025-03-22,17451715.30435482
2025-03-23,17920969.56878629
2025-03-24,18218392.775114838
2025-03-25,17941921.717496417
2025-03-26,17597131.97286663
2025-03-27,18150911.189573005
2025-03-28,17638872.688219815
2025-03-29,17160283.938211307
2025-03-30,17141986.638330456
2025-03-31,17106436.88773797
2025-04-01,17654833.901341494
2025-04-02,17096253.180332087
2025-04-03,17235300.11459359
2025-04-04,17381253.408658963
2025-04-05,17307000.156703204
2025-04-06,16237898.156091476
2025-04-07,16399682.599716296
