candidate_id,family_id,strategy_kind,top_n,frequency,score_family,liquidity_label,min_history_days,min_daily_dollar_volume,include_btc,overlay_set,risk_off_asset,initial_asset,stop_kind,stop_lookback,stop_confirm_days,ma_window,total_return,cagr,annualized_volatility,sharpe,sortino,max_drawdown,calmar,monthly_win_rate,annualized_turnover,avg_turnover_per_rebalance,average_holdings,multiple,median_rolling_start_multiple,cost_survival_100bps,stability_score,trial_count_estimate,best_rolling_3y_multiple,median_rolling_3y_multiple,hundred_x_hit_rate_3y,best_rolling_5y_multiple,median_rolling_5y_multiple,hundred_x_hit_rate_5y,raw_convexity_score,robust_convexity_score
focus__medium__21D__ctrend_lite_relative_strength__btc0__ma150__c2__cash,ctrend_lite,ctrend_lite,1,21D,ctrend_lite_relative_strength,medium,90,25000000,False,btc_ma_defensive,cash,cash,ma,,2,150,0.26810822696686976,0.0515742432275037,0.7120430284341579,0.4078594447181329,0.7438021491603006,-0.8603702677475928,0.05994424163740867,0.19298245614035087,16.302204176334108,1.673913043478261,0.4573913043478261,1.2681082269668698,1.2681082269668698,0.0,0.0,192,0.0,0.0,0.0,0.0,0.0,0.0,-5.20298520720713,-0.10896729417661112
focus__medium__21D__ctrend_lite_relative_strength__btc0__ma125__c2__cash,ctrend_lite,ctrend_lite,1,21D,ctrend_lite_relative_strength,medium,90,25000000,False,btc_ma_defensive,cash,cash,ma,,2,125,0.23631435794519984,0.0459363373766164,0.7068034864054547,0.3981357248095817,0.7247785241565383,-0.8430396047982975,0.054488943479241346,0.22807017543859648,16.725638051044083,1.5490196078431373,0.4533333333333333,1.2363143579451998,1.2363143579451998,0.0,0.0,192,0.0,0.0,0.0,0.0,0.0,0.0,-5.211811802234107,-0.11333034150368783
focus__strict__14D__ctrend_lite_balanced__btc0__ma75__c1__cash,ctrend_lite,ctrend_lite,1,14D,ctrend_lite_balanced,strict,90,25000000,False,btc_ma_defensive,cash,cash,ma,,1,75,0.19646202909087784,0.03870571432537706,0.7673496355685452,0.4015898328105716,0.7771054353554554,-0.7490897951781028,0.05167032654099157,0.2982456140350877,25.19431554524362,1.4166666666666667,0.4098550724637681,1.1964620290908778,1.1964620290908778,0.0,0.0,192,0.0,0.0,0.0,0.0,0.0,0.0,-5.21246392671818,-0.10860444894481676
focus__medium__14D__ctrend_lite_balanced__btc0__ma75__c1__cash,ctrend_lite,ctrend_lite,1,14D,ctrend_lite_balanced,medium,90,25000000,False,btc_ma_defensive,cash,cash,ma,,1,75,0.19646202909087784,0.03870571432537706,0.7673496355685452,0.4015898328105716,0.7771054353554554,-0.7490897951781028,0.05167032654099157,0.2982456140350877,25.19431554524362,1.4166666666666667,0.4098550724637681,1.1964620290908778,1.1964620290908778,0.0,0.0,192,0.0,0.0,0.0,0.0,0.0,0.0,-5.21246392671818,-0.10860444894481676
focus__medium__21D__ctrend_lite_relative_strength__btc0__ma150__c1__cash,ctrend_lite,ctrend_lite,1,21D,ctrend_lite_relative_strength,medium,90,25000000,False,btc_ma_defensive,cash,cash,ma,,1,150,0.21513766474807072,0.04211740173018308,0.7108923448796552,0.3946785947434274,0.7190361042880775,-0.8616532104451096,0.04887975953623643,0.21052631578947367,16.302204176334108,1.673913043478261,0.4533333333333333,1.2151376647480707,1.2151376647480707,0.0,0.0,192,0.0,0.0,0.0,0.0,0.0,0.0,-5.222378622191311,-0.1220245317691504
focus__medium__21D__ctrend_lite_relative_strength__btc0__ma100__c1__cash,ctrend_lite,ctrend_lite,1,21D,ctrend_lite_relative_strength,medium,90,25000000,False,btc_ma_defensive,cash,cash,ma,,1,100,0.18393506180488117,0.03639367685691974,0.6626927820832326,0.3649175457527843,0.6790422480052114,-0.8355112755195858,0.04355857057020245,0.22807017543859648,15.455336426914153,1.489795918367347,0.39072463768115945,1.1839350618048812,1.1839350618048812,0.0,0.0,192,0.0,0.0,0.0,0.0,0.0,0.0,-5.23016349073544,-0.12417681676464054
focus__medium__14D__ctrend_lite_relative_strength__btc0__ma100__c1__cash,ctrend_lite,ctrend_lite,1,14D,ctrend_lite_relative_strength,medium,90,25000000,False,btc_ma_defensive,cash,cash,ma,,1,100,0.15342556055390588,0.03068093366087843,0.7288027218168368,0.3850860886148665,0.7216384658359692,-0.7734323522743073,0.03966854188431603,0.2807017543859649,25.19431554524362,1.4875,0.4353623188405797,1.1534255605539059,1.1534255605539059,0.0,0.0,192,0.0,0.0,0.0,0.0,0.0,0.0,-5.232599993726573,-0.12446274932669925
focus__strict__21D__ctrend_lite_relative_strength__btc0__ma100__c1__cash,ctrend_lite,ctrend_lite,1,21D,ctrend_lite_relative_strength,strict,90,25000000,False,btc_ma_defensive,cash,cash,ma,,1,100,0.1756917496795778,0.0348617100217643,0.6626171813719056,0.36265031347347604,0.674849105682896,-0.8355112755195858,0.041725002454436756,0.22807017543859648,15.031902552204176,1.4791666666666667,0.39072463768115945,1.1756917496795778,1.1756917496795778,0.0,0.0,192,0.0,0.0,0.0,0.0,0.0,0.0,-5.23330763669035,-0.1260611971305589
focus__strict__14D__ctrend_lite_relative_strength__btc0__ma100__c1__cash,ctrend_lite,ctrend_lite,1,14D,ctrend_lite_relative_strength,strict,90,25000000,False,btc_ma_defensive,cash,cash,ma,,1,100,0.1453946750639079,0.02915741123570892,0.7287342028538962,0.383022909223612,0.7177845736868389,-0.7734323522743073,0.037698722001957174,0.2807017543859649,24.770881670533644,1.481012658227848,0.4353623188405797,1.145394675063908,1.145394675063908,0.0,0.0,192,0.0,0.0,0.0,0.0,0.0,0.0,-5.235744139681483,-0.12634712969261758
focus__strict__21D__ctrend_lite_relative_strength__btc0__ma125__c1__cash,ctrend_lite,ctrend_lite,1,21D,ctrend_lite_relative_strength,strict,90,25000000,False,btc_ma_defensive,cash,cash,ma,,1,125,0.12583393085311623,0.02541103837271863,0.6995157856031592,0.3666697005251247,0.6687786959908255,-0.8297528527280945,0.030624827970366364,0.2631578947368421,15.455336426914153,1.553191489361702,0.4318840579710145,1.1258339308531162,1.1258339308531162,0.0,0.0,192,0.0,0.0,0.0,0.0,0.0,0.0,-5.2519435723320305,-0.13812102888321856
