base_id,family,kind,frequency,regime_mode,top_n,score_family,concentrated,overlay_id,target_volatility,vol_window,trend_window,asset_trend_window,risk_on_kind,risk_on_window,candidate_id,total_return,cagr,annualized_volatility,sharpe,sortino,max_drawdown,calmar,monthly_win_rate,annualized_turnover,avg_turnover_per_rebalance,average_holdings,avg_gross_exposure,max_gross_exposure,beats_btc_total,beats_btc_sharpe
MOM_LEAD_top1,momentum_lead,momentum_lead,14D,bull_only,1.0,,True,asset_ma50_btc_ma100,,30,,50.0,btc_ma,100,MOM_LEAD_top1__asset_ma50_btc_ma100,21.479658739511827,0.7226264768140425,0.9497689325147649,1.016354156443813,1.9934070065357343,-0.7308408740145389,0.988760347850587,0.3333333333333333,16.59885112494016,1.484375,0.4244019138755981,0.4244019138755981,1.0,True,True
MOM_LEAD_top1,momentum_lead,momentum_lead,14D,bull_only,1.0,,True,asset_ma100_btc_ma100,,30,,100.0,btc_ma,100,MOM_LEAD_top1__asset_ma100_btc_ma100,19.746072889459246,0.6986397939297493,0.9531289290154331,1.0014177768897308,1.9615965150168568,-0.7252576162676605,0.9632988034308518,0.3333333333333333,16.249401627573,1.5245901639344261,0.43444976076555025,0.43444976076555025,1.0,True,True
MOM_LEAD_top1,momentum_lead,momentum_lead,14D,bull_only,1.0,,True,asset_ma50_vol60,0.6,30,,50.0,none,100,MOM_LEAD_top1__asset_ma50_vol60,9.049912772143946,0.49658902017197515,0.4443622551564509,1.121611015751211,2.26710098221017,-0.45618883040942904,1.0885602344237297,0.34782608695652173,8.452170737604192,0.5560253399733951,0.4631578947368421,0.21971497649801391,1.0,True,True
MOM_LEAD_top1,momentum_lead,momentum_lead,14D,bull_only,1.0,,True,asset_ma100_vol60,0.6,30,,100.0,none,100,MOM_LEAD_top1__asset_ma100_vol60,8.370468467682507,0.4783959002985674,0.44982626711984625,1.0862604253212123,2.174206845355488,-0.4190110079059165,1.141726330029938,0.34782608695652173,8.307027698661054,0.5659941572897241,0.4818181818181818,0.23144330767206836,1.0,True,True
MOM_LEAD_top2,momentum_lead,momentum_lead,14D,bull_only,2.0,,True,none,,30,,,none,100,MOM_LEAD_top2__none,4.545217520388922,0.3489038310173076,0.8267467499400206,0.7635370919093665,1.351160389817613,-0.7771874984673992,0.44893134759030495,0.2898550724637681,17.795179221028327,1.1842666260824521,0.9942583732057416,0.4971291866028708,1.0000000000000009,True,True
MOM_LEAD_top2,momentum_lead,momentum_lead,14D,bull_only,2.0,,True,vol30,0.3,30,,,none,100,MOM_LEAD_top2__vol30,2.3437991678914187,0.23480316687469838,0.2289154425515605,1.0339085245840574,1.9334705058589998,-0.2764655402288825,0.8493035576162862,0.34782608695652173,5.719339200021671,0.38062120384980147,0.9942583732057416,0.15202305050891687,0.9723843808788202,True,True
MOM_LEAD_top2,momentum_lead,momentum_lead,14D,bull_only,2.0,,True,vol40,0.4,30,,,none,100,MOM_LEAD_top2__vol40,3.594872518284217,0.305315710215714,0.29959620369237394,1.0361928515331864,1.940510404638356,-0.36393129994468,0.838937761775709,0.34782608695652173,7.448600545620454,0.49570329849637246,0.9942583732057416,0.19805263575272217,1.0000000000000004,True,True
MOM_LEAD_top2,momentum_lead,momentum_lead,14D,bull_only,2.0,,True,vol50,0.5,30,,,none,100,MOM_LEAD_top2__vol50,5.173312970552917,0.3744315330176815,0.36723932891473904,1.0454564443846501,1.9627499844945842,-0.4385314300801,0.853830552006933,0.34782608695652173,9.10657272920405,0.6060411096306869,0.9942583732057416,0.24142580730584118,1.0000000000000004,True,True
MOM_LEAD_top2,momentum_lead,momentum_lead,14D,bull_only,2.0,,True,vol60,0.6,30,,,none,100,MOM_LEAD_top2__vol60,7.082586854538331,0.44069321913093873,0.4319699771887936,1.0556325038265806,1.987370388634834,-0.501827755801729,0.8781762547726747,0.34782608695652173,10.642798435474129,0.7082767101530887,0.9942583732057416,0.28179464479768584,1.0000000000000004,True,True
MOM_LEAD_top2,momentum_lead,momentum_lead,14D,bull_only,2.0,,True,vol80,0.8,30,,,none,100,MOM_LEAD_top2__vol80,9.38022674873976,0.505069257016127,0.5401997463359617,1.018914007428248,1.9037691781984547,-0.6031431782887353,0.8373952905330572,0.34782608695652173,13.026469377149086,0.8669096696038366,0.9942583732057416,0.3486241909104465,1.0000000000000007,True,True
