weight_name,momentum_rank,ret_14_rank,ret_21_rank,accel_rank,near_high_rank,multiple,cagr,sharpe,mdd,turnover
all5_016,0.5344444967539871,0.12196167376486886,0.21378881197703176,7.225509251337122e-05,0.12973276241159898,202.05625249480283,3.723639576480867,2.2223623119607154,-0.5373737925034301,38.387734456313325
all5_105,0.667163601462451,0.08654614991197955,0.08200336954397615,0.00512989668907389,0.15915698239251924,199.29907335150224,3.7046962813446154,2.224206097313915,-0.537373792551026,37.80166507759993
all5_023,0.564618634205243,0.0069086523256338675,0.34507975614821274,0.01020118305966457,0.07319177426124568,195.36834342212953,3.6773667810237276,2.2633912415895026,-0.5078751284617207,37.800988075927485
all5_058,0.5632547258049803,0.05195269965222591,0.3122229244328634,0.005119692231469515,0.06744995787846095,195.23001478124152,3.6763979535754654,2.253388014520395,-0.5078751284617208,37.80119566839354
all5_135,0.32164900568230864,0.08208366879458237,0.46883942247322824,0.00010858732365091608,0.1273193157262301,193.12999150269604,3.6616297755605185,2.2323963115838352,-0.5078751284617207,40.1455142555125
all5_162,0.5305302937568545,0.05362208442282508,0.3066700859387842,0.010856603401976134,0.09832093247956013,191.62352421527876,3.650965578791036,2.243773502445432,-0.5078751284617213,38.387301017457965
all5_092,0.5748577597515132,0.1575793161041613,0.2213103667856292,0.007315654476561365,0.03893690288213488,190.1225048662059,3.640280786989619,2.233183724579998,-0.5373737925034301,37.2151670406979
all5_151,0.5470530324526107,0.06401072450710867,0.3270775451343769,0.027449787662672226,0.03440891024323139,185.9581272286107,3.610321349706857,2.2484928962118964,-0.5078751284617211,38.97308687309607
all5_167,0.6025138648815122,0.05123149497954663,0.2570687760037374,0.05420812321901171,0.0349777409161922,185.9581272286107,3.610321349706857,2.2484928962118964,-0.5078751284617211,38.97308687309607
all5_015,0.7427470346336271,0.012663710489562262,0.09969527749428934,0.020946398595032893,0.12394757878748824,184.7292959362136,3.601390259460768,2.2141664552377773,-0.5078751285123524,36.629234158938864
all5_068,0.6108374325030007,0.033169373409419674,0.18468752196461902,1.4322542515940407e-06,0.17130423986870902,184.4679758891222,3.5994855806065607,2.2274992153906217,-0.5078751285123516,37.80108249817501
all5_178,0.6407839626060938,0.02973206525379406,0.16064963525309675,0.011310070727720816,0.15752426615929443,184.4679758891222,3.5994855806065607,2.2274992153906217,-0.5078751285123516,37.80108249817501
all5_095,0.5858609436389434,0.05045115674143101,0.17637159266910454,0.03385647166293028,0.15345983528759097,183.8409648179388,3.5949076976294965,2.2030423265091232,-0.5078751284617214,38.38710973814667
all5_088,0.5370845044252608,0.13531415578398054,0.26923789876656556,0.0005527561407091835,0.05781068488348389,183.52765041110408,3.5926160113632806,2.2222718233477146,-0.5373737925034299,37.80147772997192
all5_101,0.6681248620750714,0.01594037678542146,0.21478366877922794,0.02174785663435003,0.07940323572592925,182.49623522648665,3.5850522854794225,2.229042126233735,-0.5078751284617207,37.21503915522305
all5_090,0.5804281359961898,0.04138942971232872,0.21964975139568937,0.011288251378249105,0.14724443151754288,182.19668641009565,3.582849923939171,2.2160470125966096,-0.5078751284617209,38.38718644935854
all5_010,0.4783516268043297,0.1415161306915786,0.31123013045284514,0.004470514288476937,0.06443159776276969,180.4744033330043,3.570137284864635,2.213513678708661,-0.5373737925034301,38.38758307903635
all5_049,0.46220403106388147,0.1372478252974373,0.3253702205761147,0.0004618594991449988,0.07471606356342157,180.4744033330043,3.570137284864635,2.213513678708661,-0.5373737925034301,38.38758307903635
all5_056,0.5142746624848576,0.15925175218589016,0.25767713631465106,1.0605575500627008e-06,0.06879538845705098,180.4744033330043,3.570137284864635,2.213513678708661,-0.5373737925034301,38.38758307903635
all5_099,0.4734569780917486,0.11211997478997675,0.3427827762089821,0.005596491874312427,0.06604377903497996,180.13733801194456,3.5676392808109405,2.212826461844506,-0.5373737925034303,38.38758307903635
all5_129,0.5671100577207003,0.09836512991191566,0.22417777628382352,0.031923343402073444,0.07842369268148693,180.13733801194456,3.5676392808109405,2.212826461844506,-0.5373737925034303,38.38758307903635
all5_144,0.5456507677286325,0.11366013778568532,0.25318433678980484,0.01677374760935676,0.0707310100865206,180.13733801194456,3.5676392808109405,2.212826461844506,-0.5373737925034303,38.38758307903635
all5_165,0.6549832027567989,0.03884282661053786,0.11774357387669884,0.0006385577752736342,0.1877918389806907,180.0831183457017,3.5672371480767326,2.217293728879855,-0.507875128512352,38.387344536023306
all5_103,0.513894607485463,0.047566569446041956,0.2251495498575424,0.02037278350338522,0.19301648970756732,179.1358201868752,3.560197427903555,2.192402515508439,-0.5078751284617211,38.97337177599496
all5_073,0.5194672518800351,0.003697327526981558,0.26374761824864346,0.02149811644863515,0.19158968589570483,177.92203966711884,3.551138778598701,2.2020021468449937,-0.5078751284617204,38.973212834954616
all5_022,0.4723544537210535,0.014448658905265224,0.3801122549930847,0.00027773140667754036,0.1328069009739189,176.33070028096054,3.5391958615616685,2.215291884285898,-0.507875128461721,38.973289546166484
all5_040,0.47216661485151423,0.01122815305652786,0.36053990769562744,0.00029725872721233994,0.155768065669118,176.33070028096054,3.5391958615616685,2.215291884285898,-0.507875128461721,38.973289546166484
all5_076,0.43061576800665663,0.019520440412999163,0.33269430818634993,0.0001637683621532914,0.2170057150318408,173.9959607634966,3.521534969663671,2.2044403321666093,-0.5198751312240191,37.80097003670592
all5_152,0.7082247681793808,0.040865419356080485,0.13375575399562473,0.035796559775682586,0.0813574986932314,173.7933905682568,3.5199947612026348,2.2103284423814724,-0.5078751284617207,37.21504002827265
all5_098,0.5699432504105435,0.012153865894666094,0.20258523917526625,0.0014644787354082937,0.2138531657841159,173.59566109270747,3.518490132833816,2.1970686458660835,-0.53051146363799,38.38711319788617
all5_153,0.5225009295070969,0.04229372514425903,0.22035723939384075,0.04566367885116136,0.16918442710364182,173.33338802285783,3.5164924860058138,2.1927327296254546,-0.5078751284617208,38.97324740742475
all5_002,0.40953376686184984,0.061131917124495685,0.3591445049375968,8.059879025301655e-05,0.17010921228580458,171.78308965727513,3.5046404863892757,2.2059104336448914,-0.5078751284617211,38.97332411863662
all5_147,0.6011848296880727,0.01449380421476376,0.1769182175158269,0.0037862895161039985,0.20361685906523264,169.9885218699871,3.4908261664964906,2.176962130308019,-0.5309513857758048,38.9733449563255
all5_104,0.35166930665893564,0.029704492636488045,0.39443773104305835,2.3474514169654328e-05,0.22416499514734822,169.50856362626791,3.4871140409359827,2.195106426279375,-0.5198751312240191,37.80100460917605
all5_079,0.641721163375322,0.13105616630149433,0.13681619545281853,0.0040682025845439835,0.0863382722858211,167.44538352246073,3.4710716204871677,2.189482147321586,-0.5373737925034296,37.21535578927155
all5_154,0.5816995823796315,0.1901897704447669,0.16561596768403936,0.00032818428269404187,0.06216649520886831,167.44538352246073,3.4710716204871677,2.189482147321586,-0.5373737925034296,37.21535578927155
