universe,min_history_days,min_daily_dollar_volume,earliest_universe_date,weight_name,stop_lb,seed_asset,risk_off_asset,multiple,cagr,sharpe,max_drawdown,annualized_turnover
loose,30,5000000,2022-12-31,balanced,14,btc,cash,20.231880014576916,1.4097597176094747,1.63450529665729,-0.36211759491621,16.39767165152821
loose,30,5000000,2022-12-31,balanced,14,eth,cash,20.231880014576916,1.4097597176094747,1.63450529665729,-0.36211759491621,16.39767165152821
loose,30,5000000,2022-12-31,balanced,14,cash,cash,20.231880014576916,1.4097597176094747,1.63450529665729,-0.36211759491621,16.39767165152821
medium,60,10000000,2023-01-30,base,14,btc,btc,19.949444783117123,1.399872108898422,1.5259381662492324,-0.5746927933893382,36.91187587743335
medium,60,10000000,2023-01-30,base,14,eth,btc,19.949444783117123,1.399872108898422,1.5259381662492324,-0.5746927933893382,36.91187587743335
medium,60,10000000,2023-01-30,base,14,cash,btc,19.949444783117123,1.399872108898422,1.5259381662492324,-0.5746927933893382,36.91187587743335
medium,60,10000000,2023-01-30,short_accel,12,btc,eth,19.754281389087726,1.392981735483132,1.4381719785389582,-0.6420393024551851,35.15573032195212
medium,60,10000000,2023-01-30,short_accel,12,eth,eth,19.754281389087726,1.392981735483132,1.4381719785389582,-0.6420393024551851,35.15573032195212
medium,60,10000000,2023-01-30,short_accel,12,cash,eth,19.754281389087726,1.392981735483132,1.4381719785389582,-0.6420393024551851,35.15573032195212
medium,60,10000000,2023-01-30,breakout,12,btc,eth,19.473303575640745,1.3829765291136287,1.426262676248873,-0.6594680239395663,35.74165125564165
medium,60,10000000,2023-01-30,breakout,12,eth,eth,19.473303575640745,1.3829765291136287,1.426262676248873,-0.6594680239395663,35.74165125564165
medium,60,10000000,2023-01-30,breakout,12,cash,eth,19.473303575640745,1.3829765291136287,1.426262676248873,-0.6594680239395663,35.74165125564165
medium,60,10000000,2023-01-30,short_accel,13,btc,eth,19.466877207355942,1.3827465042779945,1.427550966470269,-0.702109149737346,35.15506001849515
medium,60,10000000,2023-01-30,short_accel,13,eth,eth,19.466877207355942,1.3827465042779945,1.427550966470269,-0.702109149737346,35.15506001849515
medium,60,10000000,2023-01-30,short_accel,13,cash,eth,19.466877207355942,1.3827465042779945,1.427550966470269,-0.702109149737346,35.15506001849515
loose,30,5000000,2022-12-31,short_accel,13,btc,eth,18.87041966863496,1.3611589028556064,1.4191234472621153,-0.702109149737346,35.741097123263735
loose,30,5000000,2022-12-31,short_accel,13,eth,eth,18.87041966863496,1.3611589028556064,1.4191234472621153,-0.702109149737346,35.741097123263735
loose,30,5000000,2022-12-31,short_accel,13,cash,eth,18.87041966863496,1.3611589028556064,1.4191234472621153,-0.702109149737346,35.741097123263735
medium,60,10000000,2023-01-30,breakout,14,btc,cash,18.778346410058056,1.3577836483339225,1.597867547731298,-0.4586075343613799,16.397789469001065
medium,60,10000000,2023-01-30,breakout,14,eth,cash,18.778346410058056,1.3577836483339225,1.597867547731298,-0.4586075343613799,16.397789469001065
medium,60,10000000,2023-01-30,breakout,14,cash,cash,18.778346410058056,1.3577836483339225,1.597867547731298,-0.4586075343613799,16.397789469001065
medium,60,10000000,2023-01-30,breakout,13,btc,eth,18.106332219407264,1.3327870818762517,1.3969098476906348,-0.7073692936912306,34.56881381617253
medium,60,10000000,2023-01-30,breakout,13,eth,eth,18.106332219407264,1.3327870818762517,1.3969098476906348,-0.7073692936912306,34.56881381617253
medium,60,10000000,2023-01-30,breakout,13,cash,eth,18.106332219407264,1.3327870818762517,1.3969098476906348,-0.7073692936912306,34.56881381617253
loose,30,5000000,2022-12-31,balanced,13,btc,eth,17.758995685925814,1.319609277307638,1.3913924398229827,-0.699774241150376,34.568776484415416
loose,30,5000000,2022-12-31,balanced,13,eth,eth,17.758995685925814,1.319609277307638,1.3913924398229827,-0.699774241150376,34.568776484415416
loose,30,5000000,2022-12-31,balanced,13,cash,eth,17.758995685925814,1.319609277307638,1.3913924398229827,-0.699774241150376,34.568776484415416
loose,30,5000000,2022-12-31,short_accel,12,btc,eth,17.321714616161724,1.30275711957573,1.4070341925738585,-0.6883769828709916,35.74159434488297
loose,30,5000000,2022-12-31,short_accel,12,eth,eth,17.321714616161724,1.30275711957573,1.4070341925738585,-0.6883769828709916,35.74159434488297
loose,30,5000000,2022-12-31,short_accel,12,cash,eth,17.321714616161724,1.30275711957573,1.4070341925738585,-0.6883769828709916,35.74159434488297
loose,30,5000000,2022-12-31,base,13,btc,cash,17.314224624491523,1.3024658579201573,1.605862354290578,-0.39613321223764464,16.398720299439315
loose,30,5000000,2022-12-31,base,13,eth,cash,17.314224624491523,1.3024658579201573,1.605862354290578,-0.39613321223764464,16.398720299439315
loose,30,5000000,2022-12-31,base,13,cash,cash,17.314224624491523,1.3024658579201573,1.605862354290578,-0.39613321223764464,16.398720299439315
medium,60,10000000,2023-01-30,balanced,14,btc,cash,16.904614488250438,1.2863998483781205,1.5466484616880667,-0.3621175949162099,16.397899284136543
medium,60,10000000,2023-01-30,balanced,14,eth,cash,16.904614488250438,1.2863998483781205,1.5466484616880667,-0.3621175949162099,16.397899284136543
medium,60,10000000,2023-01-30,balanced,14,cash,cash,16.904614488250438,1.2863998483781205,1.5466484616880667,-0.3621175949162099,16.397899284136543
loose,30,5000000,2022-12-31,balanced,12,btc,eth,15.88091149352786,1.2450063426695248,1.368720633854539,-0.6883769828709911,35.74153877459901
loose,30,5000000,2022-12-31,balanced,12,eth,eth,15.88091149352786,1.2450063426695248,1.368720633854539,-0.6883769828709911,35.74153877459901
loose,30,5000000,2022-12-31,balanced,12,cash,eth,15.88091149352786,1.2450063426695248,1.368720633854539,-0.6883769828709911,35.74153877459901
medium,60,10000000,2023-01-30,balanced,13,btc,eth,15.686074628508432,1.236915651394984,1.3464695351786633,-0.699774241150376,34.5689594642708
medium,60,10000000,2023-01-30,balanced,13,eth,eth,15.686074628508432,1.236915651394984,1.3464695351786633,-0.699774241150376,34.5689594642708
medium,60,10000000,2023-01-30,balanced,13,cash,eth,15.686074628508432,1.236915651394984,1.3464695351786633,-0.699774241150376,34.5689594642708
loose,30,5000000,2022-12-31,breakout,14,btc,btc,15.610339329745562,1.2337515152753702,1.4075276122922764,-0.5682833972448134,36.911945397254414
loose,30,5000000,2022-12-31,breakout,14,eth,btc,15.610339329745562,1.2337515152753702,1.4075276122922764,-0.5682833972448134,36.911945397254414
loose,30,5000000,2022-12-31,breakout,14,cash,btc,15.610339329745562,1.2337515152753702,1.4075276122922764,-0.5682833972448134,36.911945397254414
medium,60,10000000,2023-01-30,balanced,12,btc,eth,15.506954177889932,1.2294146178840548,1.3466495029214585,-0.6420393024551855,35.74189512326019
medium,60,10000000,2023-01-30,balanced,12,eth,eth,15.506954177889932,1.2294146178840548,1.3466495029214585,-0.6420393024551855,35.74189512326019
medium,60,10000000,2023-01-30,balanced,12,cash,eth,15.506954177889932,1.2294146178840548,1.3466495029214585,-0.6420393024551855,35.74189512326019
loose,30,5000000,2022-12-31,base,14,btc,cash,15.131577197293707,1.2134938061725,1.5568161685307258,-0.38809911024613275,16.39780737637451
loose,30,5000000,2022-12-31,base,14,eth,cash,15.131577197293707,1.2134938061725,1.5568161685307258,-0.38809911024613275,16.39780737637451
loose,30,5000000,2022-12-31,base,14,cash,cash,15.131577197293707,1.2134938061725,1.5568161685307258,-0.38809911024613275,16.39780737637451
loose,30,5000000,2022-12-31,short_accel,14,btc,eth,14.946614930208051,1.205546085081402,1.3443183148906694,-0.7503268888613939,36.91152825458067
loose,30,5000000,2022-12-31,short_accel,14,eth,eth,14.946614930208051,1.205546085081402,1.3443183148906694,-0.7503268888613939,36.91152825458067
loose,30,5000000,2022-12-31,short_accel,14,cash,eth,14.946614930208051,1.205546085081402,1.3443183148906694,-0.7503268888613939,36.91152825458067
medium,60,10000000,2023-01-30,short_accel,14,btc,eth,14.584057569761141,1.1897630308942002,1.3323288606900743,-0.7503268888613939,36.325571394563276
medium,60,10000000,2023-01-30,short_accel,14,eth,eth,14.584057569761141,1.1897630308942002,1.3323288606900743,-0.7503268888613939,36.325571394563276
medium,60,10000000,2023-01-30,short_accel,14,cash,eth,14.584057569761141,1.1897630308942002,1.3323288606900743,-0.7503268888613939,36.325571394563276
loose,30,5000000,2022-12-31,base,12,btc,cash,14.219444232594974,1.1736079590576334,1.5598990376388158,-0.4007932863738407,16.398210652550837
loose,30,5000000,2022-12-31,base,12,eth,cash,14.219444232594974,1.1736079590576334,1.5598990376388158,-0.4007932863738407,16.398210652550837
loose,30,5000000,2022-12-31,base,12,cash,cash,14.219444232594974,1.1736079590576334,1.5598990376388158,-0.4007932863738407,16.398210652550837
medium,60,10000000,2023-01-30,base,13,btc,cash,13.785775697201341,1.1540069890325686,1.491930837879768,-0.3961332122376442,16.984397936050122
medium,60,10000000,2023-01-30,base,13,eth,cash,13.785775697201341,1.1540069890325686,1.491930837879768,-0.3961332122376442,16.984397936050122
medium,60,10000000,2023-01-30,base,13,cash,cash,13.785775697201341,1.1540069890325686,1.491930837879768,-0.3961332122376442,16.984397936050122
loose,30,5000000,2022-12-31,balanced,14,btc,eth,13.547029622852616,1.1430293376162775,1.303440705143708,-0.7503268888613938,36.911482932103794
loose,30,5000000,2022-12-31,balanced,14,eth,eth,13.547029622852616,1.1430293376162775,1.303440705143708,-0.7503268888613938,36.911482932103794
loose,30,5000000,2022-12-31,balanced,14,cash,eth,13.547029622852616,1.1430293376162775,1.303440705143708,-0.7503268888613938,36.911482932103794
medium,60,10000000,2023-01-30,base,14,btc,cash,12.944479479024212,1.114701626078948,1.4736110343809026,-0.3621175949162099,16.398046683661796
