weight_name,freq,stop_lb,momentum_rank,ret_21_rank,ret_42_rank,near_high_rank,multiple,cagr,sharpe,mdd,turnover,monthly_win_rate
rand_060,15D,12,0.5074841410429314,0.18090273019951914,0.14579866795474863,0.16581446080280082,2.429766550509846,0.2964783616652187,0.8249239032170146,-0.4916970625401976,22.25282804613517,0.5476190476190477
rand_062,15D,12,0.657374902715932,0.1890398292037676,0.11987582071048586,0.033709447369814384,2.429766550509846,0.2964783616652187,0.8249239032170146,-0.4916970625401976,22.25282804613517,0.5476190476190477
rand_066,15D,12,0.4595622398001827,0.3311922713152952,0.11722262233898857,0.09202286654553343,2.429766550509846,0.2964783616652187,0.8249239032170146,-0.4916970625401976,22.25282804613517,0.5476190476190477
rand_067,15D,12,0.6390237612631556,0.129569620129906,0.20154714849972066,0.02985947010721787,2.429766550509846,0.2964783616652187,0.8249239032170146,-0.4916970625401976,22.25282804613517,0.5476190476190477
rand_069,15D,12,0.4483483732293588,0.240360908497548,0.16020118527310717,0.1510895329999862,2.429766550509846,0.2964783616652187,0.8249239032170146,-0.4916970625401976,22.25282804613517,0.5476190476190477
rand_073,15D,12,0.39284999346377125,0.21608276453171957,0.30813160016962965,0.08293564183487957,2.429766550509846,0.2964783616652187,0.8249239032170146,-0.4916970625401976,22.25282804613517,0.5476190476190477
rand_074,15D,12,0.3672125524594976,0.07275360022526194,0.44059692196361583,0.11943692535162474,2.429766550509846,0.2964783616652187,0.8249239032170146,-0.4916970625401976,22.25282804613517,0.5476190476190477
rand_076,15D,12,0.6066186341772144,0.12318276301759666,0.2356475501410311,0.03455105266415786,2.429766550509846,0.2964783616652187,0.8249239032170146,-0.4916970625401976,22.25282804613517,0.5476190476190477
rand_079,15D,12,0.3031322658889515,0.09997940234523915,0.4557462766410041,0.1411420551248052,2.429766550509846,0.2964783616652187,0.8249239032170146,-0.4916970625401976,22.25282804613517,0.5476190476190477
rand_037,13D,14,0.6427352932609703,0.16240481310631108,0.16406148540450266,0.0307984082282159,2.3228157474685225,0.27952149628876555,0.7815264117363067,-0.5293290034192832,23.71664222698548,0.6190476190476191
rand_062,13D,14,0.657374902715932,0.1890398292037676,0.11987582071048586,0.033709447369814384,2.3228157474685225,0.27952149628876555,0.7815264117363067,-0.5293290034192832,23.71664222698548,0.6190476190476191
rand_067,13D,14,0.6390237612631556,0.129569620129906,0.20154714849972066,0.02985947010721787,2.3228157474685225,0.27952149628876555,0.7815264117363067,-0.5293290034192832,23.71664222698548,0.6190476190476191
rand_076,13D,14,0.6066186341772144,0.12318276301759666,0.2356475501410311,0.03455105266415786,2.3228157474685225,0.27952149628876555,0.7815264117363067,-0.5293290034192832,23.71664222698548,0.6190476190476191
rand_054,15D,13,0.2190388600393667,0.13199006453975765,0.17918583251316061,0.4697852429077152,2.2867463720669314,0.27367830456067166,0.7660693024877757,-0.5212856061984041,19.908958339079547,0.5476190476190477
rand_072,15D,13,0.15082749003137266,0.25325185709366643,0.1680144615718284,0.42790619130313257,2.2867463720669314,0.27367830456067166,0.7660693024877757,-0.5212856061984041,19.908958339079547,0.5476190476190477
rand_075,15D,13,0.22484970443723343,0.19441391525058746,0.23259426088084906,0.34814211943133005,2.2867463720669314,0.27367830456067166,0.7660693024877757,-0.5212856061984041,19.908958339079547,0.5476190476190477
rand_011,13D,14,0.6791403635640597,0.21349972040250284,0.030039414911524537,0.07732050112191301,2.2438683890491298,0.26664666459188924,0.7608272600689556,-0.5293290034192829,23.716659963855495,0.6190476190476191
rand_017,13D,14,0.6969959201062872,0.22026671472541398,0.008035596920384778,0.0747017682479139,2.2438683890491298,0.26664666459188924,0.7608272600689556,-0.5293290034192829,23.716659963855495,0.6190476190476191
rand_037,13D,11,0.6427352932609703,0.16240481310631108,0.16406148540450266,0.0307984082282159,2.2378728858058134,0.2656558943123013,0.7580013782744149,-0.4978037864096767,25.76789784406875,0.5714285714285714
rand_062,13D,11,0.657374902715932,0.1890398292037676,0.11987582071048586,0.033709447369814384,2.2378728858058134,0.2656558943123013,0.7580013782744149,-0.4978037864096767,25.76789784406875,0.5714285714285714
rand_067,13D,11,0.6390237612631556,0.129569620129906,0.20154714849972066,0.02985947010721787,2.2378728858058134,0.2656558943123013,0.7580013782744149,-0.4978037864096767,25.76789784406875,0.5714285714285714
