min_history_days,min_daily_dollar_volume,earliest_universe_date,variant,multiple,cagr,sharpe,mdd,turnover
7,5000000,2022-11-30,exbtceth,150.12481226980714,3.3305453557964624,2.1708364078243982,-0.507875128512352,38.97377495195931
14,5000000,2022-12-05,exbtceth,150.12481226980714,3.3305453557964624,2.1708364078243982,-0.507875128512352,38.97377495195931
21,5000000,2022-12-19,exbtceth,150.12481226980714,3.3305453557964624,2.1708364078243982,-0.507875128512352,38.97377495195931
30,5000000,2022-12-31,exbtceth,150.12481226980714,3.3305453557964624,2.1708364078243982,-0.507875128512352,38.97377495195931
45,5000000,2023-01-16,exbtceth,150.12481226980714,3.3305453557964624,2.1708364078243982,-0.507875128512352,38.97377495195931
60,5000000,2023-01-30,exbtceth,145.47386592917957,3.290869305723721,2.170864113173433,-0.4605124612877747,38.973384386392596
30,1000000,2022-12-31,exbtceth,127.43622000615332,3.1279144717784213,2.109362908068614,-0.5078751285123517,39.55944317829875
45,1000000,2023-01-16,exbtceth,127.43622000615332,3.1279144717784213,2.109362908068614,-0.5078751285123517,39.55944317829875
30,2000000,2022-12-31,all,118.80694760988789,3.0441265416899235,2.108815965733571,-0.5078751284617204,38.38715555268238
45,2000000,2023-01-16,all,118.80694760988789,3.0441265416899235,2.108815965733571,-0.5078751284617204,38.38715555268238
0,1000000,2022-11-21,exbtceth,110.21135946296944,2.9562684634775795,2.0606504034509197,-0.5042239409940161,39.55957394939172
7,1000000,2022-11-30,exbtceth,110.21135946296944,2.9562684634775795,2.0606504034509197,-0.5042239409940161,39.55957394939172
14,1000000,2022-12-05,exbtceth,110.21135946296944,2.9562684634775795,2.0606504034509197,-0.5042239409940161,39.55957394939172
21,1000000,2022-12-19,exbtceth,110.21135946296944,2.9562684634775795,2.0606504034509197,-0.5042239409940161,39.55957394939172
60,1000000,2023-01-30,exbtceth,107.50274747769129,2.9275806597696734,2.0851953949220703,-0.507875128512352,39.55892017293899
30,0,2022-12-31,exbtc,107.23771291254754,2.9247462313813966,1.8863465600985507,-0.5078751284617207,39.56016401925963
45,0,2023-01-16,exbtc,107.23771291254754,2.9247462313813966,1.8863465600985507,-0.5078751284617207,39.56016401925963
30,0,2022-12-31,all,106.76222700635249,2.919648671001511,1.8849539701638462,-0.5078751284617209,38.38790411777104
45,0,2023-01-16,all,106.76222700635249,2.919648671001511,1.8849539701638462,-0.5078751284617209,38.38790411777104
0,2000000,2022-11-21,all,102.74845887408084,2.875964584250645,2.059354183473119,-0.5042239346127131,38.38728632376095
7,2000000,2022-11-30,all,102.74845887408084,2.875964584250645,2.059354183473119,-0.5042239346127131,38.38728632376095
14,2000000,2022-12-05,all,102.74845887408084,2.875964584250645,2.059354183473119,-0.5042239346127131,38.38728632376095
21,2000000,2022-12-19,all,102.74845887408084,2.875964584250645,2.059354183473119,-0.5042239346127131,38.38728632376095
60,2000000,2023-01-30,all,100.2232590301587,2.847859082206094,2.0852863822712835,-0.5078751284617207,38.38663254732262
30,2000000,2022-12-31,exbtc,93.97929410518755,2.776145101232516,2.0221006732277718,-0.5078751285123522,40.145752476049324
45,2000000,2023-01-16,exbtc,93.97929410518755,2.776145101232516,2.0221006732277718,-0.5078751285123522,40.145752476049324
0,0,2022-11-21,exbtc,92.74297468802519,2.7615483190713297,1.8427174995685085,-0.504223934612714,39.560294790338205
7,0,2022-11-30,exbtc,92.74297468802519,2.7615483190713297,1.8427174995685085,-0.504223934612714,39.560294790338205
14,0,2022-12-05,exbtc,92.74297468802519,2.7615483190713297,1.8427174995685085,-0.504223934612714,39.560294790338205
21,0,2022-12-19,exbtc,92.74297468802519,2.7615483190713297,1.8427174995685085,-0.504223934612714,39.560294790338205
0,0,2022-11-21,all,92.33175762487603,2.756662724297072,1.8413227098237324,-0.5042239346127126,38.38803488884961
7,0,2022-11-30,all,92.33175762487603,2.756662724297072,1.8413227098237324,-0.5042239346127126,38.38803488884961
14,0,2022-12-05,all,92.33175762487603,2.756662724297072,1.8413227098237324,-0.5042239346127126,38.38803488884961
21,0,2022-12-19,all,92.33175762487603,2.756662724297072,1.8413227098237324,-0.5042239346127126,38.38803488884961
60,0,2023-01-30,exbtc,90.46367485449667,2.7342724754266476,1.8539528158776177,-0.5078751284617212,39.55964101389987
60,0,2023-01-30,all,90.06256407688251,2.729422307212911,1.8525308304598054,-0.5078751284617211,38.38738111241128
0,2000000,2022-11-21,exbtc,81.27662421407997,2.6191262875379375,1.9725057625174887,-0.5042239409940168,40.1458832471423
7,2000000,2022-11-30,exbtc,81.27662421407997,2.6191262875379375,1.9725057625174887,-0.5042239409940168,40.1458832471423
14,2000000,2022-12-05,exbtc,81.27662421407997,2.6191262875379375,1.9725057625174887,-0.5042239409940168,40.1458832471423
21,2000000,2022-12-19,exbtc,81.27662421407997,2.6191262875379375,1.9725057625174887,-0.5042239409940168,40.1458832471423
60,2000000,2023-01-30,exbtc,79.27912740847027,2.592883178535231,1.996037369065621,-0.5078751285123522,40.14522947068956
30,0,2022-12-31,exbtceth,72.18811471081571,2.495760340524159,1.7810611336479316,-0.5078751284617209,38.97433420890128
45,0,2023-01-16,exbtceth,72.18811471081571,2.495760340524159,1.7810611336479316,-0.5078751284617209,38.97433420890128
30,2000000,2022-12-31,exbtceth,62.97814001115395,2.3589640748986507,1.908933853198843,-0.507875128512352,39.559922665690976
45,2000000,2023-01-16,exbtceth,62.97814001115395,2.3589640748986507,1.908933853198843,-0.507875128512352,39.559922665690976
0,0,2022-11-21,exbtceth,62.43083998687263,2.35040042274189,1.7364323610335226,-0.5042239346127133,38.97446497997986
7,0,2022-11-30,exbtceth,62.43083998687263,2.35040042274189,1.7364323610335226,-0.5042239346127133,38.97446497997986
14,0,2022-12-05,exbtceth,62.43083998687263,2.35040042274189,1.7364323610335226,-0.5042239346127133,38.97446497997986
21,0,2022-12-19,exbtceth,62.43083998687263,2.35040042274189,1.7364323610335226,-0.5042239346127133,38.97446497997986
60,0,2023-01-30,exbtceth,60.8965070234564,2.3261059061423173,1.746535143823403,-0.5078751284617209,38.97381120354152
60,10000000,2023-01-30,all,60.53580863765709,2.3203318857512145,1.8506956649193032,-0.4605124612877748,38.387522007877216
0,10000000,2022-11-21,all,56.73617639562411,2.257975809207884,1.8334087945566668,-0.507875128536801,38.38784346673647
7,10000000,2022-11-30,all,56.73617639562411,2.257975809207884,1.8334087945566668,-0.507875128536801,38.38784346673647
14,10000000,2022-12-05,all,56.73617639562411,2.257975809207884,1.8334087945566668,-0.507875128536801,38.38784346673647
21,10000000,2022-12-19,all,56.73617639562411,2.257975809207884,1.8334087945566668,-0.507875128536801,38.38784346673647
30,10000000,2022-12-31,all,56.73617639562411,2.257975809207884,1.8334087945566668,-0.507875128536801,38.38784346673647
45,10000000,2023-01-16,all,56.73617639562411,2.257975809207884,1.8334087945566668,-0.507875128536801,38.38784346673647
0,2000000,2022-11-21,exbtceth,54.46572745757332,2.2192923885243236,1.857834123295401,-0.5042239409940168,39.56005343678394
7,2000000,2022-11-30,exbtceth,54.46572745757332,2.2192923885243236,1.857834123295401,-0.5042239409940168,39.56005343678394
14,2000000,2022-12-05,exbtceth,54.46572745757332,2.2192923885243236,1.857834123295401,-0.5042239409940168,39.56005343678394
21,2000000,2022-12-19,exbtceth,54.46572745757332,2.2192923885243236,1.857834123295401,-0.5042239409940168,39.56005343678394
60,2000000,2023-01-30,exbtceth,53.12714926656526,2.195948566189488,1.880434294269803,-0.5078751285123517,39.55939966033121
60,10000000,2023-01-30,exbtc,49.278726067571846,2.1264295270810796,1.7725199225200146,-0.4605124612877738,40.731555484780884
0,10000000,2022-11-21,exbtc,46.18566362029513,2.0677149510669732,1.754965868642838,-0.5078751285368017,40.73187694364013
7,10000000,2022-11-30,exbtc,46.18566362029513,2.0677149510669732,1.754965868642838,-0.5078751285368017,40.73187694364013
14,10000000,2022-12-05,exbtc,46.18566362029513,2.0677149510669732,1.754965868642838,-0.5078751285368017,40.73187694364013
21,10000000,2022-12-19,exbtc,46.18566362029513,2.0677149510669732,1.754965868642838,-0.5078751285368017,40.73187694364013
30,10000000,2022-12-31,exbtc,46.18566362029513,2.0677149510669732,1.754965868642838,-0.5078751285368017,40.73187694364013
45,10000000,2023-01-16,exbtc,46.18566362029513,2.0677149510669732,1.754965868642838,-0.5078751285368017,40.73187694364013
60,10000000,2023-01-30,exbtceth,33.023045548535436,1.7810277896207056,1.653526192125323,-0.4605124612877749,40.145725674422536
0,10000000,2022-11-21,exbtceth,30.950298336263405,1.7287998835903156,1.6351981634051163,-0.5078751285368017,40.146047133281776
7,10000000,2022-11-30,exbtceth,30.950298336263405,1.7287998835903156,1.6351981634051163,-0.5078751285368017,40.146047133281776
14,10000000,2022-12-05,exbtceth,30.950298336263405,1.7287998835903156,1.6351981634051163,-0.5078751285368017,40.146047133281776
21,10000000,2022-12-19,exbtceth,30.950298336263405,1.7287998835903156,1.6351981634051163,-0.5078751285368017,40.146047133281776
30,10000000,2022-12-31,exbtceth,30.950298336263405,1.7287998835903156,1.6351981634051163,-0.5078751285368017,40.146047133281776
45,10000000,2023-01-16,exbtceth,30.950298336263405,1.7287998835903156,1.6351981634051163,-0.5078751285368017,40.146047133281776
