universe,earliest_universe_date,freq,weights,base_regime,stop_lb,regime_overlay,multiple,cagr,sharpe,mdd,turnover,monthly_win_rate
loose,2022-12-31,12D,breakout,bull_only,13,True,3.0023764872082594,0.37925082717671676,0.9523438053392683,-0.49625792011309067,13.178570151532135,0.5714285714285714
loose,2022-12-31,12D,breakout,always_on,13,True,3.0023764872082594,0.37925082717671676,0.9523438053392683,-0.49625792011309067,13.178570151532135,0.5714285714285714
loose,2022-12-31,12D,balanced,bull_only,13,True,3.0023764872082594,0.37925082717671676,0.9523438053392683,-0.49625792011309067,13.178570151532135,0.5714285714285714
loose,2022-12-31,12D,balanced,always_on,13,True,3.0023764872082594,0.37925082717671676,0.9523438053392683,-0.49625792011309067,13.178570151532135,0.5714285714285714
medium,2023-01-30,16D,short_accel,always_on,12,False,2.9896922707559033,0.37754407609863594,0.9160615910132842,-0.4441397091929534,20.79357628540532,0.5238095238095238
loose,2022-12-31,16D,breakout,always_on,12,False,2.946888377725833,0.37174641680886755,0.942359953834132,-0.4188633513803264,20.79346712207632,0.5476190476190477
medium,2023-01-30,16D,balanced,bull_only,12,False,2.929893306134528,0.3694279574341708,0.9508635484209423,-0.5039133779251711,17.86166459982872,0.5238095238095238
loose,2022-12-31,16D,short_accel,bull_only,12,False,2.929893306134528,0.3694279574341708,0.9508635484209423,-0.5039133779251711,17.86166459982872,0.5238095238095238
loose,2022-12-31,16D,balanced,bull_only,12,False,2.929893306134528,0.3694279574341708,0.9508635484209423,-0.5039133779251711,17.86166459982872,0.5238095238095238
loose,2022-12-31,16D,short_accel,always_on,13,False,2.882879421778248,0.3629643824681288,0.8697772599986702,-0.5571557049886278,23.72187543490162,0.5238095238095238
loose,2022-12-31,16D,balanced,always_on,13,False,2.882879421778248,0.3629643824681288,0.8697772599986702,-0.5571557049886278,23.72187543490162,0.5238095238095238
medium,2023-01-30,16D,breakout,bull_only,14,False,2.868691344545274,0.3609991340857146,0.9175983171378504,-0.6026528055853342,19.03254084252951,0.5476190476190477
medium,2023-01-30,16D,short_accel,bull_only,14,False,2.847209660715456,0.35801048782102507,0.9149674734669252,-0.6026528055853347,19.03262498878546,0.5476190476190477
loose,2022-12-31,12D,short_accel,always_on,14,False,2.7421333908458583,0.34315727133408047,0.9038416968630804,-0.5138110926856585,21.668012605489764,0.5476190476190477
loose,2022-12-31,12D,balanced,always_on,14,False,2.7421333908458583,0.34315727133408047,0.9038416968630804,-0.5138110926856585,21.668012605489764,0.5476190476190477
loose,2022-12-31,16D,breakout,always_on,13,False,2.6271203614761394,0.32643033804939514,0.8405827603499809,-0.5469279029604194,23.721797497288463,0.5476190476190477
medium,2023-01-30,12D,short_accel,bull_only,12,True,2.6267817091179073,0.32638032807118345,0.8621572554355502,-0.4962579179200387,11.420995722263207,0.5952380952380952
medium,2023-01-30,12D,short_accel,always_on,12,True,2.6267817091179073,0.32638032807118345,0.8621572554355502,-0.4962579179200387,11.420995722263207,0.5952380952380952
medium,2023-01-30,12D,breakout,bull_only,12,True,2.6267817091179073,0.32638032807118345,0.8621572554355502,-0.4962579179200387,11.420995722263207,0.5952380952380952
medium,2023-01-30,12D,breakout,always_on,12,True,2.6267817091179073,0.32638032807118345,0.8621572554355502,-0.4962579179200387,11.420995722263207,0.5952380952380952
medium,2023-01-30,16D,balanced,always_on,12,False,2.6264251013413373,0.3263276616223234,0.8353436350758847,-0.4441397091929532,20.793582641694233,0.5238095238095238
medium,2023-01-30,12D,balanced,bull_only,12,True,2.5306361006690103,0.31199374032218463,0.8362919375873619,-0.4962579179200385,11.420922168547193,0.5952380952380952
medium,2023-01-30,12D,balanced,always_on,12,True,2.5306361006690103,0.31199374032218463,0.8362919375873619,-0.4962579179200385,11.420922168547193,0.5952380952380952
loose,2022-12-31,12D,short_accel,bull_only,12,True,2.5306361006690103,0.31199374032218463,0.8362919375873619,-0.4962579179200385,11.420922168547193,0.5952380952380952
loose,2022-12-31,12D,short_accel,always_on,12,True,2.5306361006690103,0.31199374032218463,0.8362919375873619,-0.4962579179200385,11.420922168547193,0.5952380952380952
loose,2022-12-31,12D,breakout,bull_only,12,True,2.5306361006690103,0.31199374032218463,0.8362919375873619,-0.4962579179200385,11.420922168547193,0.5952380952380952
loose,2022-12-31,12D,breakout,always_on,12,True,2.5306361006690103,0.31199374032218463,0.8362919375873619,-0.4962579179200385,11.420922168547193,0.5952380952380952
loose,2022-12-31,12D,balanced,bull_only,12,True,2.5306361006690103,0.31199374032218463,0.8362919375873619,-0.4962579179200385,11.420922168547193,0.5952380952380952
loose,2022-12-31,12D,balanced,always_on,12,True,2.5306361006690103,0.31199374032218463,0.8362919375873619,-0.4962579179200385,11.420922168547193,0.5952380952380952
loose,2022-12-31,16D,short_accel,always_on,14,False,2.5217442378146013,0.3106438027586629,0.7871722003657405,-0.5772935766843961,22.550739425865213,0.5476190476190477
loose,2022-12-31,16D,balanced,always_on,14,False,2.5217442378146013,0.3106438027586629,0.7871722003657405,-0.5772935766843961,22.550739425865213,0.5476190476190477
medium,2023-01-30,16D,balanced,bull_only,14,False,2.501255060363645,0.3075203225687597,0.8288054707871051,-0.6026528055853351,19.03263134509503,0.5476190476190477
