variant,weights,freq,stop_lb,multiple,cagr,sharpe,mdd,turnover
all,all_alt,12D,14,2.7421333908458583,0.34315727133408047,0.9038416968630804,-0.5138110926856585,21.668012605489764
exbtc,all_best,12D,14,2.7227250281498767,0.34036989294042863,0.8989296238162302,-0.513811092685658,22.840260503612992
exbtc,all_alt,12D,14,2.7227250281498767,0.34036989294042863,0.8989296238162302,-0.513811092685658,22.840260503612992
exbtc,all_alt,17D,12,2.7079318655428057,0.33823588157498796,0.8274614737883109,-0.4786929665353855,19.325731792677328
all,all_best,16D,14,2.5217442378146013,0.3106438027586629,0.7871722003657405,-0.5772935766843961,22.550739425865213
all,all_alt,16D,14,2.5217442378146013,0.3106438027586629,0.7871722003657405,-0.5772935766843961,22.550739425865213
exbtc,all_best,16D,14,2.5217442378146013,0.3106438027586629,0.7871722003657405,-0.5772935766843961,22.550739425865213
exbtc,all_alt,16D,14,2.5217442378146013,0.3106438027586629,0.7871722003657405,-0.5772935766843961,22.550739425865213
all,all_best,12D,13,2.45150524235842,0.2998601204844922,0.8354139687704132,-0.5379694272644988,23.426056421888244
all,all_alt,12D,13,2.45150524235842,0.2998601204844922,0.8354139687704132,-0.5379694272644988,23.426056421888244
exbtc,all_best,12D,13,2.45150524235842,0.2998601204844922,0.8354139687704132,-0.5379694272644988,23.426056421888244
exbtc,all_alt,12D,13,2.45150524235842,0.2998601204844922,0.8354139687704132,-0.5379694272644988,23.426056421888244
exbtc,all_alt,17D,13,2.438213935942781,0.2977950042466646,0.7601944289342142,-0.539632391128567,18.739876832078142
all,all_best,15D,12,2.429766550509846,0.2964783616652187,0.8249239032170146,-0.4916970625401976,22.25282804613517
all,all_alt,15D,12,2.429766550509846,0.2964783616652187,0.8249239032170146,-0.4916970625401976,22.25282804613517
exbtc,all_best,15D,12,2.429766550509846,0.2964783616652187,0.8249239032170146,-0.4916970625401976,22.25282804613517
exbtc,all_alt,15D,12,2.429766550509846,0.2964783616652187,0.8249239032170146,-0.4916970625401976,22.25282804613517
all,all_best,11D,13,2.4100474389329847,0.2933922103815323,0.8131286095752216,-0.4919261828661827,28.10995041044129
all,all_alt,11D,13,2.4100474389329847,0.2933922103815323,0.8131286095752216,-0.4919261828661827,28.10995041044129
exbtc,all_best,11D,13,2.4100474389329847,0.2933922103815323,0.8131286095752216,-0.4919261828661827,28.10995041044129
exbtc,all_alt,11D,13,2.4100474389329847,0.2933922103815323,0.8131286095752216,-0.4919261828661827,28.10995041044129
exbtc,all_alt,17D,11,2.374433032222171,0.2877727798330758,0.7740536404329631,-0.4688097690463676,21.670925318734284
all,all_best,11D,14,2.164737935987522,0.25341621372881495,0.7296174367927267,-0.49782457701392624,31.03665524008539
all,all_alt,11D,14,2.164737935987522,0.25341621372881495,0.7296174367927267,-0.49782457701392624,31.03665524008539
exbtc,all_best,11D,14,2.164737935987522,0.25341621372881495,0.7296174367927267,-0.49782457701392624,31.03665524008539
exbtc,all_alt,11D,14,2.164737935987522,0.25341621372881495,0.7296174367927267,-0.49782457701392624,31.03665524008539
exbtc,all_alt,17D,14,2.1154534215986445,0.2450021018395092,0.6779787676433432,-0.5359430392087867,18.153968338682937
all,all_best,15D,14,2.1094639368017645,0.2439701252525519,0.721847123113856,-0.4937867541496965,20.49599493401182
all,all_alt,15D,14,2.1094639368017645,0.2439701252525519,0.721847123113856,-0.4937867541496965,20.49599493401182
