rebalance_date,strategy,coin_id,coin_rank,coin_score,coin_weight
2021-01-31,TOP20_EQ__bull_only,bitcoin,4,,0.06666666666666667
2021-01-31,TOP20_EQ__bull_only,bitcoin-cash,5,,0.06666666666666667
2021-01-31,TOP20_EQ__bull_only,chainlink,6,,0.06666666666666667
2021-01-31,TOP20_EQ__bull_only,dogecoin,7,,0.06666666666666667
2021-01-31,TOP20_EQ__bull_only,eos,8,,0.06666666666666667
2021-01-31,TOP20_EQ__bull_only,ethereum,9,,0.06666666666666667
2021-01-31,TOP20_EQ__bull_only,litecoin,10,,0.06666666666666667
2021-01-31,TOP20_EQ__bull_only,monero,11,,0.06666666666666667
2021-01-31,TOP20_EQ__bull_only,ripple,12,,0.06666666666666667
2021-01-31,TOP20_EQ__bull_only,stellar,13,,0.06666666666666667
2021-01-31,TOP20_EQ__bull_only,the-graph,14,,0.06666666666666667
2021-01-31,TOP20_EQ__bull_only,uniswap,15,,0.06666666666666667
2021-01-31,TOP20_MOM_top4_monthly__always_on,aave,1,,0.25
2021-01-31,TOP20_MOM_top4_monthly__always_on,dogecoin,2,,0.25
2021-01-31,TOP20_MOM_top4_monthly__always_on,the-graph,3,,0.25
2021-01-31,TOP20_MOM_top4_monthly__always_on,uniswap,4,,0.25
2021-01-31,TOP20_MOM_top4_monthly__bull_only,aave,1,,0.25
2021-01-31,TOP20_MOM_top4_monthly__bull_only,dogecoin,2,,0.25
2021-01-31,TOP20_MOM_top4_monthly__bull_only,the-graph,3,,0.25
2021-01-31,TOP20_MOM_top4_monthly__bull_only,uniswap,4,,0.25
2021-01-31,TOP20_MOM_top6_monthly__always_on,aave,1,,0.16666666666666666
2021-01-31,TOP20_MOM_top6_monthly__always_on,dogecoin,2,,0.16666666666666666
2021-01-31,TOP20_MOM_top6_monthly__always_on,ethereum,3,,0.16666666666666666
2021-01-31,TOP20_MOM_top6_monthly__always_on,stellar,4,,0.16666666666666666
2021-01-31,TOP20_MOM_top6_monthly__always_on,the-graph,5,,0.16666666666666666
2021-01-31,TOP20_MOM_top6_monthly__always_on,uniswap,6,,0.16666666666666666
2021-01-31,TOP20_MOM_top6_monthly__bull_only,aave,1,,0.16666666666666666
2021-01-31,TOP20_MOM_top6_monthly__bull_only,dogecoin,2,,0.16666666666666666
2021-01-31,TOP20_MOM_top6_monthly__bull_only,ethereum,3,,0.16666666666666666
2021-01-31,TOP20_MOM_top6_monthly__bull_only,stellar,4,,0.16666666666666666
2021-01-31,TOP20_MOM_top6_monthly__bull_only,the-graph,5,,0.16666666666666666
2021-01-31,TOP20_MOM_top6_monthly__bull_only,uniswap,6,,0.16666666666666666
2021-01-31,TOP20_MOM_top8_monthly__always_on,aave,1,,0.125
2021-01-31,TOP20_MOM_top8_monthly__always_on,algorand,2,,0.125
2021-01-31,TOP20_MOM_top8_monthly__always_on,chainlink,3,,0.125
2021-01-31,TOP20_MOM_top8_monthly__always_on,dogecoin,4,,0.125
2021-01-31,TOP20_MOM_top8_monthly__always_on,ethereum,5,,0.125
2021-01-31,TOP20_MOM_top8_monthly__always_on,stellar,6,,0.125
