,aave,algorand,arbitrum,aster-2,avalanche-2,axie-infinity,binancecoin,bitcoin,bitcoin-cash,bitget-token,bittensor,canton-network,cardano,chainlink,crypto-com-chain,decentraland,dogecoin,eos,ethereum,ethereum-classic,fantom,filecoin,hedera-hashgraph,htx-dao,hyperliquid,immutable-x,injective-protocol,internet-computer,leo-token,litecoin,maker,memecore,monero,near,neo,okb,optimism,pepe,pi-network,polkadot,rain,render-token,ripple,shiba-inu,sky,solana,stellar,sui,tezos,the-graph,the-open-network,theta-token,tron,uniswap,vechain,whitebit,world-liberty-financial,zcash
2024-01-31,0.0,0.0,0.1214455275611217,0.0,0.1286583432332872,0.0,0.0,0.1273759255785792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12596250020525634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11825754855883766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11823211749985538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13148944372850765,0.0,0.13022687541224215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,0.0,0.0,0.12128604966671748,0.0,0.1294706839668465,0.0,0.0,0.1271705344194632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12542117735284997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1185789012025899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11967891400262065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13088967287335154,0.0,0.12912989554834708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-02,0.0,0.0,0.11905214180191137,0.0,0.13759413384557936,0.0,0.0,0.1246538717171381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12287031700113295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12648020461798953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11851037659205131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13155010507051276,0.0,0.12087849912358964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-03,0.0,0.0,0.11889999360797814,0.0,0.13633093496592705,0.0,0.0,0.12579444624875596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12387355976385529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12837983128290792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11798882656648334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12985436190998495,0.0,0.12048903762495976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-04,0.0,0.0,0.11743601515161474,0.0,0.13320909751035998,0.0,0.0,0.12556474638157175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12450318758432405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12933612570221506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12028735046055154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12760783311887905,0.0,0.1236799111883181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-05,0.0,0.0,0.11672828932826174,0.0,0.13084927816628814,0.0,0.0,0.12479610387729173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12403276229250425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12332317184385205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12327215455280822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.126652310808485,0.0,0.13195668332763222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-06,0.0,0.0,0.12135902842473477,0.0,0.127488928702898,0.0,0.0,0.12410297354028342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12600136243308419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12043110576064611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13043760037418953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1264637600880254,0.0,0.12530117789215955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-07,0.0,0.0,0.12270017518922603,0.0,0.12846862762484196,0.0,0.0,0.12448391315810335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12553133477381268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11904591888320304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12861036360099753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12870548252292247,0.0,0.12400023042657178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-08,0.0,0.0,0.12059633930145812,0.0,0.12917992715343254,0.0,0.0,0.1274296218498929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12552757547795926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11819996320575314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12650999346992403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.131085560337877,0.0,0.1230199196824138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-09,0.0,0.0,0.12067184506597156,0.0,0.13048446175527625,0.0,0.0,0.12480985053591785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12143551257514926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11724617591815124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12478305534997783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12835878291553418,0.0,0.1336678667555421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-10,0.0,0.0,0.1207620590615521,0.0,0.12915072057949634,0.0,0.0,0.0,0.0,0.0,0.1285385588234291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13734385270604527,0.12261598845570347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11873996768862015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12446373585124303,0.0,0.11990852959027834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-11,0.0,0.0,0.12105462836757643,0.0,0.12903962767132415,0.0,0.0,0.0,0.0,0.0,0.12043855712382655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13735093061087877,0.12461891571130884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12616240757166755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12408603636061065,0.0,0.11879015450899769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-12,0.0,0.0,0.12324034662344371,0.0,0.12681825751762743,0.0,0.0,0.0,0.0,0.0,0.11608109091326874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14076812792640447,0.1244132815711017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12970069544290047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12284527079900859,0.0,0.11760073538585838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-13,0.0,0.0,0.12150288543055135,0.0,0.12281576824798501,0.0,0.0,0.0,0.0,0.0,0.12476451768038924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1410408814416329,0.11706632103817523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1267731622482702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12363185358761258,0.0,0.12387079198636236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-14,0.0,0.0,0.1194819823556816,0.0,0.12451015625807749,0.0,0.0,0.0,0.0,0.0,0.1265501645492079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14916042852220024,0.1139453584810255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12380243389343402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1226478627658284,0.0,0.12129973840253885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
