strategy,universe_setting,min_history_days,min_daily_dollar_volume,earliest_universe_date,variant,stop_lookback,immediate_reentry,risk_on_fraction,total_return,cagr,annualized_volatility,sharpe,sortino,max_drawdown,calmar,monthly_win_rate,annualized_turnover,avg_turnover_per_rebalance,average_holdings,multiple
medium__momentum_lead_top1_biweekly_w0__stop14__reentry1,medium,60.0,10000000.0,2023-01-30,momentum_lead_top1_biweekly_w0,14.0,True,0.561698717948718,8.497267196991155,0.9315958950398373,0.7242028266696454,1.242184072059305,2.6345576893941796,-0.6032368314572641,1.544328606045726,0.3333333333333333,36.31135942344929,1.108526823886123,0.2948717948717949,9.497267196991155
strict__momentum_lead_top1_biweekly_w0__stop0__reentry0,strict,90.0,25000000.0,2023-02-27,momentum_lead_top1_biweekly_w0,0.0,False,1.0,7.903282881160104,0.8954528736298675,0.8417430136358094,1.1517045109252393,2.387455292541928,-0.5322334414799822,1.6824438373129667,0.30952380952380953,16.992713455723326,1.2911358534394344,0.44871794871794873,8.903282881160104
medium__momentum_lead_top1_7D_w0__stop10__reentry0,medium,60.0,10000000.0,2023-01-30,momentum_lead_top1_7D_w0,10.0,False,0.5488782051282052,7.746012091195318,0.8855986572554557,0.5641169714873422,1.3712996823118297,3.667382327728911,-0.44386031390116987,1.9952192830031736,0.2619047619047619,14.637256658399084,1.000947742996277,0.10817307692307693,8.746012091195318
loose__momentum_lead_top1_biweekly_w0__stop21__reentry0,loose,30.0,5000000.0,2022-12-31,momentum_lead_top1_biweekly_w0,21.0,False,0.5488782051282052,7.414150460182626,0.8643861039651497,0.6781848332705721,1.2292392636734177,2.5573561420874666,-0.589524198704017,1.4662436348929808,0.2619047619047619,15.22993287142525,1.2110198294704497,0.22916666666666666,8.414150460182626
loose__momentum_lead_top1_biweekly_w0__stop21__reentry1,loose,30.0,5000000.0,2022-12-31,momentum_lead_top1_biweekly_w0,21.0,True,0.5488782051282052,7.067515428428523,0.84158738216501,0.7273287899138027,1.1749038901206872,2.405585959009648,-0.6728881002564113,1.2507092662870898,0.2619047619047619,25.772985414982564,1.190843605994011,0.29967948717948717,8.067515428428523
strict__sector_lead_top1_biweekly__stop12__reentry0,strict,90.0,25000000.0,2023-02-27,sector_lead_top1_biweekly,12.0,False,0.5584935897435898,7.049484234911928,0.8403826265224823,0.5471478752404596,1.3711000063238168,2.896548753842962,-0.3726780983493859,2.2549825982385023,0.30952380952380953,16.397938435136343,1.1442341161336402,0.18509615384615385,8.049484234911928
strict__momentum_lead_top1_biweekly_w0__stop14__reentry1,strict,90.0,25000000.0,2023-02-27,momentum_lead_top1_biweekly_w0,14.0,True,0.561698717948718,6.913807516249307,0.8312555728893736,0.7163249933770679,1.1757762816789905,2.464883251885469,-0.6157060899877758,1.3500850266169648,0.3333333333333333,33.967028986791675,1.0369582234715267,0.2948717948717949,7.913807516249307
strict__momentum_lead_top1_biweekly_w0__stop21__reentry1,strict,90.0,25000000.0,2023-02-27,momentum_lead_top1_biweekly_w0,21.0,True,0.5488782051282052,6.492446288601892,0.8021850446232597,0.7357467552462934,1.1404424918587726,2.3890676292318913,-0.6251675236082672,1.283152138155392,0.30952380952380953,24.01391611650198,1.109565616934264,0.29967948717948717,7.492446288601892
strict__momentum_lead_top3_biweekly_w1__stop12__reentry0,strict,90.0,25000000.0,2023-02-27,momentum_lead_top3_biweekly_w1,12.0,False,0.5584935897435898,6.323625369209589,0.7902128685766507,0.5118008894342231,1.3788047054031956,2.92385137241527,-0.3724720668315328,2.121535918917807,0.2857142857142857,14.978170940643887,1.0451639549300291,0.5552884615384616,7.323625369209589
loose__momentum_lead_top3_biweekly_w1__stop14__reentry0,loose,30.0,5000000.0,2022-12-31,momentum_lead_top3_biweekly_w1,14.0,False,0.561698717948718,6.24103251791131,0.7842844387730064,0.5205765227521278,1.3555476011022483,2.7845571370575444,-0.3706144758641583,2.1161732469955408,0.3333333333333333,15.659720386064654,1.1154869316100848,0.5769230769230769,7.24103251791131
