strategy,universe_setting,min_history_days,min_daily_dollar_volume,earliest_universe_date,variant,stop_lookback,immediate_reentry,risk_on_fraction,total_return,cagr,annualized_volatility,sharpe,sortino,max_drawdown,calmar,monthly_win_rate,annualized_turnover,avg_turnover_per_rebalance,average_holdings,multiple
medium__momentum_lead_top2_7D_w1__stop14__reentry1,medium,60.0,10000000.0,2023-01-30,momentum_lead_top2_7D_w1,14.0,True,0.561698717948718,1.091358171658122,0.24083787706135262,0.45962068931462036,0.6898861098144825,1.2372008677794206,-0.5008491538605506,0.4808591073878666,0.2619047619047619,25.76252267583481,1.0009846917634446,0.3060897435897436,2.091358171658122
loose__sector_lead_top1_biweekly__stop16__reentry1,loose,30.0,5000000.0,2022-12-31,sector_lead_top1_biweekly,16.0,True,0.5608974358974359,1.0819259224644107,0.23919851709472462,0.6220306211216445,0.6442100675745468,1.1350595620406925,-0.6561321529179227,0.364558444561772,0.21428571428571427,34.5557940167976,1.1146454105185684,0.2956730769230769,2.0819259224644107
strict__momentum_lead_top3_7D_w1__stop14__reentry1,strict,90.0,25000000.0,2023-02-27,momentum_lead_top3_7D_w1,14.0,True,0.561698717948718,1.0777971711146774,0.23847927094713484,0.44895917510920563,0.691954256377884,1.2703504572097986,-0.48772691787732814,0.4889606503266989,0.2857142857142857,25.76244066272582,1.0009815052018,0.45913461538461536,2.0777971711146774
strict__momentum_lead_top3_7D_w1__stop12__reentry1,strict,90.0,25000000.0,2023-02-27,momentum_lead_top3_7D_w1,12.0,True,0.5584935897435898,1.0744198052472087,0.23789016708156185,0.44651081916391777,0.6917968061681324,1.276137496538671,-0.5073216287271125,0.4689139070976266,0.23809523809523808,26.933575209065328,1.000985761194566,0.44711538461538464,2.0744198052472087
loose__sector_lead_top1_7D__stop10__reentry1,loose,30.0,5000000.0,2022-12-31,sector_lead_top1_7D,10.0,True,0.5488782051282052,1.0709872494551367,0.2372907408570848,0.5119952153839457,0.6588026488083569,1.2199522480476048,-0.5397030125806759,0.4396691056483849,0.2857142857142857,28.69020078002526,1.0009888334769788,0.14903846153846154,2.0709872494551367
medium__momentum_lead_top2_biweekly_w0__stop18__reentry0,medium,60.0,10000000.0,2023-01-30,momentum_lead_top2_biweekly_w0,18.0,False,0.5584935897435898,1.066953985443711,0.23658551421701057,0.5263070511310811,0.6577112805062161,1.146120919897003,-0.6196272676290993,0.381819081529878,0.19047619047619047,14.68224936753003,1.091330983363757,0.4358974358974359,2.066953985443711
medium__momentum_lead_top2_biweekly_w1__stop18__reentry0,medium,60.0,10000000.0,2023-01-30,momentum_lead_top2_biweekly_w1,18.0,False,0.5584935897435898,1.066953985443711,0.23658551421701057,0.5263070511310811,0.6577112805062161,1.146120919897003,-0.6196272676290993,0.381819081529878,0.19047619047619047,14.68224936753003,1.091330983363757,0.4358974358974359,2.066953985443711
strict__momentum_lead_top3_biweekly_w0__stop16__reentry1,strict,90.0,25000000.0,2023-02-27,momentum_lead_top3_biweekly_w0,16.0,True,0.5608974358974359,1.0647969613439807,0.23620795330885835,0.5261583550309937,0.6602067147598615,1.13189387373253,-0.629778351945697,0.37506521553034505,0.21428571428571427,31.50469280593222,1.0162278785681937,0.8870192307692307,2.0647969613439807
medium__sector_lead_top1_biweekly__stop18__reentry0,medium,60.0,10000000.0,2023-01-30,sector_lead_top1_biweekly,18.0,False,0.5584935897435898,1.0427804164221555,0.23233816916487537,0.5879118865407973,0.6353766095414156,1.1640376078061256,-0.6756282595103146,0.3438846227854215,0.21428571428571427,15.814886727698326,1.175519871123735,0.21794871794871795,2.0427804164221555
strict__sector_lead_top2_7D__stop14__reentry0,strict,90.0,25000000.0,2023-02-27,sector_lead_top2_7D,14.0,False,0.561698717948718,1.0379488475323848,0.23148499363232866,0.3432941426562387,0.7753876280287612,1.3172043841047787,-0.39868562727998946,0.5806203629953308,0.2619047619047619,16.394142185262194,1.0009730649318598,0.2403846153846154,2.037948847532385
medium__sector_lead_top2_biweekly__stop14__reentry0,medium,60.0,10000000.0,2023-01-30,sector_lead_top2_biweekly,14.0,False,0.561698717948718,1.0304240448220443,0.23015338270085772,0.3967577734008686,0.7176764164359405,1.1978763228340434,-0.4378227895009952,0.5256770278293944,0.2857142857142857,15.237337021069266,1.08539934944603,0.38461538461538464,2.0304240448220443
strict__momentum_lead_top3_7D_w1__stop16__reentry1,strict,90.0,25000000.0,2023-02-27,momentum_lead_top3_7D_w1,16.0,True,0.5608974358974359,1.0113514354661248,0.22676252591036472,0.4832747907032149,0.6540565190184613,1.209680750349034,-0.5750426120995141,0.3943403865018655,0.2619047619047619,25.762750734326996,1.000993552815694,0.47596153846153844,2.011351435466125
strict__momentum_lead_top1_7D_w0__stop21__reentry0,strict,90.0,25000000.0,2023-02-27,momentum_lead_top1_7D_w0,21.0,False,0.5488782051282052,1.0077300213761888,0.22611611924278496,0.5326256286554814,0.6332491448924344,1.222013832823039,-0.5483145201276651,0.41238397113783876,0.23809523809523808,16.979903442979506,1.0009881670684186,0.14102564102564102,2.007730021376189
strict__sector_lead_top2_biweekly__stop18__reentry1,strict,90.0,25000000.0,2023-02-27,sector_lead_top2_biweekly,18.0,True,0.5584935897435898,1.0045591454497256,0.22554945394957704,0.5227130408679712,0.6450080376493439,1.094612471528929,-0.7189311079842303,0.31372888367841284,0.30952380952380953,30.503654281724447,1.0642594504778335,0.5961538461538461,2.0045591454497256
medium__momentum_lead_top3_biweekly_w1__stop16__reentry0,medium,60.0,10000000.0,2023-01-30,momentum_lead_top3_biweekly_w1,16.0,False,0.5608974358974359,0.9964735324320189,0.22410160285615,0.5266566437419483,0.6317459212195262,1.1765723901937395,-0.5191611406145396,0.431660972527484,0.2857142857142857,16.94685071774807,1.0932886893641556,0.6201923076923077,1.9964735324320189
strict__sector_lead_top1_biweekly__stop16__reentry0,strict,90.0,25000000.0,2023-02-27,sector_lead_top1_biweekly,16.0,False,0.5608974358974359,0.9877604309185299,0.22253673874606617,0.5552718047238017,0.6260464882751812,1.139075437473203,-0.5680344507628037,0.3917662713013716,0.30952380952380953,18.15686971205191,1.1713503954841449,0.20673076923076922,1.98776043091853
medium__sector_lead_top2_7D__stop12__reentry0,medium,60.0,10000000.0,2023-01-30,sector_lead_top2_7D,12.0,False,0.5584935897435898,0.9831543905342002,0.22170753695000656,0.32791880982406013,0.7720156792676645,1.3063528295205402,-0.352228566410418,0.6294422374920952,0.2619047619047619,16.979769388158328,1.0009802643562395,0.22596153846153846,1.9831543905342002
medium__momentum_lead_top2_biweekly_w0__stop21__reentry1,medium,60.0,10000000.0,2023-01-30,momentum_lead_top2_biweekly_w0,21.0,True,0.5488782051282052,0.9705699676349355,0.2194350589622749,0.5703775758585181,0.6244767033012435,1.079594814908782,-0.7014752805075453,0.3128193751938128,0.23809523809523808,22.631310107678352,1.0456821552899886,0.5993589743589743,1.9705699676349355
medium__momentum_lead_top2_biweekly_w1__stop21__reentry1,medium,60.0,10000000.0,2023-01-30,momentum_lead_top2_biweekly_w1,21.0,True,0.5488782051282052,0.9705699676349355,0.2194350589622749,0.5703775758585181,0.6244767033012435,1.079594814908782,-0.7014752805075453,0.3128193751938128,0.23809523809523808,22.631310107678352,1.0456821552899886,0.5993589743589743,1.9705699676349355
medium__sector_lead_top1_biweekly__stop16__reentry1,medium,60.0,10000000.0,2023-01-30,sector_lead_top1_biweekly,16.0,True,0.5608974358974359,0.9659725126218222,0.21860229607729886,0.6507454540799429,0.6138044083911597,1.1283942117678918,-0.5756833837182805,0.379726603650376,0.23809523809523808,33.96989487268724,1.0957464151231242,0.2956730769230769,1.9659725126218222
medium__momentum_lead_top3_7D_w0__stop14__reentry0,medium,60.0,10000000.0,2023-01-30,momentum_lead_top3_7D_w0,14.0,False,0.561698717948718,0.9433406159014646,0.21448264455246724,0.36112082781480986,0.7148656939391539,1.2071204034618042,-0.426249786754223,0.503185341594408,0.21428571428571427,16.394149603341095,1.00097351785566,0.3605769230769231,1.9433406159014646
medium__sector_lead_top1_7D__stop0__reentry0,medium,60.0,10000000.0,2023-01-30,sector_lead_top1_7D,0.0,False,1.0,0.9313715895902515,0.21229020292025402,0.6243162159845604,0.6036145886612541,1.1430183434801464,-0.6355281972443251,0.3340374256260424,0.2857142857142857,23.42059552317,1.0009898360587726,0.22435897435897437,1.9313715895902515
loose__momentum_lead_top2_7D_w0__stop21__reentry0,loose,30.0,5000000.0,2022-12-31,momentum_lead_top2_7D_w0,21.0,False,0.5488782051282052,0.9171772307341515,0.20967763714910115,0.47589779142372474,0.6276716188536327,1.1334170733552273,-0.5638649702128502,0.37185788836988953,0.16666666666666666,16.979871553684035,1.00098628715152,0.28205128205128205,1.9171772307341515
loose__momentum_lead_top2_7D_w1__stop21__reentry0,loose,30.0,5000000.0,2022-12-31,momentum_lead_top2_7D_w1,21.0,False,0.5488782051282052,0.9171772307341515,0.20967763714910115,0.47589779142372474,0.6276716188536327,1.1334170733552273,-0.5638649702128502,0.37185788836988953,0.16666666666666666,16.979871553684035,1.00098628715152,0.28205128205128205,1.9171772307341515
loose__momentum_lead_top2_biweekly_w0__stop10__reentry1,loose,30.0,5000000.0,2022-12-31,momentum_lead_top2_biweekly_w0,10.0,True,0.5488782051282052,0.9152367493524827,0.2093194164172223,0.5343400677291653,0.6146715811274459,1.0610108079111327,-0.6743166881328957,0.3104170786530634,0.2619047619047619,32.53511710639634,1.002192426231831,0.5432692307692307,1.9152367493524827
loose__momentum_lead_top2_biweekly_w1__stop10__reentry1,loose,30.0,5000000.0,2022-12-31,momentum_lead_top2_biweekly_w1,10.0,True,0.5488782051282052,0.9152367493524827,0.2093194164172223,0.5343400677291653,0.6146715811274459,1.0610108079111327,-0.6743166881328957,0.3104170786530634,0.2619047619047619,32.53511710639634,1.002192426231831,0.5432692307692307,1.9152367493524827
strict__momentum_lead_top3_biweekly_w0__stop10__reentry1,strict,90.0,25000000.0,2023-02-27,momentum_lead_top3_biweekly_w0,10.0,True,0.5488782051282052,0.9114466892449831,0.2086190146909328,0.48828414309890744,0.6269695808993,1.062871343505703,-0.6368349247742369,0.3275872703823364,0.2619047619047619,32.45286910532661,0.9996589076501939,0.8149038461538461,1.911446689244983
strict__momentum_lead_top2_7D_w0__stop14__reentry1,strict,90.0,25000000.0,2023-02-27,momentum_lead_top2_7D_w0,14.0,True,0.561698717948718,0.8986318378097702,0.20624353215699442,0.42612051979537274,0.6488346683899242,1.0974103040357441,-0.46269112331912,0.4457477607901879,0.2619047619047619,25.762548337265798,1.00098568882029,0.3060897435897436,1.8986318378097702
strict__momentum_lead_top2_7D_w1__stop14__reentry1,strict,90.0,25000000.0,2023-02-27,momentum_lead_top2_7D_w1,14.0,True,0.561698717948718,0.8986318378097702,0.20624353215699442,0.42612051979537274,0.6488346683899242,1.0974103040357441,-0.46269112331912,0.4457477607901879,0.2619047619047619,25.762548337265798,1.00098568882029,0.3060897435897436,1.8986318378097702
strict__momentum_lead_top1_7D_w0__stop18__reentry0,strict,90.0,25000000.0,2023-02-27,momentum_lead_top1_7D_w0,18.0,False,0.5584935897435898,0.8804758091807527,0.2028584585458053,0.5397421093353572,0.5954437180942903,1.1549279065299956,-0.540808128116941,0.375102458707759,0.2619047619047619,16.979963183012455,1.0009916888237855,0.13942307692307693,1.8804758091807527
strict__momentum_lead_top2_biweekly_w0__stop16__reentry0,strict,90.0,25000000.0,2023-02-27,momentum_lead_top2_biweekly_w0,16.0,False,0.5608974358974359,0.8640108069561743,0.19976861338816487,0.4901410337129136,0.610944512379001,1.028124057096352,-0.5025765136412941,0.39748895534490997,0.2619047619047619,15.862500112721436,1.0233342021543732,0.41346153846153844,1.8640108069561743
strict__momentum_lead_top2_biweekly_w1__stop16__reentry0,strict,90.0,25000000.0,2023-02-27,momentum_lead_top2_biweekly_w1,16.0,False,0.5608974358974359,0.8640108069561743,0.19976861338816487,0.4901410337129136,0.610944512379001,1.028124057096352,-0.5025765136412941,0.39748895534490997,0.2619047619047619,15.862500112721436,1.0233342021543732,0.41346153846153844,1.8640108069561743
medium__sector_lead_top1_7D__stop16__reentry1,medium,60.0,10000000.0,2023-01-30,sector_lead_top1_7D,16.0,True,0.5608974358974359,0.860025860930917,0.19901789246065293,0.5577702637578725,0.587991327058577,1.113494797162764,-0.5541888858292756,0.3591156328637791,0.2619047619047619,25.76290551680234,1.0009995667798668,0.15865384615384615,1.860025860930917
loose__momentum_lead_top3_biweekly_w1__stop16__reentry0,loose,30.0,5000000.0,2022-12-31,momentum_lead_top3_biweekly_w1,16.0,False,0.5608974358974359,0.8468138694903682,0.1965207253192527,0.5104787534879454,0.5926536051341491,1.0679011859467604,-0.5826200078413655,0.337305143445676,0.2619047619047619,16.948425946217007,1.0933903117538806,0.6201923076923077,1.8468138694903682
loose__momentum_lead_top3_7D_w0__stop10__reentry0,loose,30.0,5000000.0,2022-12-31,momentum_lead_top3_7D_w0,10.0,False,0.5488782051282052,0.8281126990623879,0.19296436173748877,0.3301401384484701,0.6963354907004179,1.163775976982699,-0.3567041455884762,0.5409647298019032,0.19047619047619047,14.637699099377215,1.0009779986861789,0.3245192307692308,1.828112699062388
