candidate_id,frequency,score_family,include_btc,stop_kind,stop_lookback,ma_window,stop_confirm_days,risk_off_asset,initial_asset,multiple_2bps,cagr_2bps,sharpe_2bps,dd_2bps,turnover_2bps,multiple_20bps,sharpe_20bps,dd_20bps
overlay__28D__ctrend_lite_relative_strength__btc0__ma200__c1__rocash__inbtc,28D,ctrend_lite_relative_strength,False,ma,,200.0,1,cash,btc,1.001996095401975,0.0004222751165097183,0.3498136358732549,-0.7145114318749392,13.761600928074246,0.8911574384047304,0.3169988396745298,-0.7236316740501829
overlay__21D__ctrend_lite_acceleration__btc0__ma200__c1__robtc__incash,21D,ctrend_lite_acceleration,False,ma,,200.0,1,btc,cash,1.001946065227551,0.0004116993101395128,0.350527203347041,-0.8056486008746035,21.383410672853827,0.8350573470546334,0.2980135002205274,-0.809810639889327
overlay__21D__ctrend_lite_acceleration__btc0__ma200__c1__robtc__inbtc,21D,ctrend_lite_acceleration,False,ma,,200.0,1,btc,btc,1.001946065227551,0.0004116993101395128,0.350527203347041,-0.8056486008746035,21.383410672853827,0.8350573470546334,0.2980135002205274,-0.809810639889327
overlay__28D__ctrend_lite_relative_strength__btc1__ma150__c1__robtc__incash,28D,ctrend_lite_relative_strength,True,ma,,150.0,1,btc,cash,0.9988002927821755,-0.00025411852808521207,0.38006189225139064,-0.8324533404604918,17.995939675174014,0.8568126909621242,0.3401477761870063,-0.8383905756916619
overlay__28D__ctrend_lite_relative_strength__btc1__ma150__c1__robtc__inbtc,28D,ctrend_lite_relative_strength,True,ma,,150.0,1,btc,btc,0.9988002927821755,-0.00025411852808521207,0.38006189225139064,-0.8324533404604918,17.995939675174014,0.8568126909621242,0.3401477761870063,-0.8383905756916619
overlay__28D__ctrend_lite_acceleration__btc0__trailing9__c2__robtc__incash,28D,ctrend_lite_acceleration,False,trailing,9.0,,2,btc,cash,0.9963164828054428,-0.0007809976977972699,0.28738455595504314,-0.7850207901950569,25.19431554524362,0.8038353318484341,0.2083257422024384,-0.7959779323118585
overlay__28D__ctrend_lite_acceleration__btc0__trailing9__c2__robtc__inbtc,28D,ctrend_lite_acceleration,False,trailing,9.0,,2,btc,btc,0.9963164828054428,-0.0007809976977972699,0.28738455595504314,-0.7850207901950569,25.19431554524362,0.8038353318484341,0.2083257422024384,-0.7959779323118585
overlay__14D__ctrend_lite_relative_strength__btc0__ma150__c1__rocash__incash,14D,ctrend_lite_relative_strength,False,ma,,150.0,1,cash,cash,0.9836138214578493,-0.0034918588618139124,0.36301096814381256,-0.8296773264292124,25.19431554524362,0.7936245978547148,0.30458165704920703,-0.8514940902381484
overlay__14D__ctrend_lite_relative_strength__btc0__ma150__c1__rocash__inbtc,14D,ctrend_lite_relative_strength,False,ma,,150.0,1,cash,btc,0.9836138214578493,-0.0034918588618139124,0.36301096814381256,-0.8296773264292124,25.19431554524362,0.7936245978547148,0.30458165704920703,-0.8514940902381484
overlay__28D__ctrend_lite_breakout__btc1__trailing15__c2__robtc__incash,28D,ctrend_lite_breakout,True,trailing,15.0,,2,btc,cash,0.9774825007212602,-0.004810223464237207,0.3037115173852432,-0.7459900758892235,19.68967517401392,0.8265108986228595,0.24712724549179307,-0.7571907736214191
overlay__28D__ctrend_lite_breakout__btc1__trailing15__c2__robtc__inbtc,28D,ctrend_lite_breakout,True,trailing,15.0,,2,btc,btc,0.9774825007212602,-0.004810223464237207,0.3037115173852432,-0.7459900758892235,19.68967517401392,0.8265108986228595,0.24712724549179307,-0.7571907736214191
overlay__14D__ctrend_lite_acceleration__btc1__trailing11__c1__rocash__incash,14D,ctrend_lite_acceleration,True,trailing,11.0,,1,cash,cash,0.9762242164525474,-0.005081587159457834,0.19463108011356767,-0.5741047472219587,24.770881670533644,0.7906256021139805,0.0882041766795448,-0.6177577422246484
overlay__14D__ctrend_lite_acceleration__btc1__trailing11__c1__rocash__inbtc,14D,ctrend_lite_acceleration,True,trailing,11.0,,1,cash,btc,0.9762242164525474,-0.005081587159457834,0.19463108011356767,-0.5741047472219587,24.770881670533644,0.7906256021139805,0.0882041766795448,-0.6177577422246484
overlay__21D__ctrend_lite_relative_strength__btc0__trailing20__c1__robtc__incash,21D,ctrend_lite_relative_strength,False,trailing,20.0,,1,btc,cash,0.9736786822725527,-0.005631405512672938,0.3363679599406866,-0.8202164619474906,29.42865429234339,0.7577332544057331,0.26257452467675435,-0.8426834952388627
overlay__21D__ctrend_lite_relative_strength__btc0__trailing20__c1__robtc__inbtc,21D,ctrend_lite_relative_strength,False,trailing,20.0,,1,btc,btc,0.9736786822725527,-0.005631405512672938,0.3363679599406866,-0.8202164619474906,29.42865429234339,0.7577332544057331,0.26257452467675435,-0.8426834952388627
overlay__14D__ctrend_lite_relative_strength__btc0__trailing20__c2__rocash__incash,14D,ctrend_lite_relative_strength,False,trailing,20.0,,2,cash,cash,0.9672279374614025,-0.007029814666224321,0.29901949907641845,-0.8124473481652428,23.500580046403712,0.7918140942163174,0.23425625576011538,-0.8229598947574385
overlay__14D__ctrend_lite_relative_strength__btc0__trailing20__c2__rocash__inbtc,14D,ctrend_lite_relative_strength,False,trailing,20.0,,2,cash,btc,0.9672279374614025,-0.007029814666224321,0.29901949907641845,-0.8124473481652428,23.500580046403712,0.7918140942163174,0.23425625576011538,-0.8229598947574385
overlay__14D__ctrend_lite_acceleration__btc1__trailing15__c1__rocash__incash,14D,ctrend_lite_acceleration,True,trailing,15.0,,1,cash,cash,0.9626427740170597,-0.00802827494277425,0.22524441035175408,-0.5822982108958632,28.581786542923435,0.7547172402673018,0.12025642655135935,-0.5927056994414599
overlay__14D__ctrend_lite_acceleration__btc1__trailing15__c1__rocash__inbtc,14D,ctrend_lite_acceleration,True,trailing,15.0,,1,cash,btc,0.9626427740170597,-0.00802827494277425,0.22524441035175408,-0.5822982108958632,28.581786542923435,0.7547172402673018,0.12025642655135935,-0.5927056994414599
overlay__28D__ctrend_lite_acceleration__btc0__trailing11__c2__robtc__incash,28D,ctrend_lite_acceleration,False,trailing,11.0,,2,btc,cash,0.9603082173885923,-0.008538086502064446,0.2923836412484398,-0.7561079979438676,25.19431554524362,0.7747836033262548,0.2177509939197745,-0.7668625407196825
overlay__28D__ctrend_lite_acceleration__btc0__trailing11__c2__robtc__inbtc,28D,ctrend_lite_acceleration,False,trailing,11.0,,2,btc,btc,0.9603082173885923,-0.008538086502064446,0.2923836412484398,-0.7561079979438676,25.19431554524362,0.7747836033262548,0.2177509939197745,-0.7668625407196825
overlay__28D__ctrend_lite_relative_strength__btc0__trailing7__c2__rocash__incash,28D,ctrend_lite_relative_strength,False,trailing,7.0,,2,cash,cash,0.960277464975141,-0.00854480861307183,0.16304418466428294,-0.6664733557497207,14.39675174013921,0.8495301833910681,0.09467483219978527,-0.6817391894484615
overlay__28D__ctrend_lite_relative_strength__btc0__trailing7__c2__rocash__inbtc,28D,ctrend_lite_relative_strength,False,trailing,7.0,,2,cash,btc,0.960277464975141,-0.00854480861307183,0.16304418466428294,-0.6664733557497207,14.39675174013921,0.8495301833910681,0.09467483219978527,-0.6817391894484615
overlay__14D__ctrend_lite_acceleration__btc0__trailing13__c1__rocash__incash,14D,ctrend_lite_acceleration,False,trailing,13.0,,1,cash,cash,0.9594883829371995,-0.008717350609048102,0.22042255594471458,-0.5779843682632129,26.888051044083525,0.7631730384119282,0.12003059111175851,-0.6291125518236187
overlay__14D__ctrend_lite_acceleration__btc0__trailing13__c1__rocash__inbtc,14D,ctrend_lite_acceleration,False,trailing,13.0,,1,cash,btc,0.9594883829371995,-0.008717350609048102,0.22042255594471458,-0.5779843682632129,26.888051044083525,0.7631730384119282,0.12003059111175851,-0.6291125518236187
overlay__28D__ctrend_lite_acceleration__btc0__trailing13__c1__rocash__incash,28D,ctrend_lite_acceleration,False,trailing,13.0,,1,cash,cash,0.9580136833514569,-0.009040110971235249,0.17048594349077908,-0.5274412649381164,13.973317865429234,0.8505840685204308,0.10559918348001457,-0.5375500873099703
overlay__28D__ctrend_lite_acceleration__btc0__trailing13__c1__rocash__inbtc,28D,ctrend_lite_acceleration,False,trailing,13.0,,1,cash,btc,0.9580136833514569,-0.009040110971235249,0.17048594349077908,-0.5274412649381164,13.973317865429234,0.8505840685204308,0.10559918348001457,-0.5375500873099703
overlay__28D__ctrend_lite_breakout__btc1__trailing13__c1__rocash__incash,28D,ctrend_lite_breakout,True,trailing,13.0,,1,cash,cash,0.9513704969584086,-0.010498947658079016,0.16912976815353245,-0.6017600261659715,13.973317865429234,0.8446858349060924,0.1069383731956516,-0.6172388542796925
overlay__28D__ctrend_lite_breakout__btc1__trailing13__c1__rocash__inbtc,28D,ctrend_lite_breakout,True,trailing,13.0,,1,cash,btc,0.9513704969584086,-0.010498947658079016,0.16912976815353245,-0.6017600261659715,13.973317865429234,0.8446858349060924,0.1069383731956516,-0.6172388542796925
overlay__21D__ctrend_lite_relative_strength__btc0__trailing20__c2__robtc__incash,21D,ctrend_lite_relative_strength,False,trailing,20.0,,2,btc,cash,0.947648758910503,-0.01131975013916453,0.3373736932441146,-0.8342708697877594,29.852088167053363,0.7348203496704981,0.26438728587451016,-0.8568010285077379
overlay__21D__ctrend_lite_relative_strength__btc0__trailing20__c2__robtc__inbtc,21D,ctrend_lite_relative_strength,False,trailing,20.0,,2,btc,btc,0.947648758910503,-0.01131975013916453,0.3373736932441146,-0.8342708697877594,29.852088167053363,0.7348203496704981,0.26438728587451016,-0.8568010285077379
overlay__14D__ctrend_lite_relative_strength__btc1__trailing9__c2__rocash__incash,14D,ctrend_lite_relative_strength,True,trailing,9.0,,2,cash,cash,0.9465860128254738,-0.011554597468983685,0.2543636056512671,-0.694528115510707,24.770881670533644,0.7666191312269797,0.1782459783072685,-0.7174302777805619
overlay__14D__ctrend_lite_relative_strength__btc1__trailing9__c2__rocash__inbtc,14D,ctrend_lite_relative_strength,True,trailing,9.0,,2,cash,btc,0.9465860128254738,-0.011554597468983685,0.2543636056512671,-0.694528115510707,24.770881670533644,0.7666191312269797,0.1782459783072685,-0.7174302777805619
overlay__28D__ctrend_lite_breakout__btc0__trailing15__c1__rocash__incash,28D,ctrend_lite_breakout,False,trailing,15.0,,1,cash,cash,0.9455941946167249,-0.011773958617381952,0.1937669053891968,-0.6941908594618171,13.973317865429234,0.8395606129313048,0.13797125304985666,-0.7060770774032838
overlay__28D__ctrend_lite_breakout__btc0__trailing15__c1__rocash__inbtc,28D,ctrend_lite_breakout,False,trailing,15.0,,1,cash,btc,0.9455941946167249,-0.011773958617381952,0.1937669053891968,-0.6941908594618171,13.973317865429234,0.8395606129313048,0.13797125304985666,-0.7060770774032838
overlay__14D__ctrend_lite_acceleration__btc0__trailing9__c2__robtc__incash,14D,ctrend_lite_acceleration,False,trailing,9.0,,2,btc,cash,0.9453496302156512,-0.011828076976114543,0.2955376603293831,-0.736452958518498,46.36600928074246,0.6368201301575362,0.1628237047803957,-0.7561232131011696
overlay__14D__ctrend_lite_acceleration__btc0__trailing9__c2__robtc__inbtc,14D,ctrend_lite_acceleration,False,trailing,9.0,,2,btc,btc,0.9453496302156512,-0.011828076976114543,0.2955376603293831,-0.736452958518498,46.36600928074246,0.6368201301575362,0.1628237047803957,-0.7561232131011696
overlay__28D__ctrend_lite_breakout__btc1__trailing7__c2__rocash__incash,28D,ctrend_lite_breakout,True,trailing,7.0,,2,cash,cash,0.9376023816079726,-0.01354816448715812,0.1206464028382569,-0.6314175675639839,14.39675174013921,0.8294701815333587,0.04232172322744363,-0.6482879382370484
overlay__28D__ctrend_lite_breakout__btc1__trailing7__c2__rocash__inbtc,28D,ctrend_lite_breakout,True,trailing,7.0,,2,cash,btc,0.9376023816079726,-0.01354816448715812,0.1206464028382569,-0.6314175675639839,14.39675174013921,0.8294701815333587,0.04232172322744363,-0.6482879382370484
overlay__28D__ctrend_lite_relative_strength__btc0__trailing7__c1__rocash__incash,28D,ctrend_lite_relative_strength,False,trailing,7.0,,1,cash,cash,0.9374857394846314,-0.0135741474994715,0.11189448002640512,-0.43295941345038513,14.39675174013921,0.829370289164704,0.030393284612158334,-0.46279949627112327
overlay__28D__ctrend_lite_relative_strength__btc0__trailing7__c1__rocash__inbtc,28D,ctrend_lite_relative_strength,False,trailing,7.0,,1,cash,btc,0.9374857394846314,-0.0135741474994715,0.11189448002640512,-0.43295941345038513,14.39675174013921,0.829370289164704,0.030393284612158334,-0.46279949627112327
overlay__21D__ctrend_lite_relative_strength__btc0__ma75__c1__rocash__incash,21D,ctrend_lite_relative_strength,False,ma,,75.0,1,cash,cash,0.9355745989823311,-0.014000233465674916,0.2779982386213468,-0.8647163927857543,15.031902552204176,0.8231517702465251,0.2357677630795151,-0.8745822285101646
overlay__21D__ctrend_lite_relative_strength__btc0__ma75__c1__rocash__inbtc,21D,ctrend_lite_relative_strength,False,ma,,75.0,1,cash,btc,0.9355745989823311,-0.014000233465674916,0.2779982386213468,-0.8647163927857543,15.031902552204176,0.8231517702465251,0.2357677630795151,-0.8745822285101646
overlay__28D__ctrend_lite_breakout__btc1__ma75__c1__robtc__incash,28D,ctrend_lite_breakout,True,ma,,75.0,1,btc,cash,0.9342694640698774,-0.014291605805663576,0.32216805906313034,-0.7976363120300911,20.536542923433874,0.7842922614309401,0.2687115676603788,-0.8093312804799245
overlay__28D__ctrend_lite_breakout__btc1__ma75__c1__robtc__inbtc,28D,ctrend_lite_breakout,True,ma,,75.0,1,btc,btc,0.9342694640698774,-0.014291605805663576,0.32216805906313034,-0.7976363120300911,20.536542923433874,0.7842922614309401,0.2687115676603788,-0.8093312804799245
overlay__14D__ctrend_lite_acceleration__btc0__trailing11__c2__rocash__incash,14D,ctrend_lite_acceleration,False,trailing,11.0,,2,cash,cash,0.9301061733530835,-0.015223212894663551,0.2253857749902862,-0.6338424643103232,26.041183294663572,0.7451453735297812,0.13366940266953903,-0.6580504508529718
overlay__14D__ctrend_lite_acceleration__btc0__trailing11__c2__rocash__inbtc,14D,ctrend_lite_acceleration,False,trailing,11.0,,2,cash,btc,0.9301061733530835,-0.015223212894663551,0.2253857749902862,-0.6338424643103232,26.041183294663572,0.7451453735297812,0.13366940266953903,-0.6580504508529718
overlay__28D__ctrend_lite_breakout__btc0__trailing11__c1__rocash__incash,28D,ctrend_lite_breakout,False,trailing,11.0,,1,cash,cash,0.9297336982425296,-0.015306720628195047,0.12992410100658464,-0.5517091335417332,12.703016241299304,0.834452034272028,0.06576990083742255,-0.5675777143504837
overlay__28D__ctrend_lite_breakout__btc0__trailing11__c1__rocash__inbtc,28D,ctrend_lite_breakout,False,trailing,11.0,,1,cash,btc,0.9297336982425296,-0.015306720628195047,0.12992410100658464,-0.5517091335417332,12.703016241299304,0.834452034272028,0.06576990083742255,-0.5675777143504837
