strategy,total_return,final_equity,cagr,vol,sharpe,maxdd,calmar,exposure,avg_gross,best_year,worst_year,beats_btc
BO_h2_lb30_ma50_x1,103.35388691866125,10435388.691866124,1.2534728124235097,0.8391212229398071,1.3732839615807717,-0.6265108872547547,2.0007199203129202,0.5201149425287356,0.5210034619256084,15.835984500095837,-0.27419006093759524,True
BO_h2_lb30_ma100_x1,96.92232180255897,9792232.180255897,1.2285526710840022,0.826879508415719,1.3694160925252614,-0.6111774926664726,2.010140566080105,0.5234674329501916,0.5243338046723169,22.03953157363187,-0.16996120813017634,True
BO_h2_lb21_ma50_x1.5,95.97571040981519,9697571.04098152,1.2247716049492454,1.2888336522299841,1.239497239425167,-0.9360147809433763,1.3084960087006758,0.5201149425287356,0.7797408819774153,22.538939557114254,-0.5372024477577269,True
BO_h3_lb30_ma100_x2,90.36495856723495,9136495.856723495,1.2017135362575107,1.8866779017336703,1.2924531567281001,-0.943009667748551,1.2743385114244044,0.5234674329501916,1.0567498433867324,28.611143357930096,-0.6203685263014738,True
BO_h3_lb30_ma50_x1,87.76207781783688,8876207.781783689,1.190617646742644,0.8990830649519825,1.3018241338173402,-0.6221971851383119,1.9135696450924549,0.5201149425287356,0.5209842084499384,9.346020736277957,-0.24998503868398947,True
BO_h2_lb21_ma50_x1.25,83.60403277179628,8460403.277179629,1.1723220191735058,1.0689044351364465,1.2404135228742608,-0.8896829409657642,1.317685172091681,0.5201149425287356,0.6500107153493965,16.840300617000356,-0.44339653218383035,True
BO_h2_lb14_ma50_x1.5,75.6116707018827,7661167.07018827,1.1349643981025608,1.2829710185731436,1.203167807427636,-0.8667929220675735,1.3093835554117286,0.5201149425287356,0.7812710059746634,24.807449097817276,-0.4440824114188675,True
BO_h3_lb30_ma100_x1,72.95729762380142,7395729.762380143,1.1218449164500637,0.8802317192437009,1.2770608455848305,-0.67765566519065,1.6554792855372154,0.5234674329501916,0.5243123958343643,11.490874534892116,-0.318617561583207,True
BO_h2_lb14_ma50_x1.25,67.29976181061922,6829976.181061922,1.0925311743502752,1.0614121340086198,1.203552110692062,-0.7966156910634601,1.371465797882761,0.5201149425287356,0.6508102944482219,17.44849321942995,-0.332609220651654,True
BO_h1_lb30_ma50_x1.25,64.56631591515534,6556631.591515535,1.0776439022263835,1.412919942293333,1.1762038009631215,-0.8205710509890496,1.313285304090949,0.5201149425287356,0.6515023236087263,6.313412475387929,-0.3173621762755616,True
BO_h1_lb30_ma50_x1,62.094803672702575,6309480.367270257,1.0637355835683038,1.1251793319196688,1.172015372706263,-0.7319678223414736,1.4532545708984126,0.5201149425287356,0.5210013385056839,5.639037435516164,-0.22266335309955465,True
BO_h2_lb21_ma100_x1.5,60.267875608065225,6126787.560806522,1.0531626824187668,1.2708502636936367,1.1788032461727187,-0.882986317896716,1.1927282009617237,0.5234674329501916,0.7852238136558162,21.4310017956182,-0.527473883744733,True
BO_h2_lb14_ma100_x1.5,57.55850476953757,5855850.476953757,1.0369934266666587,1.2656517445557627,1.1684751229471462,-0.8019998142461425,1.2930095596610625,0.5234674329501916,0.7865174230863068,24.80126652067133,-0.6145638888703198,True
BO_h2_lb21_ma50_x1,56.65491347503446,5765491.347503446,1.0314635385591706,0.855199965571956,1.2419935916963716,-0.817016516379917,1.2624757491188032,0.5201149425287356,0.5211357485789323,11.227611090185496,-0.34678192063512114,True
BO_h2_lb21_ma100_x1.25,55.43414306513907,5643414.306513906,1.0238778350749236,1.0542408228568858,1.178050189719578,-0.8177402982408689,1.2520819106964642,0.5234674329501916,0.6543717315081379,16.282061429795732,-0.45390036727125294,True
BO_h2_lb21_ma50_x2,54.58123206384051,5558123.206384051,1.0184972043285274,1.778082227173026,1.24337859218373,-0.9811809858486796,1.0380319421371287,0.5201149425287356,1.0457708405769843,27.242893467969548,-0.7057753685351452,True
BO_h3_lb21_ma20_x1.5,53.8636306691394,5486363.06691394,1.0139171439785857,1.3095299408806345,1.1443699764413595,-0.9341543660640238,1.0853850078875455,0.48659003831417624,0.72983429581519,48.778323862667364,-0.6270821092990169,True
BO_h3_lb21_ma20_x1.25,52.39848159739995,5339848.159739995,1.0044102486612214,1.0940525069787477,1.147177606005415,-0.8876826887246498,1.1314969430171904,0.48659003831417624,0.6082480237354192,32.39107059627311,-0.54514540898384,True
BO_h2_lb14_ma100_x1.25,51.840310851592726,5284031.085159273,1.0007317711106176,1.0470404081133184,1.165361889163165,-0.7257008356819227,1.378986659385965,0.5234674329501916,0.6551067598746797,17.586498618045372,-0.5312750117916848,True
BO_h1_lb21_ma20_x1.25,50.74604788630481,5174604.788630481,0.9934262762804307,1.365506438139987,1.1252872052120244,-0.9251718207538404,1.073774896722401,0.48659003831417624,0.6087487093715491,31.861056570242432,-0.618243411294372,True
BO_h1_lb21_ma20_x1,50.10905056119374,5110905.056119374,0.9891146631446404,1.103268910412228,1.1284133543820847,-0.8631026431612683,1.1459988808768218,0.48659003831417624,0.48758030381069245,21.59112547403711,-0.5125006676378829,True
BO_h1_lb30_ma100_x1.25,48.2698633685007,4926986.33685007,0.976412028410423,1.3842410565707002,1.1413874894059834,-0.8499320072776273,1.1488119285422809,0.5234674329501916,0.6559904782056538,7.446949865393254,-0.5220745613178681,True
BO_h1_lb30_ma100_x1,47.64958075569742,4864958.075569742,0.9720396725651332,1.1018380876873803,1.136102859401025,-0.761386323252155,1.2766707818091634,0.5234674329501916,0.5243475898896669,6.61783957316424,-0.42606968652299226,True
BO_h2_lb14_ma50_x1,46.77544153528502,4777544.153528502,0.9657991250222779,0.8474941695040394,1.2049161895059088,-0.7005907335986866,1.3785496705920013,0.5201149425287356,0.5213317479399472,11.102642918592057,-0.22931778660477153,True
BO_h1_lb30_ma50_x1.5,46.68041865411001,4768041.865411,0.9651150847459793,1.7272629398055865,1.1884495489493874,-0.900073222271514,1.0722628569154844,0.5201149425287356,0.7845308283439817,6.122342901172888,-0.4173496195490486,True
BO_h1_lb21_ma50_x2,41.45534230774782,4245534.230774782,0.9256453101142168,2.5964594327478348,1.355147619479358,-0.9891146200005846,0.9358321992183977,0.5201149425287356,1.0590689586680866,46.93074545715329,-0.7654037408736424,True
BO_h2_lb14_ma50_x2,41.139724750869426,4213972.475086942,0.9231351375644734,1.80032517329949,1.208141982692212,-0.9492114734622731,0.9725284231945853,0.5201149425287356,1.0492684929652232,35.447718103913786,-0.6686880350208702,True
BO_h2_lb21_ma100_x1,39.96073632767608,4096073.632767608,0.913619000284785,0.8438009566094685,1.1780308081716797,-0.7267321034773109,1.2571606454610256,0.5234674329501916,0.5244497672045141,11.00060039612661,-0.3746393538707906,True
BO_h3_lb21_ma20_x1,39.86698748773646,4086698.748773646,0.9128526514766264,0.8819676247951838,1.1503159631995883,-0.8150583372044766,1.1199844352338866,0.48659003831417624,0.4875667918738917,19.45757288150563,-0.4534164396267889,True
