date,2bps,20bps,50bps,100bps
2024-05-03,0.00760452539310652,0.0066578964852930245,0.00508018163893742,0.0024506568950115604
2024-05-04,0.00014061727950709368,6.602994292914666e-05,-5.828228470072805e-05,-0.00026546933075055623
2024-05-05,0.035917165605276136,0.03504012196525674,0.033578382565224496,0.03114215023183764
2024-05-06,-0.012678668582793984,-0.012790976933079068,-0.012978157516887467,-0.013290125156568133
2024-05-07,-0.011263441924899142,-0.011300461042111576,-0.011362159570799113,-0.011464990451944823
2024-05-08,-0.02102269814719737,-0.021124658592655554,-0.021294592668419265,-0.02157781612802523
2024-05-09,0.04860266194830665,0.048299556281319544,0.047794380169674744,0.04695241998359956
2024-05-10,-0.001919214914065548,-0.0022315031511550565,-0.0027519835463042375,-0.0036194508715529095
2024-05-11,-0.005650624906204715,-0.005918641978064354,-0.00636533709783027,-0.007109828964106946
2024-05-12,-0.000223240002235503,-0.0009854403809156365,-0.0022557743453823775,-0.004372997619493724
2024-05-13,0.0025152522178100156,0.002460762953947926,0.0023699475141780724,0.002218588447894687
2024-05-14,-0.006460118671109405,-0.006485545601285669,-0.006527923818245962,-0.006598554179846561
2024-05-15,0.0010255530477314423,0.0008741878104887579,0.0006219124150845801,0.00020145342274391353
2024-05-16,-0.003615264636984694,-0.003615264636984694,-0.003615264636984694,-0.003615264636984694
2024-05-17,0.00508798260012866,0.004282604949653379,0.002940308865527763,0.0007031487253184032
2024-05-18,-0.03195199566517215,-0.03195199566517215,-0.03195199566517215,-0.03195199566517215
2024-05-19,-0.01280269699440939,-0.01492533596894463,-0.018463067593169846,-0.024359286966878724
2024-05-20,0.06546098618191332,0.06520969226251738,0.06479086906352394,0.06409283039853486
2024-05-21,-0.01171142198184405,-0.012134672424275683,-0.012840089828328294,-0.014015785501749534
2024-05-22,-0.006749657256874042,-0.007227563686417082,-0.008024074402322223,-0.009351592262163866
2024-05-23,0.04171978405954091,0.040967506240640494,0.03971370987580669,0.03762404926774998
2024-05-24,-0.029195140770020944,-0.029314642240968358,-0.02951381135921427,-0.029845759889624124
2024-05-25,0.027362350038193428,0.027113090638907655,0.026697658306764627,0.02600527108652617
2024-05-26,0.03056930627177845,0.03052862936084022,0.030460834509276946,0.03034784309000438
2024-05-27,0.02379458356738584,0.023646714551560866,0.023400266191852648,0.022989518925672137
2024-05-28,-0.022399427111593595,-0.022399427111593595,-0.022399427111593595,-0.022399427111593595
2024-05-29,-0.04194266822700976,-0.04197239972488509,-0.04202195222134386,-0.042104539715441924
2024-05-30,-0.012067195146245546,-0.012102731769737085,-0.012161959475556094,-0.012260672318587629
2024-05-31,0.03772003241525934,0.03772003241525934,0.03772003241525934,0.03772003241525934
2024-06-01,-0.019981696003990135,-0.019981696003990135,-0.019981696003990135,-0.019981696003990135
2024-06-02,-0.007737008727621286,-0.007737008727621286,-0.007737008727621286,-0.007737008727621286
2024-06-03,-0.0074878364372106265,-0.0074878364372106265,-0.0074878364372106265,-0.0074878364372106265
2024-06-04,-0.0033137137032757114,-0.0033137137032757114,-0.0033137137032757114,-0.0033137137032757114
2024-06-05,0.006091764818486167,0.005922245892106881,0.005639714348141478,0.005168828441532547
2024-06-06,-0.009707805500332678,-0.00973272966731975,-0.009774269945631686,-0.00984350374281806
2024-06-07,-0.05542672951182104,-0.05544010482871342,-0.05546239702353428,-0.055499550681568977
2024-06-08,-0.02476548307238835,-0.024821621752677214,-0.024915186219825136,-0.02507112699840497
2024-06-09,0.02309160939476218,0.023068676451898362,0.023030454880459184,0.022966752261393664
2024-06-10,-0.0221779156871853,-0.022197547438661203,-0.02223026702445452,-0.022284799667443234
2024-06-11,0.007185107800255608,0.006994557618883457,0.006676973983263501,0.00614766792389676
2024-06-12,0.03685750451035563,0.036387248883100964,0.03560348950434289,0.03429722387307965
2024-06-13,-0.019289288764282153,-0.019552866468388275,-0.019992162641898292,-0.02072432293108173
2024-06-14,0.006364723147666007,0.006248627491017178,0.006055134729936018,0.005732646794800456
2024-06-15,0.012822133326183316,0.012623274572692411,0.01229184331687394,0.011739457890509897
2024-06-16,0.004221270734694693,0.0032085894619278132,0.001520787340649754,-0.0012922161948139
2024-06-17,-0.012876884783721398,-0.012876884783721398,-0.012876884783721398,-0.012876884783721398
2024-06-18,-0.01020896478787825,-0.01020896478787825,-0.01020896478787825,-0.01020896478787825
2024-06-19,-0.0011029100646140488,-0.001223854167435312,-0.0014254276721374914,-0.0017613835133079014
2024-06-20,0.001987742416581062,0.0018925192273937519,0.0017338139120814944,0.0014693050532277319
2024-06-21,0.0005562314893556852,0.0005562314893556852,0.0005562314893556852,0.0005562314893556852
2024-06-22,0.003383353997774341,0.00337705217899531,0.003366549147696851,0.003349044095532827
2024-06-23,-0.0017537575721113807,-0.0022050095824905913,-0.0029570962664561273,-0.004210574073065354
2024-06-24,-0.00030821215202669894,-0.000809242354212647,-0.0016442926911894862,-0.0030360432528172554
2024-06-25,8.331791284987844e-05,4.4485357591383945e-05,-2.0235567839699264e-05,-0.00012810377689154162
2024-06-26,0.0015521911306417557,0.00140973001430722,0.001172294820416031,0.0007765694972641235
2024-06-27,0.0014721932656909242,0.0014721932656909242,0.0014721932656909242,0.0014721932656909242
2024-06-28,-0.002539837155873026,-0.002592101681055614,-0.0026792092230266684,-0.0028243884596450552
2024-06-29,0.002320178238827131,0.0022765623391929335,0.002203869173135864,0.0020827138963741554
2024-06-30,-0.0002818721937631885,-0.0004697975833137802,-0.0007830065658981367,-0.0013050215368720641
2024-07-01,-0.00404405640319816,-0.00404405640319816,-0.00404405640319816,-0.00404405640319816
