rebalance_date,sector,sector_score,sector_weight,sector_rank,sector_ret_30,sector_ret_60,sector_ret_90,sector_rel_btc_60,breadth_positive_30,breadth_above_ma20,leader_momentum,top2_momentum,member_count
2024-05-30,Store of Value,0.7375,0.3333333333333333,2.0,0.127193056961304,-0.04160144355348838,0.09474325758334179,0.0,1.0,1.0,0.07006474693127385,0.07006474693127385,1.0
2024-05-30,Oracle / Middleware,0.6291666666666667,0.3333333333333333,3.0,0.3673780487804881,-0.06416275430359941,-0.10568295114656023,-0.02256131075011103,1.0,1.0,0.14330360786985216,0.14330360786985216,1.0
2024-06-13,Exchange / Trading Infrastructure,0.895,0.3333333333333333,1.0,-0.045801526717557106,inf,inf,inf,0.0,1.0,inf,inf,1.0
2024-06-13,Store of Value,0.77,0.3333333333333333,2.0,0.08438973635092184,0.014854261282943426,-0.03963961812091077,0.0,1.0,0.0,0.038723222936161796,0.038723222936161796,1.0
2024-06-13,Payments,0.52,0.3333333333333333,3.0,-0.02072782141846885,-0.03128045943786373,-0.18344134764080222,-0.046134720720807154,0.5,0.0,-0.02386176494344895,-0.05643631806875399,2.0
2024-06-27,CASH,0.0,1.0,,,,,,,,,,
2024-07-11,CASH,0.0,1.0,,,,,,,,,,
2024-07-25,CASH,0.0,1.0,,,,,,,,,,
2024-08-08,CASH,0.0,1.0,,,,,,,,,,
2024-08-22,CASH,0.0,1.0,,,,,,,,,,
2024-09-05,CASH,0.0,1.0,,,,,,,,,,
2024-09-19,CASH,0.0,1.0,,,,,,,,,,
2024-10-03,CASH,0.0,1.0,,,,,,,,,,
2024-10-17,Smart Contract Platform / L1,0.87,0.3333333333333333,1.0,0.27255659627252726,0.3705702237584228,0.12774471395287856,0.21708340446138236,0.8571428571428571,0.42857142857142855,1.075917239963807,0.9561136455919744,7.0
2024-10-17,Meme,0.81,0.3333333333333333,2.0,0.28189910979228494,0.2947052947052946,0.03266932270916323,0.14121847540825416,1.0,1.0,0.23589500784956347,0.23589500784956347,1.0
2024-10-17,Store of Value,0.5700000000000001,0.3333333333333333,3.0,0.11749159795025288,0.15348681929704044,0.010499113381220226,0.0,1.0,1.0,0.10689166744048262,0.10689166744048262,1.0
2024-10-31,Meme,0.9083333333333334,0.3333333333333333,1.0,0.29939620197819095,0.5278696991113087,0.33473072470592846,0.30289454494153645,1.0,0.5,0.5537189498229992,0.37500515566367376,2.0
2024-10-31,Smart Contract Platform / L1,0.8166666666666665,0.3333333333333333,2.0,0.0045005136510546705,0.422331784648594,0.3763101534230947,0.1973566304788218,0.42857142857142855,0.14285714285714285,0.9531372343108941,0.6603550729973593,7.0
2024-10-31,Store of Value,0.725,0.3333333333333333,3.0,0.1549180902272509,0.2249751541697722,0.14303013726285063,0.0,1.0,1.0,0.17355761881712722,0.17355761881712722,1.0
2024-11-14,Meme,0.9166666666666666,0.3333333333333333,1.0,1.1193801000401729,1.6918299034456001,1.7534594725568011,1.2150737885093337,1.0,1.0,2.32477497852999,1.866382771694865,3.0
2024-11-14,Smart Contract Platform / L1,0.6666666666666669,0.3333333333333333,2.0,0.27223767896039847,0.5967370637196241,0.6862564001011702,0.11998094878335763,0.9,0.9,1.5706242508597628,1.21899407196692,10.0
2024-11-14,Store of Value,0.65,0.3333333333333333,3.0,0.30223803315873066,0.47675611493626646,0.4829130193448634,0.0,1.0,1.0,0.3907284549292179,0.3907284549292179,1.0
2024-11-28,Payments,0.8928571428571429,0.3333333333333333,1.0,2.074864121041915,1.7624997279579921,2.094768392469745,1.3043756170867762,1.0,1.0,4.131573573077388,2.929944534891735,4.0
2024-11-28,Meme,0.7857142857142858,0.3333333333333333,2.0,0.8105564911740649,1.2742466858334323,1.8829862475442045,0.8161225749622163,1.0,1.0,1.9011952184046104,1.164149500845903,2.0
2024-11-28,DeFi,0.6642857142857144,0.3333333333333333,3.0,0.6086737266767523,0.7118325731151061,1.1656483367277661,0.2537084622438901,1.0,1.0,0.7510163026184613,0.7510163026184613,1.0
2024-12-12,Payments,0.8875000000000001,0.3333333333333333,1.0,2.134038950455381,3.158276037184012,2.9722320967875833,2.566631654794722,1.0,0.75,4.071414274269825,3.472352072748136,4.0
2024-12-12,Oracle / Middleware,0.6958333333333334,0.3333333333333333,2.0,1.0837508947745165,1.7104283054003724,1.54235807860262,1.1187839230110823,1.0,1.0,1.3634755547278938,1.3634755547278938,1.0
2024-12-12,Meme,0.6375000000000001,0.3333333333333333,3.0,0.06505549978385994,1.622416891284816,1.903516739551941,1.030772508895526,1.0,0.0,1.3873337954906981,0.899956165187763,2.0
2024-12-26,Payments,0.93,0.3333333333333333,1.0,0.37275763348428387,2.7984226072459135,2.3124045234955184,2.390224905394096,0.75,0.0,2.686382267454783,2.2200120252188835,4.0
2024-12-26,Meme,0.6500000000000001,0.3333333333333333,2.0,-0.11860114356301421,0.7735778546590913,0.7393293032489509,0.3653801528072739,0.0,0.0,0.5599101816228336,0.4649944962235091,3.0
2024-12-26,Oracle / Middleware,0.5599999999999999,0.3333333333333333,3.0,0.13189525403473507,0.762893139835017,0.42499102142148515,0.3546954379831996,0.5,0.0,0.6304451368083919,0.3798137732521697,2.0
2025-01-09,Exchange / Trading Infrastructure,0.9892857142857143,0.3333333333333333,1.0,1.2972483707458364,3.9071925754060324,4.853321033210332,3.756517754012918,1.0,1.0,2.7914461646367945,2.7914461646367945,1.0
2025-01-09,Payments,0.7821428571428573,0.3333333333333333,2.0,-0.07245096041378943,2.4245685583896672,2.81775599869446,2.273893736996553,0.0,0.5,1.9772970441788067,1.7290941608747104,4.0
2025-01-09,DeFi,0.6964285714285715,0.3333333333333333,3.0,0.01641478053366119,0.47763469119579494,0.9550733708881007,0.32695986980268055,1.0,0.0,0.3425124718031892,0.3425124718031892,1.0
2025-01-23,Exchange / Trading Infrastructure,0.85,0.3333333333333333,1.0,0.2254821812236718,1.7786597775194715,2.730935112153139,1.7183069042775632,0.5,0.5,2.3359149345002397,1.1925260462983052,2.0
2025-01-23,Payments,0.7714285714285715,0.3333333333333333,2.0,0.12227675703152038,0.6021666888351392,3.8504015523659025,0.5418138155932309,0.75,0.75,1.569317905196999,1.555164885867507,4.0
2025-01-23,DeFi,0.7071428571428572,0.3333333333333333,3.0,-0.09979193341869386,0.9698225542843804,1.4488063275524272,0.9094696810424721,0.0,1.0,0.5308120650864526,0.5308120650864526,1.0
2025-02-06,Exchange / Trading Infrastructure,0.9583333333333334,0.3333333333333333,1.0,0.02635588056063387,1.5355664283025967,4.481692432872253,1.581277948069261,1.0,0.0,1.3701863553455467,1.3701863553455467,1.0
2025-02-06,Payments,0.7333333333333334,0.3333333333333333,2.0,-0.10824080108667844,-0.2553486566639732,2.2795773847857,-0.209637136897309,0.25,0.0,0.6196411994979263,0.5487147969424815,4.0
2025-02-06,Store of Value,0.6958333333333333,0.3333333333333333,3.0,-0.0039012828948963296,-0.04571151976666421,0.2612507381242808,0.0,0.0,0.0,0.036586050247408734,0.036586050247408734,1.0
2025-02-20,Payments,0.8500000000000002,0.3333333333333333,1.0,-0.1544766859496082,0.084854878743295,0.44122150447873665,0.05071139028614957,0.25,0.75,0.2266954671987645,0.19076639250572752,4.0
2025-02-20,Exchange / Trading Infrastructure,0.8458333333333333,0.3333333333333333,2.0,-0.3732189791119104,0.09418014972228916,2.0186542305129915,0.06003666126514373,0.0,0.0,0.24537540146332992,0.24537540146332992,1.0
2025-02-20,Store of Value,0.6125,0.3333333333333333,3.0,-0.0735707703059687,0.03414348845714543,-0.006718755886347405,0.0,0.0,1.0,-0.027886089793110205,-0.027886089793110205,1.0
2025-03-06,CASH,0.0,1.0,,,,,,,,,,
2025-03-20,CASH,0.0,1.0,,,,,,,,,,
2025-04-03,CASH,0.0,1.0,,,,,,,,,,
2025-04-17,CASH,0.0,1.0,,,,,,,,,,
2025-05-01,CASH,0.0,1.0,,,,,,,,,,
2025-05-15,Privacy,0.8642857142857143,0.3333333333333333,1.0,0.5743045426663298,0.6253581840270115,0.4810566402306804,0.37076871601359374,1.0,1.0,0.5709710545874044,0.5709710545874044,1.0
2025-05-15,Meme,0.7714285714285715,0.3333333333333333,2.0,0.6157325099894272,0.5652317478996286,0.048947198075368514,0.31064227988621085,1.0,1.0,0.8971994546780281,0.620443995817354,3.0
2025-05-15,Smart Contract Platform / L1,0.6357142857142857,0.3333333333333333,3.0,0.39813054255283226,0.303973408632052,-0.014859778948290658,0.04938394061863427,1.0,1.0,0.6852095548091233,0.5548223470453642,8.0
2025-05-29,Privacy,0.875,0.3333333333333333,1.0,0.346039939992806,0.5952792381291581,0.5937425717376756,0.2862378962833334,1.0,0.0,0.4703522557826855,0.4703522557826855,1.0
2025-05-29,Store of Value,0.7892857142857143,0.3333333333333333,2.0,0.13477318870269772,0.30904134184582466,0.2788768690399439,0.0,1.0,1.0,0.21587437071308505,0.21587437071308505,1.0
2025-05-29,Smart Contract Platform / L1,0.6892857142857143,0.3333333333333333,3.0,0.12576374307699678,0.24131836236767223,0.1256213011276496,-0.06772297947815242,1.0,0.375,0.42713524418981913,0.32741741722614465,8.0
2025-06-12,Store of Value,0.8714285714285714,0.3333333333333333,1.0,0.05640867471168076,0.29796706033585685,0.29387901623286106,0.0,1.0,1.0,0.17637025870316964,0.17637025870316964,1.0
2025-06-12,Privacy,0.8,0.3333333333333333,2.0,-0.0223871906275408,0.622817418353139,0.5677203362464274,0.3248503580172821,0.0,0.0,0.2891956974414568,0.2891956974414568,1.0
2025-06-12,Smart Contract Platform / L1,0.7214285714285714,0.3333333333333333,3.0,-0.07102581915241454,0.2630324207575402,0.1992054770915871,-0.03493463957831666,0.25,0.5,0.36882166931467014,0.272828725293096,8.0
2025-06-26,Exchange / Trading Infrastructure,0.85,0.3333333333333333,1.0,0.09433551325165905,0.2302564530817018,0.2084980020447245,0.0971845705870805,0.3333333333333333,0.3333333333333333,0.5719544739123802,0.28926893790069225,3.0
2025-06-26,Privacy,0.7928571428571428,0.3333333333333333,2.0,-0.2255447146242604,0.3523042711897231,0.42802980813256886,0.21923238869510175,0.0,0.0,0.0785248856713005,0.0785248856713005,1.0
2025-06-26,Store of Value,0.7142857142857143,0.3333333333333333,3.0,-0.019557774450441157,0.13307188249462132,0.2707942899050777,0.0,0.0,1.0,0.08430153550418136,0.08430153550418136,1.0
