coin_id,price,market_cap,volume_usd,history_days,symbol,name,sector,rebalance_date,universe_rank
solana,187.7,107999525260.90976,2460799372.66,141,SOL,Solana,Smart Contract Platform / L1,2021-09-09,3
cardano,2.517,93024947964.89368,249846243.84,141,ADA,Cardano,Smart Contract Platform / L1,2021-09-09,4
filecoin,88.6,68516348105.361855,94567741.48,141,FIL,Filecoin,Oracle / Middleware,2021-09-09,5
ripple,1.087,66926577718.74274,108224647.36,141,XRP,XRP,Payments,2021-09-09,6
binancecoin,421.29,56776047549.72214,78137474.02,141,BNB,BNB,Exchange / Trading Infrastructure,2021-09-09,7
polkadot,29.83,50154450322.13821,213747710.79,141,DOT,Polkadot,Smart Contract Platform / L1,2021-09-09,8
dogecoin,0.2525,38868995461.33191,102990009.49,141,DOGE,Dogecoin,Meme,2021-09-09,9
internet-computer,60.77,33540336709.014565,33213302.57,141,ICP,Internet Computer,Smart Contract Platform / L1,2021-09-09,10
algorand,2.3,20505976782.679634,826274652.36,141,ALGO,Algorand,Smart Contract Platform / L1,2021-09-09,11
chainlink,27.98,20335846477.81382,247507735.16,141,LINK,Chainlink,Oracle / Middleware,2021-09-09,12
avalanche-2,40.76,17572753046.77215,97447803.14,141,AVAX,Avalanche,Smart Contract Platform / L1,2021-09-09,13
uniswap,23.3,14761895059.399563,71324215.74,141,UNI,Uniswap,DeFi,2021-09-09,14
hedera-hashgraph,0.3304,14310548012.073353,60935485.54,141,HBAR,Hedera,Payments,2021-09-09,15
litecoin,180.32,13893742069.135271,186638367.57,141,LTC,Litecoin,Payments,2021-09-09,16
bitcoin-cash,661.21,13239523683.509623,39549267.78,141,BCH,Bitcoin Cash,Payments,2021-09-09,17
near,9.752,12613922561.892986,68637042.3,141,NEAR,NEAR Protocol,Smart Contract Platform / L1,2021-09-09,18
stellar,0.3326,11030568233.912031,85767431.56,141,XLM,Stellar,Payments,2021-09-09,19
vechain,0.1217,10464321005.571526,46819619.8,141,VET,VeChain,Payments,2021-09-09,20
bitcoin,44893.87,898702796753.9741,1522818255.74,155,BTC,Bitcoin,Store of Value,2021-09-23,1
ethereum,3154.62,380783507415.66455,1048023991.37,155,ETH,Ethereum,Smart Contract Platform / L1,2021-09-23,2
solana,150.0,86307558812.66098,685101799.96,155,SOL,Solana,Smart Contract Platform / L1,2021-09-23,3
cardano,2.33,86113678489.55196,101591318.36,155,ADA,Cardano,Smart Contract Platform / L1,2021-09-23,4
ripple,1.002,61693128679.09864,61662073.78,155,XRP,XRP,Payments,2021-09-23,5
polkadot,33.46,56257724028.78795,151610714.84,155,DOT,Polkadot,Smart Contract Platform / L1,2021-09-23,6
binancecoin,383.86,51731713576.00783,75343302.05,155,BNB,BNB,Exchange / Trading Infrastructure,2021-09-23,7
dogecoin,0.2246,34574163883.624344,52393090.7,155,DOGE,Dogecoin,Meme,2021-09-23,8
avalanche-2,76.45,32959690147.83442,169923173.03,155,AVAX,Avalanche,Smart Contract Platform / L1,2021-09-23,9
internet-computer,50.53,27888649233.281322,31755743.38,155,ICP,Internet Computer,Smart Contract Platform / L1,2021-09-23,10
chainlink,25.44,18489776068.4626,132933173.42,155,LINK,Chainlink,Oracle / Middleware,2021-09-23,11
algorand,2.004,17866946727.16956,172265409.47,155,ALGO,Algorand,Smart Contract Platform / L1,2021-09-23,12
hedera-hashgraph,0.3831,16593132395.355028,29765912.36,155,HBAR,Hedera,Payments,2021-09-23,13
uniswap,21.49,13615155571.952642,27438454.17,155,UNI,Uniswap,DeFi,2021-09-23,14
litecoin,163.94,12631655250.743324,87500451.56,155,LTC,Litecoin,Payments,2021-09-23,15
near,9.176,11868883657.498978,27966054.93,155,NEAR,NEAR Protocol,Smart Contract Platform / L1,2021-09-23,16
bitcoin-cash,552.76,11068010331.508564,31373219.29,155,BCH,Bitcoin Cash,Payments,2021-09-23,17
stellar,0.303,10048894091.627617,42666087.51,155,XLM,Stellar,Payments,2021-09-23,18
tezos,6.21,6720876621.413048,126455368.41,155,XTZ,Tezos,Smart Contract Platform / L1,2021-09-23,19
monero,249.16,4594949693.673487,38459534.35,155,XMR,Monero,Privacy,2021-09-23,20
bitcoin,43829.34,877392624825.6348,1469981944.79,162,BTC,Bitcoin,Store of Value,2021-09-30,1
ethereum,3000.83,362220036821.5977,1074045517.68,162,ETH,Ethereum,Smart Contract Platform / L1,2021-09-30,2
solana,141.32,81313228076.03499,405424340.44,162,SOL,Solana,Smart Contract Platform / L1,2021-09-30,3
cardano,2.116,78204525186.21973,67184973.17,162,ADA,Cardano,Smart Contract Platform / L1,2021-09-30,4
ripple,0.953,58676199232.71557,50951886.17,162,XRP,XRP,Payments,2021-09-30,5
binancecoin,387.47,52218222944.03104,66052714.25,162,BNB,BNB,Exchange / Trading Infrastructure,2021-09-30,6
polkadot,28.6,48086398900.87673,77227257.2,162,DOT,Polkadot,Smart Contract Platform / L1,2021-09-30,7
filecoin,60.07,46453465357.66464,32579126.61,162,FIL,Filecoin,Oracle / Middleware,2021-09-30,8
dogecoin,0.2042,31433856923.5801,39449941.19,162,DOGE,Dogecoin,Meme,2021-09-30,9
avalanche-2,66.62,28721707752.108948,55214324.53,162,AVAX,Avalanche,Smart Contract Platform / L1,2021-09-30,10
chainlink,24.0,17443184970.247734,113474069.27,162,LINK,Chainlink,Oracle / Middleware,2021-09-30,11
uniswap,23.53,14907613336.809944,62257708.98,162,UNI,Uniswap,DeFi,2021-09-30,12
algorand,1.627,14505749663.225985,81547548.82,162,ALGO,Algorand,Smart Contract Platform / L1,2021-09-30,13
axie-infinity,74.63,12672332246.394196,31237375.96,162,AXS,Axie Infinity,Other,2021-09-30,14
litecoin,153.27,11809526657.810354,97476558.53,162,LTC,Litecoin,Payments,2021-09-30,15
stellar,0.2788,9246309150.97617,33688833.34,162,XLM,Stellar,Payments,2021-09-30,16
tezos,6.072,6571523807.603869,60092116.58,162,XTZ,Tezos,Smart Contract Platform / L1,2021-09-30,17
monero,251.19,4632386472.763859,51120683.33,162,XMR,Monero,Privacy,2021-09-30,18
bitcoin,53797.21,1076933289212.1099,1836529821.85,169,BTC,Bitcoin,Store of Value,2021-10-07,1
ethereum,3588.12,433109825788.3023,1115192656.55,169,ETH,Ethereum,Smart Contract Platform / L1,2021-10-07,2
solana,154.35,88810478018.22815,505641394.78,169,SOL,Solana,Smart Contract Platform / L1,2021-10-07,3
cardano,2.279,84228786814.45876,95081141.68,169,ADA,Cardano,Smart Contract Platform / L1,2021-10-07,4
ripple,1.068,65756747933.41053,55234882.33,169,XRP,XRP,Payments,2021-10-07,5
binancecoin,438.39,59080565608.77943,105377677.07,169,BNB,BNB,Exchange / Trading Infrastructure,2021-10-07,6
polkadot,33.98,57132022190.62206,135442599.69,169,DOT,Polkadot,Smart Contract Platform / L1,2021-10-07,7
filecoin,71.45,55253872145.91541,39124742.41,169,FIL,Filecoin,Oracle / Middleware,2021-10-07,8
dogecoin,0.2429,37391203950.722855,166016073.49,169,DOGE,Dogecoin,Meme,2021-10-07,9
internet-computer,50.92,28103899049.251633,56748935.69,169,ICP,Internet Computer,Smart Contract Platform / L1,2021-10-07,10
avalanche-2,61.49,26510024162.071136,78030750.67,169,AVAX,Avalanche,Smart Contract Platform / L1,2021-10-07,11
axie-infinity,124.25,21097913461.268642,61405457.67,169,AXS,Axie Infinity,Other,2021-10-07,12
chainlink,26.83,19500027197.98945,130568906.71,169,LINK,Chainlink,Oracle / Middleware,2021-10-07,13
algorand,1.891,16859479172.19443,118093863.3,169,ALGO,Algorand,Smart Contract Platform / L1,2021-10-07,14
uniswap,25.53,16174728792.552397,41101744.79,169,UNI,Uniswap,DeFi,2021-10-07,15
litecoin,178.57,13758903733.836987,156084666.46,169,LTC,Litecoin,Payments,2021-10-07,16
shiba-inu,2.287e-05,13462418101.068493,69959629.25,169,SHIB,Shiba Inu,Meme,2021-10-07,17
bitcoin-cash,611.56,12245373034.114946,57372930.45,169,BCH,Bitcoin Cash,Payments,2021-10-07,18
stellar,0.3436,11395379570.57178,126593988.15,169,XLM,Stellar,Payments,2021-10-07,19
tezos,7.608,8233885561.306033,79238155.0,169,XTZ,Tezos,Smart Contract Platform / L1,2021-10-07,20
bitcoin,62283.96,1246824322450.095,3962470063.85,183,BTC,Bitcoin,Store of Value,2021-10-21,1
ethereum,4062.76,490402014375.1277,2439959842.9,183,ETH,Ethereum,Smart Contract Platform / L1,2021-10-21,2
solana,190.25,109466753760.725,1320931174.52,183,SOL,Solana,Smart Contract Platform / L1,2021-10-21,3
cardano,2.138,79017615712.7305,144579332.12,183,ADA,Cardano,Smart Contract Platform / L1,2021-10-21,4
