,strategy_5bps,strategy_8bps,strategy_10bps,strategy_15bps,btc
2023-04-09,0.012922894894981551,0.012405735953320729,0.012060963325546847,0.011199031756111921,0.013784826464416478
2023-04-10,0.04658623223551772,0.04658623223551772,0.04658623223551772,0.04658623223551772,0.04658623223551772
2023-04-11,0.01962969117995783,0.01962969117995783,0.01962969117995783,0.01962969117995783,0.01962969117995783
2023-04-12,-0.003175322664233371,-0.003175322664233371,-0.003175322664233371,-0.003175322664233371,-0.003175322664233371
2023-04-13,0.008627129576773696,0.008627129576773696,0.008627129576773696,0.008627129576773696,0.008627129576773696
2023-04-14,0.0028498784358998996,0.0028498784358998996,0.0028498784358998996,0.0028498784358998996,0.0028498784358998996
2023-04-15,-0.005484639553306692,-0.005484639553306692,-0.005484639553306692,-0.005484639553306692,-0.005484639553306692
2023-04-16,0.00043953949387898206,-7.464823516778463e-05,-0.0004174400545321477,-0.0012744196029430555,-0.0001036165133504463
2023-04-17,-0.014019542201189061,-0.014019542201189061,-0.014019542201189061,-0.014019542201189061,-0.02870857154939921
2023-04-18,0.02927963375352527,0.02927963375352527,0.02927963375352527,0.02927963375352527,0.032348662861073185
2023-04-19,-0.05472779864661681,-0.05472779864661681,-0.05472779864661681,-0.05472779864661681,-0.05180917938769791
2023-04-20,-0.02383439719656244,-0.02383439719656244,-0.02383439719656244,-0.02383439719656244,-0.020008311265487855
2023-04-21,-0.03713659687812776,-0.03713659687812776,-0.03713659687812776,-0.03713659687812776,-0.034308505922106214
2023-04-22,-0.000340358706645838,-0.0005445739306333408,-0.000680717413291565,-0.001021076119937403,0.0198186391366737
2023-04-23,-0.03421375702817675,-0.03447732842656459,-0.03465304269215663,-0.035092328356136404,-0.008128562166731523
2023-04-24,-0.010980791604754403,-0.010980791604754403,-0.010980791604754403,-0.010980791604754403,-0.0023936867684170027
2023-04-25,0.03039175929819593,0.03039175929819593,0.03039175929819593,0.03039175929819593,0.02841958011402257
2023-04-26,0.013359708942668025,0.013359708942668025,0.013359708942668025,0.013359708942668025,0.0040661446251371025
2023-04-27,-0.0021533508562643355,-0.0021533508562643355,-0.0021533508562643355,-0.0021533508562643355,0.036980486466571705
2023-04-28,-0.005665636947405961,-0.005665636947405961,-0.005665636947405961,-0.005665636947405961,-0.00453025222761394
2023-04-29,0.0027116983061468147,0.0027116983061468147,0.0027116983061468147,0.0027116983061468147,-0.0031279244773683157
2023-04-30,-0.011660873247925974,-0.012221594385307122,-0.012595408476894554,-0.013529943705863023,0.0006946912943308625
2023-05-01,-0.10150200186375369,-0.10150200186375369,-0.10150200186375369,-0.10150200186375369,-0.04022159965502281
