strategy,total_return,cagr,annualized_volatility,sharpe,sortino,max_drawdown,calmar,monthly_win_rate,annualized_turnover,avg_turnover_per_rebalance,average_holdings,variant,frequency,top_k,stop_lookback,immediate_reentry,risk_on_fraction,total_return_delta_vs_momentum,cagr_delta_vs_momentum,sharpe_delta_vs_momentum,drawdown_improvement_vs_momentum
SECTOR_LEAD_V3_top2_7D_BTC14_reentry_1,2.039839706901839,0.24887004977099592,0.2740626610424211,0.9452910551603625,1.6895595122545617,-0.3746531905500202,0.664267797654773,0.22950819672131148,19.800089307510618,1.0211824057481822,0.24863088718510407,V3+STOP,7D,2.0,14.0,True,0.5197152245345017,0.2766110833158226,0.023590977482231157,0.26541283916150926,0.11847752118964516
SECTOR_LEAD_V3_top1_biweekly_BTC24_reentry_0,2.0030177483432654,0.24583140196204423,0.5173516757268145,0.6721323988387976,1.221308645290192,-0.6032365351045965,0.4075207446104354,0.18032786885245902,10.394304490690033,1.2093023255813953,0.18400876232201532,V3+STOP,biweekly,1.0,24.0,False,0.5043811610076671,0.239789124757249,0.020552329673279468,-0.007745817160055624,-0.11010582336493113
SECTOR_LEAD_V3_top1_7D_BTC18_reentry_0,1.9651602684169887,0.24267605905793088,0.3554092867091291,0.7821342687338237,1.4662898899424373,-0.5406571450605399,0.4488538832327044,0.16393442622950818,13.992332968236584,1.0606060606060606,0.11336254107338445,V3+STOP,7D,1.0,18.0,False,0.5082146768893757,0.20193164483097226,0.017396986769166123,0.10225605273497052,-0.04752643332087447
SECTOR_LEAD_V3_top1_7D_BTC14_reentry_0,1.8466163712006396,0.23258258212395289,0.33332798516916434,0.7871947402438402,1.5003401727717256,-0.44816524576301775,0.5189661276120876,0.16393442622950818,11.9934282584885,1.0344827586206897,0.10131434830230011,V3+STOP,7D,1.0,14.0,False,0.5197152245345017,0.0833877476146232,0.007303509835188127,0.10731652424498694,0.044965465976647634
SECTOR_LEAD_V3_top1_7D_BTC18_reentry_1,1.83311014379772,0.23141136032720455,0.3774342705394951,0.7332406487832178,1.360683448762013,-0.5407731481898521,0.42792686933849333,0.16393442622950818,19.98904709748083,1.0416666666666667,0.13143483023001096,V3+STOP,7D,1.0,18.0,True,0.5082146768893757,0.06988152021170357,0.006132288038439793,0.05336243278436459,-0.04764243645018673
SECTOR_LEAD_V3_top2_biweekly_BTC21_reentry_0,1.8069224218322528,0.22912764770721172,0.4148140973038311,0.7014339463589131,1.1547640518368687,-0.6095147043413011,0.3759181625566009,0.19672131147540983,9.894896589511717,1.1000353834062948,0.3614457831325301,V3+STOP,biweekly,2.0,21.0,False,0.5021905805038335,0.043693798246236426,0.0038485754184469645,0.021555730360059866,-0.11638399260163568
SECTOR_LEAD_V3_top2_7D_BTC21_reentry_0,1.768047072457298,0.2257058628322166,0.26482593686012074,0.8984969178989481,1.5714381495762664,-0.45772500877620526,0.49310362882656167,0.19672131147540983,12.803922823392327,1.050076940288093,0.22453450164293537,V3+STOP,7D,2.0,21.0,False,0.5021905805038335,0.004818448871281689,0.0004267905434518493,0.21861870190009491,0.03540570296346013
TOP20_MOM_top8_biweekly__bull_only,1.7632286235860164,0.22527907228876476,0.4434628661769481,0.6798782159988532,1.067586270038012,-0.4931307117396654,0.4568343989244267,0.21311475409836064,8.055818159119205,0.7750223371207412,2.7524644030668126,BASELINE,biweekly,,,False,,0.0,0.0,0.0,0.0
SECTOR_LEAD_V3_top2_biweekly_NO_STOP,1.7487998354588878,0.22399748180534163,0.5212914584529833,0.6451127483789834,1.0640521390954014,-0.6107570402492527,0.3667538268800426,0.21311475409836064,13.382164591911957,1.287451662003753,0.6900328587075575,V3,biweekly,2.0,,False,,-0.014428788127128556,-0.001281590483423134,-0.03476546761986987,-0.11762632850958732
SECTOR_LEAD_V3_top2_7D_BTC18_reentry_0,1.5206738241723565,0.2029826189565127,0.2628306901053302,0.8322723132198314,1.4354950910001227,-0.48431288893461655,0.4191146335234449,0.21311475409836064,14.003265649241177,1.0455924381727413,0.2267250821467689,V3+STOP,7D,2.0,18.0,False,0.5082146768893757,-0.24255479941365987,-0.022296453332252053,0.1523940972209782,0.008817822805048836
SECTOR_LEAD_V3_top2_7D_BTC24_reentry_1,1.4970254052312235,0.20071811512600157,0.2760733239476429,0.7981450226868758,1.3828621782363806,-0.45928999530329606,0.4370182611825795,0.21311475409836064,16.39705755158734,1.038357103839032,0.25410733844468786,V3+STOP,7D,2.0,24.0,True,0.5043811610076671,-0.2662032183547929,-0.024560957162763186,0.11826680668802259,0.03384071643636932
SECTOR_LEAD_V3_top2_7D_BTC18_reentry_1,1.4251081615594958,0.19372443403873563,0.27967657341089575,0.7706228715684944,1.3249466355215906,-0.4332987491584872,0.44709206849770355,0.21311475409836064,19.999979778485425,1.0314916840986976,0.2628696604600219,V3+STOP,7D,2.0,18.0,True,0.5082146768893757,-0.3381204620265206,-0.03155463825002913,0.09074465556964117,0.05983196258117818
SECTOR_LEAD_V3_top2_7D_BTC21_reentry_1,1.4212839112311193,0.19334791622597058,0.27608495453544674,0.7757002834187239,1.3529332799447646,-0.42932599242926817,0.4503522256641026,0.21311475409836064,16.801732242888495,1.037712263673749,0.2497261774370208,V3+STOP,7D,2.0,21.0,True,0.5021905805038335,-0.3419447123548971,-0.031931156062794175,0.09582206741987065,0.06380471931039722
SECTOR_LEAD_V3_top2_7D_BTC24_reentry_0,1.3961419878973858,0.19086064254701984,0.26497104195413695,0.7892178496524558,1.3738928550806597,-0.504989049611902,0.37795006187500796,0.19672131147540983,13.792442497261774,1.0454545454545454,0.23110624315443593,V3+STOP,7D,2.0,24.0,False,0.5043811610076671,-0.36708663568863065,-0.034418429741744916,0.10933963365360255,-0.011858337872236668
SECTOR_LEAD_V3_top2_biweekly_BTC14_reentry_0,1.3864135670021454,0.18989261128863433,0.35999943941086154,0.6610290134155995,1.0658856728633208,-0.474346362443697,0.40032479707520435,0.21311475409836064,10.431899699083218,1.087251646719518,0.30120481927710846,V3+STOP,biweekly,2.0,14.0,False,0.5197152245345017,-0.37681505658387104,-0.03538646100013043,-0.018849202583253732,0.018784349295968394
SECTOR_LEAD_V3_top1_biweekly_NO_STOP,1.3408943983303283,0.18532080268094298,0.6482524949600723,0.5747309583931868,1.0265322712606884,-0.8074504499369871,0.22951352952420212,0.21311475409836064,14.392113910186199,1.6744186046511629,0.34501642935377874,V3,biweekly,1.0,,False,,-0.4223342252556881,-0.039958269607821784,-0.10514725760566646,-0.31431973819732173
SECTOR_LEAD_V3_top2_7D_BTC14_reentry_0,1.160345322481402,0.1664550170066439,0.24279237899982076,0.7539437046596208,1.2655223475387827,-0.429530707598484,0.3875276297177859,0.21311475409836064,12.2042514104679,1.0348253111453165,0.20262869660460023,V3+STOP,7D,2.0,14.0,False,0.5197152245345017,-0.6028833011046144,-0.05882405528212087,0.07406548866076756,0.06360000414118139
SECTOR_LEAD_V3_top1_biweekly_BTC21_reentry_1,1.096737850884761,0.15950762421138776,0.5597434740745084,0.5332479632722034,0.9439210024313234,-0.6324217235220647,0.2522171808442356,0.18032786885245902,19.189485213581598,1.2151898734177216,0.23055859802847756,V3+STOP,biweekly,1.0,21.0,True,0.5021905805038335,-0.6664907727012555,-0.065771448077377,-0.14663025272664987,-0.13929101178239933
SECTOR_LEAD_V3_top2_biweekly_BTC14_reentry_1,1.0541692065225,0.15476337240270266,0.4342159334870818,0.5448850488724523,0.9028236413878782,-0.6390881191321927,0.24216280630103612,0.19672131147540983,24.457689049072098,1.0639604575010282,0.452354874041621,V3+STOP,biweekly,2.0,14.0,True,0.5197152245345017,-0.7090594170635165,-0.0705156998860621,-0.13499316712640097,-0.14595740739252727
SECTOR_LEAD_V3_top2_biweekly_BTC18_reentry_0,1.0540513286631286,0.15475012620941953,0.41422574069478885,0.551616253859782,0.8865090666738185,-0.6823258379023196,0.22679798655312428,0.19672131147540983,11.264308526634652,1.0632529009891383,0.35268346111719606,V3+STOP,biweekly,2.0,18.0,False,0.5082146768893757,-0.7091772949228878,-0.07052894607934523,-0.12826196213907126,-0.18919512616265421
SECTOR_LEAD_V3_top1_biweekly_BTC14_reentry_1,0.7741431715706952,0.12142558795299463,0.5393393074774799,0.47122099639876186,0.8466843892879625,-0.6754487791935535,0.1797702382377087,0.18032786885245902,25.186199342825848,1.1454545454545455,0.2261774370208105,V3+STOP,biweekly,1.0,14.0,True,0.5197152245345017,-0.9890854520153212,-0.10385348433577013,-0.20865721960009137,-0.18231806745388812
SECTOR_LEAD_V3_top2_biweekly_BTC24_reentry_0,0.7575345352778893,0.11931918978352729,0.4151964223248971,0.4756071488435118,0.7757896273787313,-0.6931482896155398,0.172140927953106,0.18032786885245902,10.317385519617785,1.0533713144435044,0.36801752464403065,V3+STOP,biweekly,2.0,24.0,False,0.5043811610076671,-1.0056940883081271,-0.10595988250523747,-0.20427106715534143,-0.20001757787587437
TOP20_SECTOR_top4_biweekly__bull_only,0.7214697147867235,0.11468983180314662,0.4257619155904642,0.4681037746200742,0.7228421878468427,-0.6257391849339894,0.1832869581521341,0.21311475409836064,9.708311655558823,0.9340030075369026,2.108433734939759,BASELINE,biweekly,,,False,,-1.041758908799293,-0.11058924048561813,-0.21177444137877904,-0.132608473194324
SECTOR_LEAD_V3_top1_biweekly_BTC24_reentry_1,0.6110622199359343,0.10001796487089432,0.5558998229538692,0.4388923442524155,0.7669116887792272,-0.6876528672529028,0.14544833539407032,0.14754098360655737,18.389923329682365,1.2432432432432432,0.2322015334063527,V3+STOP,biweekly,1.0,24.0,True,0.5043811610076671,-1.152166403650082,-0.12526110741787044,-0.2409858717464377,-0.19452215551323737
SECTOR_LEAD_V3_top1_biweekly_BTC18_reentry_1,0.4969763865651924,0.08398631359423847,0.539891305028896,0.4095162055192006,0.7142795851085268,-0.7151083913865808,0.11744557133694195,0.14754098360655737,22.787513691128147,1.1875,0.2289156626506024,V3+STOP,biweekly,1.0,18.0,True,0.5082146768893757,-1.266252237020824,-0.1412927586945263,-0.27036201047965264,-0.2219776796469154
SECTOR_LEAD_V3_top2_biweekly_BTC21_reentry_1,0.21193445137697742,0.039170197033484566,0.45362016687265017,0.3087816959432728,0.4907928248222461,-0.7353014430457476,0.053270937251577714,0.18032786885245902,19.098888720962634,1.111008945666702,0.4611171960569551,V3+STOP,biweekly,2.0,21.0,True,0.5021905805038335,-1.551294172209039,-0.1861088752552802,-0.3710965200555804,-0.24217073130608224
SECTOR_LEAD_V3_top2_biweekly_BTC18_reentry_1,0.07174152278523138,0.013945741780071685,0.4430614567705064,0.25010928973442564,0.3960017400645815,-0.7563054484557331,0.018439298313329466,0.19672131147540983,22.275419356618787,1.0819235468861792,0.4578313253012048,V3+STOP,biweekly,2.0,18.0,True,0.5082146768893757,-1.691487100800785,-0.21133333050869307,-0.4297689262644276,-0.2631747367160677
SECTOR_LEAD_V3_top2_biweekly_BTC24_reentry_1,0.03785345351992886,0.007454496579057945,0.4512939748806673,0.23955418088704153,0.3776555562261381,-0.7314030332121635,0.010192050402524876,0.18032786885245902,18.117593337213485,1.1053366332693557,0.4644030668127054,V3+STOP,biweekly,2.0,24.0,True,0.5043811610076671,-1.7253751700660875,-0.2178245757097068,-0.44032403511181173,-0.2382723214724981
