,btc_above_ma,tracked_total_mcap_above_ma,bull,tracked_total_market_cap,tracked_alt_market_cap
2020-06-18,True,True,True,4485887296056.373,4298101427642.131
2020-06-19,True,True,True,4173346080590.237,3987138461689.705
2020-06-20,True,True,True,4277287532228.9917,4089931858919.387
2020-06-21,True,True,True,4247397649435.675,4061370596372.455
2020-06-22,True,True,True,4470563073284.145,4276552688079.02
2020-06-23,True,True,True,4561035984775.127,4368373037098.7676
2020-06-24,True,True,True,4209621311427.6465,4023591655974.31
2020-06-25,True,True,True,4432818942389.308,4247822635996.0645
2020-06-26,True,True,True,4122435125474.339,3939105349674.9106
2020-06-27,True,True,True,3899376881679.7266,3719068480805.5186
2020-06-28,True,False,False,3794372591258.7383,3611797108225.376
2020-06-29,True,True,True,3900726820717.277,3716816511738.0215
2020-06-30,True,False,False,3840943497847.6206,3658046119175.2363
2020-07-01,True,True,True,3884526166013.535,3699578504297.0845
2020-07-02,True,True,True,3862473644447.859,3680450468670.753
2020-07-03,True,True,True,4196693656288.194,4015197764785.4556
2020-07-04,True,True,True,4351931838019.9473,4168919753998.5835
2020-07-05,True,True,True,4212071108287.245,4030275341369.548
2020-07-06,True,True,True,4414689973906.449,4227577123613.0967
2020-07-07,True,True,True,4334853697429.583,4149537096868.159
2020-07-08,True,True,True,4304354844504.4165,4115397299986.198
2020-07-09,True,True,True,4213560586362.5635,4028611723542.982
2020-07-10,True,True,True,4313373165145.9917,4127430990037.34
2020-07-11,True,True,True,4329245861848.668,4144333432490.717
2020-07-12,True,True,True,4477329323867.321,4291139321146.0396
2020-07-13,True,True,True,4291020073388.111,4106092430057.1714
2020-07-14,True,False,False,4024763567335.8374,3839471989756.3022
2020-07-15,True,False,False,4036364390528.1387,3852330968477.989
2020-07-16,True,True,True,4124152270617.277,3941319751513.949
2020-07-17,True,False,False,3711844529026.1445,3528540376760.171
2020-07-18,True,True,True,4877507048937.802,4693793921055.832
2020-07-19,True,True,True,4396374623702.231,4211884782462.4233
2020-07-20,True,True,True,4679149828844.622,4495692936297.197
2020-07-21,True,True,True,4875016912935.059,4686987620952.999
2020-07-22,True,True,True,5150327655264.26,4959407508230.514
2020-07-23,True,True,True,5397087994282.796,5204607013730.734
2020-07-24,True,True,True,5117621721026.942,4926441535165.405
2020-07-25,True,True,True,4920774243067.779,4726427548986.065
2020-07-26,True,True,True,5286628666635.368,5087605677698.215
2020-07-27,True,True,True,4701467599699.165,4480405769601.062
2020-07-28,True,True,True,4568077101470.672,4349210887895.4478
2020-07-29,True,True,True,4545945304427.245,4323500203890.3115
2020-07-30,True,True,True,5158327387266.193,4935849856944.731
2020-07-31,True,True,True,5700899701261.171,5473636575699.379
2020-08-01,True,True,True,6281804696414.0625,6045339119032.728
2020-08-02,True,True,True,5837099421722.297,5615626013618.081
2020-08-03,True,True,True,5933963148977.083,5709061992721.769
2020-08-04,True,True,True,5442321831498.211,5218232420775.38
2020-08-05,True,True,True,5854111405092.704,5618854337644.687
2020-08-06,True,True,True,6112257371538.023,5876615550720.479
2020-08-07,True,True,True,6026071784788.972,5793782042625.293
2020-08-08,True,True,True,6314538786677.871,6078906975053.082
2020-08-09,True,True,True,6173031278826.532,5939089619490.462
2020-08-10,True,True,True,6436583619051.793,6198416679085.854
2020-08-11,True,True,True,6832100726586.692,6604111133814.695
2020-08-12,True,True,True,7185879409625.81,6954262885766.876
2020-08-13,True,True,True,6590492297755.232,6354461920074.913
2020-08-14,True,True,True,6978722007008.419,6743015126437.962
2020-08-15,True,True,True,7078291460818.578,6840855191923.801
2020-08-16,True,True,True,7567803374126.683,7329224856154.631
2020-08-17,True,True,True,7439656278336.403,7193406314668.713
2020-08-18,True,True,True,6828049777517.543,6588696147658.494
2020-08-19,True,True,True,6569704316772.139,6334280696356.667
2020-08-20,True,True,True,6629786848895.334,6392300133669.068
2020-08-21,True,True,True,6149407780380.547,5918648844156.917
2020-08-22,True,True,True,6327886909544.33,6094263942905.6
2020-08-23,True,True,True,6269099871433.076,6035855252280.509
2020-08-24,True,True,True,6381641161844.414,6146297014419.422
2020-08-25,True,True,True,5959602612686.8955,5732783094548.033
2020-08-26,True,True,True,5691677552385.603,5462128927749.985
2020-08-27,True,True,True,5196644005367.034,4969815278770.837
2020-08-28,True,True,True,5053698211815.378,4822781931081.63
2020-08-29,True,True,True,5181930797459.8955,4952110122965.181
2020-08-30,True,True,True,5201805526645.547,4967259312067.035
2020-08-31,True,True,True,5073771484192.398,4840400949394.965
2020-09-01,True,True,True,5243259878587.537,5004506800293.827
2020-09-02,True,True,True,5771967091301.578,5543799535082.386
2020-09-03,True,False,False,4805789731927.262,4602110266336.326
2020-09-04,True,True,True,5034864902481.245,4825325855267.299
2020-09-05,True,False,False,4577710936541.554,4374164593214.2686
2020-09-06,True,False,False,4493258394990.063,4287862352841.5347
2020-09-07,True,False,False,4540491237963.947,4332718813271.3726
2020-09-08,True,False,False,4513365052981.337,4310608034594.762
2020-09-09,True,False,False,4389959029573.3667,4185193966936.154
2020-09-10,True,False,False,4486122493821.631,4279018683205.1333
2020-09-11,True,False,False,4247640512408.71,4039479330669.506
