cycle_days,target_volatility,vol_window,stop_mode,offset_days,cost_bps,multiple,cagr,sharpe,max_drawdown,annualized_turnover,average_exposure,average_holdings
14,0.6,30,none,5,2.0,2.933716639357836,0.25591527386724255,0.6517170107142966,-0.6925142614534816,31.25432966666909,0.7067335613141315,0.9965217391304347
14,0.6,30,none,5,20.0,2.2478016292298775,0.18706123442804024,0.5738721477314033,-0.6992890871831773,31.25432966666909,0.7067335613141315,0.9965217391304347
14,0.6,30,own75,5,2.0,4.080089580312877,0.3467566177173389,0.7496699355300225,-0.5611809751486386,29.893497070881477,0.5969826969300899,0.8498550724637681
14,0.6,30,own75,5,20.0,3.162762462616456,0.27606431512506036,0.6717530375334047,-0.5821113807449307,29.893497070881477,0.5969826969300899,0.8498550724637681
14,0.8,30,none,5,2.0,2.442871516313986,0.208161890430117,0.6197100227978839,-0.7697037354166777,36.42710068399823,0.8226163529787767,0.9965217391304347
14,0.8,30,none,5,20.0,1.7908870342932046,0.13130269734139555,0.5420495944209576,-0.795380623651708,36.42710068399823,0.8226163529787767,0.9965217391304347
14,0.8,30,own75,5,2.0,3.8022243613618505,0.3267949623123749,0.7257503497897146,-0.6963407539290565,34.75372002488045,0.700774033047937,0.8498550724637681
14,0.8,30,own75,5,20.0,2.8276562084754517,0.24616244350207483,0.6484924384807336,-0.7274251416705029,34.75372002488045,0.700774033047937,0.8498550724637681
14,0.3,30,none,6,2.0,2.2311282272203377,0.18519154942488703,0.6619207159355006,-0.38860845415444245,18.226991074265293,0.42288515798430903,0.9959420289855072
14,0.3,30,none,6,20.0,1.9103526090884861,0.14687608517231965,0.567142605663577,-0.4003080462813159,18.226991074265293,0.42288515798430903,0.9959420289855072
14,0.3,30,own75,6,2.0,2.321423363392715,0.19518845945002816,0.705998035154691,-0.3412870911633986,16.853125929073787,0.35719303915604245,0.8672463768115942
14,0.3,30,own75,6,20.0,2.0110886784404203,0.15942197863053953,0.6132305740537154,-0.3735847513483672,16.853125929073787,0.35719303915604245,0.8672463768115942
14,0.4,30,none,6,2.0,2.2489380722386647,0.1871882719111222,0.6036075375479188,-0.48273396497749166,22.86570830016672,0.5262115451564383,0.9959420289855072
14,0.4,30,none,6,20.0,1.8509401748722745,0.13923021826374682,0.5114435192956269,-0.49558916232912087,22.86570830016672,0.5262115451564383,0.9959420289855072
14,0.4,30,own75,6,2.0,2.4805623187659234,0.212084640067985,0.6617754706941756,-0.4209995178589747,21.220656312658097,0.44718800651147383,0.8672463768115942
14,0.4,30,own75,6,20.0,2.070430041855792,0.1665822761346749,0.5714144438723113,-0.4564793131220305,21.220656312658097,0.44718800651147383,0.8672463768115942
14,0.5,30,none,6,2.0,2.103757453902434,0.17053297734982764,0.5557619191465449,-0.5711395811099025,27.01653831751827,0.6196233403649707,0.9959420289855072
14,0.5,30,none,6,20.0,1.6712317747031296,0.11486079574002783,0.4664220866094079,-0.5854565933204593,27.01653831751827,0.6196233403649707,0.9959420289855072
14,0.5,30,own75,6,2.0,2.506423397348714,0.21474909178013468,0.628321244113553,-0.4929659416403288,25.171817536031035,0.5298256340758195,0.8672463768115942
14,0.5,30,own75,6,20.0,2.0227115392552983,0.16083742019193603,0.5404953764956228,-0.5297146931415064,25.171817536031035,0.5298256340758195,0.8672463768115942
