date,coin_id,symbol,name,price,volume_usd,market_cap,price_source,volume_source,market_cap_source,current_market_cap,current_rank
2022-05-24,ripple,XRP,XRP,0.4081,66832847.13,25126712389.161835,cryptocompare,cryptocompare,proxy_anchor,87944651031.0,4.0
2022-05-24,cardano,ADA,Cardano,0.5213,48146344.38,19266549612.276154,cryptocompare,cryptocompare,proxy_anchor,9185710657.0,15.0
2022-05-24,polkadot,DOT,Polkadot,10.18,22294406.88,17116067860.521856,cryptocompare,cryptocompare,proxy_anchor,2141346104.0,42.0
2022-05-24,dogecoin,DOGE,Dogecoin,0.08359,21796405.56,12867561705.396967,cryptocompare,cryptocompare,proxy_anchor,14599392802.0,10.0
2022-05-24,avalanche-2,AVAX,Avalanche,29.03,92569412.74,12515628580.662304,cryptocompare,cryptocompare,proxy_anchor,4039334038.0,27.0
2022-05-24,crypto-com-chain,CRO,Cronos,0.1898,4360546.22,8265431243.592605,cryptocompare,cryptocompare,proxy_anchor,3050555428.0,34.0
2022-05-24,near,NEAR,NEAR Protocol,5.963,1640347.02,7712963518.926156,cryptocompare,cryptocompare,proxy_anchor,1776627837.0,47.0
2022-05-24,tron,TRX,TRON,0.08059,34098567.89,7641749215.94068,cryptocompare,cryptocompare,proxy_anchor,31410698540.0,8.0
2022-05-24,shiba-inu,SHIB,Shiba Inu,1.173e-05,27048502.4,6904860705.09547,cryptocompare,cryptocompare,proxy_anchor,3580883262.0,32.0
2022-05-24,filecoin,FIL,Filecoin,8.401,3527429.81,6496679914.595316,cryptocompare,cryptocompare,proxy_anchor,718746194.0,83.0
2022-05-24,litecoin,LTC,Litecoin,70.2,32733364.29,5408943507.394055,cryptocompare,cryptocompare,proxy_anchor,4278871853.0,25.0
2022-05-24,chainlink,LINK,Chainlink,7.224,29421248.23,5250398676.044569,cryptocompare,cryptocompare,proxy_anchor,6830639644.0,19.0
2022-05-24,leo-token,LEO,LEO Token,4.932,270429.34,4541338607.030388,cryptocompare,cryptocompare,proxy_anchor,9536017417.0,14.0
2022-05-24,stellar,XLM,Stellar,0.1329,12086631.17,4407584240.189142,cryptocompare,cryptocompare,proxy_anchor,5872983271.0,20.0
2022-05-24,internet-computer,ICP,Internet Computer,7.919,6373260.09,4370675109.407377,cryptocompare,cryptocompare,proxy_anchor,1361733923.0,56.0
2022-05-24,hedera-hashgraph,HBAR,Hedera,0.09916,1466310.37,4294896915.487874,cryptocompare,cryptocompare,proxy_anchor,3900574966.0,28.0
2022-05-24,bitcoin-cash,BCH,Bitcoin Cash,195.47,7615884.08,3913930059.157644,cryptocompare,cryptocompare,proxy_anchor,8931526249.0,16.0
2022-05-24,ethereum-classic,ETC,Ethereum Classic,24.2,9979989.96,3787171229.6008897,cryptocompare,cryptocompare,proxy_anchor,1326777625.0,59.0
2022-05-24,algorand,ALGO,Algorand,0.4187,19929133.77,3732979338.6556363,cryptocompare,cryptocompare,proxy_anchor,926994774.0,74.0
2022-05-24,axie-infinity,AXS,Axie Infinity,21.24,6151367.32,3606597037.5641527,cryptocompare,cryptocompare,proxy_anchor,187570793.0,186.0
2022-05-24,monero,XMR,Monero,193.06,7039058.29,3560366783.8361025,cryptocompare,cryptocompare,proxy_anchor,6838727045.0,18.0
