strategy,total_return,cagr,annualized_volatility,sharpe,sortino,max_drawdown,calmar,monthly_win_rate,annualized_turnover,avg_turnover_per_rebalance,average_holdings,variant,frequency,top_k,stop_lookback,immediate_reentry,risk_on_fraction,total_return_delta_vs_momentum,cagr_delta_vs_momentum,sharpe_delta_vs_momentum,drawdown_improvement_vs_momentum
TOP20_MOM_top8_biweekly__bull_only,2.1411243264621183,0.3975954149612666,0.4991611446694261,0.9202374174333651,1.4848116510597147,-0.4778367654487402,0.8320737199614217,0.2857142857142857,9.80570219276232,0.7450542670665068,3.5673076923076925,BASELINE,biweekly,,,False,,0.0,0.0,0.0,0.0
SECTOR_LEAD_V3_top1_7D_BTC21_reentry_1,2.031517085938161,0.3831526658253943,0.5591584818679339,0.8434803725000376,1.64814942229419,-0.6247647500124329,0.6132751020568454,0.2857142857142857,22.8125,1.0,0.16346153846153846,V3+STOP,7D,1.0,21.0,True,0.5488782051282052,-0.1096072405239572,-0.01444274913587229,-0.07675704493332747,-0.14692798456369272
SECTOR_LEAD_V3_top1_7D_BTC21_reentry_0,2.003808738347069,0.3794432259418168,0.5293584836070722,0.8564381295235542,1.6986800625414258,-0.6145235303056197,0.6174592301666774,0.2619047619047619,16.963141025641026,1.0,0.14102564102564102,V3+STOP,7D,1.0,21.0,False,0.5488782051282052,-0.13731558811504918,-0.018152189019449816,-0.06379928790981082,-0.13668676485687947
SECTOR_LEAD_V3_top2_biweekly_BTC21_reentry_0,1.9986685021497195,0.3787524201051016,0.4872096794567158,0.8970757262936513,1.5627763123395013,-0.5584735345104275,0.6781922449326553,0.2619047619047619,13.204209049615034,1.0499428412819092,0.4583333333333333,V3+STOP,biweekly,2.0,21.0,False,0.5488782051282052,-0.14245582431239878,-0.01884299485616503,-0.02316169113971378,-0.08063676906168726
SECTOR_LEAD_V3_top1_biweekly_BTC24_reentry_1,1.7838147589695903,0.34909659482704924,0.6672670800600172,0.7676175350172124,1.4142914245290943,-0.7527028506085842,0.4637907170735351,0.30952380952380953,23.982371794871796,1.2615384615384615,0.30448717948717946,V3+STOP,biweekly,1.0,24.0,True,0.5608974358974359,-0.35730956749252796,-0.04849882013421736,-0.15261988241615265,-0.274866085159844
SECTOR_LEAD_V3_top1_biweekly_BTC24_reentry_0,1.7507617195738105,0.3443919683894876,0.6199120828162795,0.7732396924049575,1.4168016456698223,-0.7230026779726262,0.47633567465503457,0.2619047619047619,15.208333333333334,1.3,0.24358974358974358,V3+STOP,biweekly,1.0,24.0,False,0.5608974358974359,-0.3903626068883077,-0.053203446571779,-0.14699772502840758,-0.24516591252388598
SECTOR_LEAD_V3_top1_7D_BTC18_reentry_0,1.7360469612294964,0.342284660729127,0.5361072908950043,0.8006591976386686,1.5794940352744822,-0.6604565951659678,0.5182545881658028,0.2857142857142857,16.963141025641026,1.0,0.13942307692307693,V3+STOP,7D,1.0,18.0,False,0.5584935897435898,-0.40507736523262183,-0.0553107542321396,-0.11957821979469652,-0.18261982971722757
SECTOR_LEAD_V3_top1_7D_BTC14_reentry_1,1.606047130543062,0.3233096512968108,0.5148921959657253,0.7870284120938041,1.5284875910161466,-0.5632079441393889,0.5740502325315116,0.3333333333333333,25.737179487179485,1.0,0.1530448717948718,V3+STOP,7D,1.0,14.0,True,0.561698717948718,-0.5350771959190563,-0.07428576366445583,-0.13320900533956093,-0.0853711786906487
SECTOR_LEAD_V3_top2_biweekly_BTC21_reentry_1,1.4203449080795543,0.2950060414439515,0.5307873485007837,0.7470251441843573,1.2731073579893573,-0.7130709750020026,0.41371203118051886,0.30952380952380953,22.87462004107425,1.0569243173365668,0.5993589743589743,V3+STOP,biweekly,2.0,21.0,True,0.5488782051282052,-0.720779418382564,-0.10258937351731512,-0.1732122732490078,-0.23523420955326235
SECTOR_LEAD_V3_top1_7D_BTC18_reentry_1,1.4106134299760082,0.29348103971617756,0.5466220452144983,0.7280668151570214,1.4061379820180058,-0.6351319784477948,0.4620788271965438,0.2857142857142857,22.227564102564102,1.0,0.1578525641025641,V3+STOP,7D,1.0,18.0,True,0.5584935897435898,-0.73051089648611,-0.10411437524508904,-0.19217060227634364,-0.15729521299905458
SECTOR_LEAD_V3_top1_7D_NO_STOP,1.2286689255887615,0.26413125837272,0.627666774590798,0.6689440792978477,1.2968698538960246,-0.6137134465486586,0.4303820616252022,0.3333333333333333,23.397435897435898,1.0,0.22435897435897437,V3,7D,1.0,,False,,-0.9124554008733567,-0.1334641565885466,-0.25129333813551735,-0.13587668109991835
