family,variant_id,cost_bps,multiple,cagr,sharpe,max_drawdown
stop_grid,stop_ma75_c1,2.0,6.489083383516541,0.48577474654816233,1.204350951649149,-0.3266218238990989
stop_grid,stop_ma75_c1,20.0,5.618661688731728,0.4411526284082907,1.1264152328881272,-0.34521325543989334
stop_grid,stop_ma75_c2,2.0,6.399811928306354,0.4814235797695958,1.1935973469761085,-0.3279388907242785
stop_grid,stop_ma75_c2,20.0,5.5355961822302255,0.43661531186501956,1.1154005136497078,-0.3466153515888215
stop_grid,stop_ma75_c3,2.0,6.371908255028081,0.4800537182884905,1.1891297291681497,-0.32692813922900366
stop_grid,stop_ma75_c3,20.0,5.508519401879314,0.43512468950853234,1.1108263922883508,-0.34563342771098315
stop_grid,stop_ma100_c1,2.0,5.771060538080192,0.4493414422672868,1.1719197220526394,-0.3165441495326172
stop_grid,stop_ma100_c1,20.0,5.017463258725081,0.4070332798185794,1.0932556322857634,-0.33497016944587343
stop_grid,stop_ma100_c2,2.0,5.6623369638909935,0.4435171423633233,1.1602958662359226,-0.31459836370425087
stop_grid,stop_ma100_c2,20.0,4.917059828221362,0.4010246241841675,1.0810514130205733,-0.33319248927019185
stop_grid,stop_ma100_c3,2.0,5.703794390412176,0.4457483221048284,1.1635991738151705,-0.3145983637042512
stop_grid,stop_ma100_c3,20.0,4.9496449728511225,0.40298520234412116,1.0840315264199536,-0.33319248927019274
stop_grid,stop_ma150_c1,2.0,4.283190869125247,0.36067957276735885,1.0582906875137765,-0.35076195128722787
stop_grid,stop_ma150_c1,20.0,3.7494122772774037,0.3228717136897037,0.9772194980115337,-0.3720627247506807
stop_grid,stop_ma150_c2,2.0,4.572145400558682,0.37961717306104803,1.0923709975108025,-0.3237459306023637
stop_grid,stop_ma150_c2,20.0,3.9961870918911293,0.34084509871086355,1.0110024774731192,-0.3424365960344711
stop_grid,stop_ma150_c3,2.0,4.669355532014571,0.38577598305575433,1.0961274775439886,-0.327466928193083
stop_grid,stop_ma150_c3,20.0,4.079136831045115,0.34669003007757904,1.0154560380473148,-0.3461680047759036
stop_grid,stop_ma200_c1,2.0,4.95443990428291,0.4032728436729687,1.1515172169927006,-0.3379803979892668
stop_grid,stop_ma200_c1,20.0,4.356169766885209,0.3655553566149954,1.0727407478574307,-0.35465223923971845
stop_grid,stop_ma200_c2,2.0,4.542853070499301,0.37774110948984485,1.0942415452697372,-0.35072419525966625
stop_grid,stop_ma200_c2,20.0,3.9889964055600253,0.34033392681025054,1.0151068269506631,-0.3672722563933659
stop_grid,stop_ma200_c3,2.0,4.438323676332634,0.37096768557200277,1.0790257440953712,-0.3567032687788758
stop_grid,stop_ma200_c3,20.0,3.8925520733154517,0.3334066787411032,0.9992552376116471,-0.37341979927415614
trailing_grid,trailing_lb5_c2,2.0,1.9006715312992826,0.1456431180743325,0.6898404208269642,-0.31808139974370386
trailing_grid,trailing_lb5_c2,20.0,1.6475813738959806,0.1115017631457842,0.5622533067920487,-0.3419352086229036
trailing_grid,trailing_lb7_c2,2.0,2.2170976749573863,0.18360966945241985,0.7630142206464681,-0.2886033863049102
trailing_grid,trailing_lb7_c2,20.0,1.9198788126317274,0.14808452919231363,0.648719183304564,-0.2960691347052602
trailing_grid,trailing_lb10_c2,2.0,3.519919569868261,0.3052996990153891,0.9024760277858525,-0.3829725957104019
trailing_grid,trailing_lb10_c2,20.0,3.045594553796694,0.265906334316246,0.8195303118498299,-0.39924439465620953
trailing_grid,trailing_lb11_c2,2.0,6.371908255028081,0.4800537182884905,1.1891297291681497,-0.32692813922900366
trailing_grid,trailing_lb11_c2,20.0,5.508519401879314,0.43512468950853234,1.1108263922883508,-0.34563342771098315
trailing_grid,trailing_lb14_c2,2.0,2.288952606583255,0.19162937899880195,0.6326326600421776,-0.45806165794556575
trailing_grid,trailing_lb14_c2,20.0,1.9754002326622888,0.15503512750321802,0.5556027960049328,-0.480424516396629
trailing_grid,trailing_lb20_c2,2.0,3.368271511140051,0.2931860594435496,0.8210815799095873,-0.47985791144404066
trailing_grid,trailing_lb20_c2,20.0,2.92250755977839,0.2548978012063099,0.7492561998156839,-0.4995206532527837
trailing_grid,trailing_lb30_c2,2.0,5.17985091429324,0.4165537646366182,0.9825082634242658,-0.46927356065012593
trailing_grid,trailing_lb30_c2,20.0,4.4703737317877135,0.37305775206558756,0.9150584315520676,-0.48376528894514026
trailing_grid,trailing_lb50_c2,2.0,4.723681384638124,0.38917392455957733,0.943010542608976,-0.4456685926313374
trailing_grid,trailing_lb50_c2,20.0,4.091900235049897,0.3475810482575741,0.8769072423015037,-0.46265518780737014
trailing_grid,trailing_lb65_c2,2.0,2.5560594335402955,0.21980293173754473,0.66188127301614,-0.5177157519296619
trailing_grid,trailing_lb65_c2,20.0,2.2378745733361987,0.18594937852297178,0.6000565190940077,-0.5364746443361835
