family,variant_id,offset_days,cost_bps,multiple,cagr,sharpe,max_drawdown,annualized_turnover,average_holdings
trailing_grid,trailing_lb11_c2,0,20.0,22.435339742440824,0.9320364844298183,1.3134453709359495,-0.43987187292967755,16.71594202898551,0.2718840579710145
trailing_grid,trailing_lb14_c2,0,2.0,9.016086431513273,0.5929182945291076,1.024044487133843,-0.6116389374934188,17.985507246376812,0.28289855072463765
trailing_grid,trailing_lb14_c2,0,20.0,7.735360397074778,0.5420781425481727,0.9734101671324007,-0.6171973359109989,17.985507246376812,0.28289855072463765
trailing_grid,trailing_lb20_c2,0,2.0,14.066630524421505,0.7502145394985695,1.1063045710803765,-0.6518060201717982,17.56231884057971,0.3194202898550725
trailing_grid,trailing_lb20_c2,0,20.0,12.111908147235292,0.6956431021957055,1.0618359734753375,-0.6665462411350176,17.56231884057971,0.3194202898550725
trailing_grid,trailing_lb30_c2,0,2.0,34.3792132009767,1.1147540719177287,1.325927871389999,-0.5411576791922676,16.292753623188407,0.34898550724637684
trailing_grid,trailing_lb30_c2,0,20.0,29.923132880665406,1.0535046683869154,1.2875746114841429,-0.5497178779907927,16.292753623188407,0.34898550724637684
trailing_grid,trailing_lb50_c2,0,2.0,28.94745427653845,1.0391429516957453,1.2829804209802673,-0.5659756829525975,16.292753623188407,0.3820289855072464
trailing_grid,trailing_lb50_c2,0,20.0,25.195013619400363,0.9800767979355163,1.2443251057460583,-0.5737283752451074,16.292753623188407,0.3820289855072464
trailing_grid,trailing_lb65_c2,0,2.0,22.71124137239823,0.9370425642371945,1.211298722852098,-0.5839550614573799,16.292753623188407,0.39594202898550723
trailing_grid,trailing_lb65_c2,0,20.0,19.76711855554276,0.8809322839148208,1.1729244985554008,-0.5869447451242109,16.292753623188407,0.39594202898550723
trailing_grid,trailing_lb100_c2,0,2.0,8.357360678766382,0.5675364760190043,0.9271928259750053,-0.6087937780615005,15.023188405797102,0.3750724637681159
trailing_grid,trailing_lb100_c2,0,20.0,7.353102836265831,0.5256204803569964,0.8931291580105248,-0.6199179251157854,15.023188405797102,0.3750724637681159
trailing_grid,trailing_lb200_c2,0,2.0,4.335548422711214,0.3641841941141124,0.7553609075209187,-0.6983623969839095,18.408695652173915,0.47884057971014493
trailing_grid,trailing_lb200_c2,0,20.0,3.706041372366326,0.3196171119595459,0.7143759694914525,-0.7090443793230261,18.408695652173915,0.47884057971014493
trailing_confirm,trailing_lb11_c1,0,2.0,3.1023308467569506,0.2708628982079875,0.6974502249534672,-0.4520322561009892,17.139130434782608,0.17449275362318842
trailing_confirm,trailing_lb11_c1,0,20.0,2.680976759943782,0.2321877665233132,0.6384309615898852,-0.4618181054191166,17.139130434782608,0.17449275362318842
trailing_confirm,trailing_lb11_c2,0,2.0,25.868495072589642,0.9911665323130321,1.3599489766759607,-0.41786949487206715,16.71594202898551,0.2718840579710145
trailing_confirm,trailing_lb11_c2,0,20.0,22.435339742440824,0.9320364844298183,1.3134453709359495,-0.43987187292967755,16.71594202898551,0.2718840579710145
