family,variant_id,cost_bps,phase_median_multiple,phase_min_multiple,phase_max_multiple,phase_median_sharpe,phase_worst_drawdown,phase_median_turnover,phase_median_holdings
gate,gate_ma20,2.0,2.458810693886692,0.16467839565772496,6.789554499038745,0.5879285933240509,-0.8675549907672874,17.139130434782608,0.27304347826086955
gate,gate_ma20,20.0,2.1363171034803523,0.14205128288136892,5.867243729802736,0.5421715987214235,-0.8840535270924661,17.139130434782608,0.27304347826086955
gate,gate_ma200,2.0,1.4968762158523152,0.11760122794688026,13.140448987696885,0.4526108766797506,-0.9360608999702926,15.869565217391305,0.42028985507246375
gate,gate_ma200,20.0,1.3028163541720907,0.10272416641264726,11.436878788663023,0.41227385036650765,-0.9433364185065345,15.869565217391305,0.42028985507246375
gate,gate_ma50,2.0,2.3483843198404073,0.1333208174582914,33.324793721369446,0.5920235074804236,-0.9116677109082,16.71594202898551,0.3605797101449275
gate,gate_ma50,20.0,2.043972834704284,0.11396716129604914,29.005151900196896,0.5440715108695817,-0.9244905602103453,16.71594202898551,0.3605797101449275
gate,gate_ma65,2.0,1.7714692961466234,0.12342457132945778,14.444793998542043,0.4985218391815607,-0.9189083728460704,16.292753623188407,0.3750724637681159
gate,gate_ma65,20.0,1.547401567476778,0.10588676149557388,12.709042938617474,0.4570541361422795,-0.9298442643411813,16.292753623188407,0.3750724637681159
gate,gate_trailing11,2.0,4.596271492421494,0.7069329254498795,25.868495072589642,0.8271754925149707,-0.7470626738454493,16.92753623188406,0.25623188405797104
gate,gate_trailing11,20.0,3.936276240769361,0.612005574743309,22.435339742440824,0.7797635876900323,-0.7629530006042398,16.92753623188406,0.25623188405797104
stop_grid,stop_ma100_c1,2.0,4.301649395321889,0.5210838364329523,20.101306774419296,0.799398057794202,-0.7428571873832319,16.504347826086956,0.24521739130434783
stop_grid,stop_ma100_c1,20.0,3.791751063311225,0.4527429326626017,17.559731439689426,0.7492323809949326,-0.7528538033268815,16.504347826086956,0.24521739130434783
stop_grid,stop_ma100_c2,2.0,4.347864254618661,0.5000863079590454,19.813888027797475,0.7923785535587085,-0.7428571873832319,16.504347826086956,0.24753623188405796
stop_grid,stop_ma100_c2,20.0,3.804962831096542,0.4344992606173909,17.308653434759208,0.7457203869169335,-0.7528538033268815,16.504347826086956,0.24753623188405796
stop_grid,stop_ma100_c3,2.0,4.347864254618661,0.500221844230457,20.482602493709077,0.8346351208577082,-0.7428571873832319,16.504347826086956,0.24811594202898551
stop_grid,stop_ma100_c3,20.0,3.804962831096542,0.43461702110948586,17.892816771154163,0.7881412267482231,-0.7528538033268815,16.504347826086956,0.24811594202898551
stop_grid,stop_ma150_c1,2.0,3.34498750339834,0.4634016484706793,13.548659623665054,0.7029927869384572,-0.7428571873832319,15.657971014492754,0.22318840579710145
stop_grid,stop_ma150_c1,20.0,2.927323159354866,0.4070042326226392,11.878369186695947,0.6549444628098138,-0.7557506167641082,15.657971014492754,0.22318840579710145
stop_grid,stop_ma150_c2,2.0,3.128882475226111,0.5737290081802787,21.51154361305721,0.6944228056067446,-0.7475690685775439,15.657971014492754,0.2301449275362319
stop_grid,stop_ma150_c2,20.0,2.71853579238912,0.5039024074138636,18.859581974093732,0.6409611684461186,-0.7634275820097515,15.657971014492754,0.2301449275362319
stop_grid,stop_ma150_c3,2.0,3.2430689479292605,0.5556055881697615,21.500959169331107,0.6984514885293936,-0.7629554856622325,15.657971014492754,0.23246376811594202
