cycle_days,target_volatility,vol_window,stop_mode,gate_mode,cost_bps,basket_multiple,basket_cagr,basket_sharpe,basket_max_drawdown,train_multiple,train_sharpe,test_multiple,test_sharpe,test_max_drawdown,phase_median_multiple,phase_min_multiple,phase_max_multiple,phase_median_sharpe,phase_worst_drawdown,phase_median_exposure,phase_median_turnover
14,0.8,60,own75,btc_ma100,2.0,6.11326180556167,0.46712565158605,1.0839912461350418,-0.4471716822844425,3.120688825525396,1.0487132725105073,1.9589462927411396,1.1589646036550771,-0.22751602871545007,5.31174586944807,1.0786472070372322,19.118842309547126,0.8789107080351595,-0.6978749676867874,0.3622872242616162,19.41444941976998
14,0.8,60,own75,btc_ma100,20.0,5.174473630932646,0.4162422975937816,1.0042987842689879,-0.4570975994118023,2.7914080087779984,0.9682068794467026,1.8537145464442124,1.0804778923990204,-0.23311273516195608,4.482579531258468,0.9104684123823542,16.199672198443082,0.8169033564011641,-0.7114785776100141,0.3622872242616162,19.41444941976998
14,1.0,60,own75,btc_ma100,2.0,5.761702575171679,0.44884355646043383,1.006633544013412,-0.4874095844474463,2.9432340432076862,0.9594129079337544,1.9576093815809075,1.10935172633167,-0.2640418338693825,5.000010540721831,0.832684390424971,18.800953234519916,0.8266302949577577,-0.7973523285292115,0.3900573855897951,20.93180622922625
14,1.0,60,own75,btc_ma100,20.0,4.815579108787847,0.39485240091513507,0.9277984520300003,-0.4975924298062053,2.6099908234009788,0.8802403429012592,1.8450559540714624,1.0306263782427816,-0.27018686965544725,4.149709764946931,0.6938097617804379,15.743290007516892,0.7653396072405585,-0.8158642948585539,0.3900573855897951,20.93180622922625
14,1.2,60,own75,btc_ma100,2.0,5.547690174711896,0.43727925018983305,0.9632147039100819,-0.5168531509240504,2.736342203569831,0.8871354582857228,2.027410960323011,1.1308257246624829,-0.28188505209453907,4.8697204598778745,0.6982078562186529,17.489557098208135,0.8100378029183729,-0.8334048720995718,0.404881330702418,21.86277249557835
14,1.2,60,own75,btc_ma100,20.0,4.603920022333542,0.38164153539447576,0.8855368382065121,-0.5271779592337911,2.4137767392290836,0.8093985997054489,1.9073512257823564,1.0525000503358222,-0.2882551538071071,4.037173652968726,0.5779218658662975,14.539161120638468,0.7501019787309873,-0.8494073911224223,0.404881330702418,21.86277249557835
14,1.5,60,own75,btc_ma100,2.0,5.10766733640565,0.4123512564960077,0.9122635578800335,-0.5382141214050281,2.4817421297473636,0.812010211341657,2.0580975255981198,1.1426872028262356,-0.2895210431508648,4.374668955932693,0.5399490324584945,17.46569942417791,0.7831119316114756,-0.8441050625269917,0.4166184612020153,22.514037502965508
14,1.5,60,own75,btc_ma100,20.0,4.217527364789909,0.3562362437686699,0.8355076967217346,-0.5520334457518863,2.179695816948866,0.7354625941206946,1.9349155657387063,1.0643352625053677,-0.2960057187356778,3.6053210753829528,0.4443554314923911,14.439949115580617,0.7222023715133838,-0.8594399205412203,0.4166184612020153,22.514037502965508
14,2.0,60,own75,btc_ma100,2.0,4.594483851026625,0.3810415092786861,0.8654169182378387,-0.5580377353281101,2.232393651846692,0.7463931778280051,2.0580975255981198,1.1426872028262356,-0.2895210431508648,3.7646249133196554,0.5003324565553302,15.470061097534213,0.735110110242887,-0.846845295537528,0.42116893815394474,22.807021667196146
14,2.0,60,own75,btc_ma100,20.0,3.7862736776338326,0.3256145865742195,0.7888610762549669,-0.5715046646601154,1.9568159689636486,0.6700431839027414,1.9349155657387063,1.0643352625053677,-0.2960057187356778,3.0975718111848543,0.4110461890243828,12.757219610531505,0.674410429600572,-0.8620497109310591,0.42116893815394474,22.807021667196146
21,0.8,60,own75,btc_ma100,2.0,3.9191756588313518,0.33533235271972317,0.9203145537867792,-0.3861263098764631,2.5205115954931436,0.94122070644252,1.5549127668522214,0.8845602782441999,-0.2133736133390588,3.4340664743273672,0.4453481182094284,9.778750410343383,0.7621737777963089,-0.8326535229304117,0.3312443877991849,13.830378441347717
21,0.8,60,own75,btc_ma100,20.0,3.4840513155628314,0.302472250230595,0.858062567849435,-0.395080845793757,2.332583167097477,0.8796885032255465,1.4936450561366992,0.8204390664874431,-0.21774720870698405,3.065389896830002,0.3912455722418942,8.705846633037364,0.7166828565141519,-0.8461517210384106,0.3312443877991849,13.830378441347717
21,1.0,60,own75,btc_ma100,2.0,3.5951186740712786,0.31115460103563586,0.8383244597938838,-0.42950842063778194,2.3179834300015467,0.837961978369041,1.5509682371063755,0.8462692748996317,-0.24841710464149125,3.0286735933931115,0.31105566275925156,10.47069953897919,0.7055247546339832,-0.8763967496415737,0.36126516077302545,15.003226261015435
21,1.0,60,own75,btc_ma100,20.0,3.1682309685612418,0.276531119072454,0.7766714679536934,-0.43731292384344644,2.1327465576680877,0.7772971115690416,1.4855168595490935,0.7820624475000117,-0.253242030797015,2.6563421238183644,0.2708880203465316,9.24410590694609,0.654843121547652,-0.8871931946653575,0.36126516077302545,15.003226261015435
21,1.2,60,own75,btc_ma100,2.0,3.3509888756096893,0.29177839353427126,0.7858871781775294,-0.4604723444138962,2.122102750219897,0.7566076489562531,1.5790888896696658,0.8556022494718515,-0.27014826320511154,2.9091634150874652,0.24680430770905237,9.680930372883175,0.6674002275585451,-0.9007562786509079,0.37683008856493233,15.707224709567628
21,1.2,60,own75,btc_ma100,20.0,2.9386216223959982,0.25635954622307233,0.725011094320175,-0.46911826561273773,1.9457736193174464,0.6968980820021454,1.510258743988332,0.7916216160414382,-0.27514927530189326,2.5427299230876015,0.21414630756060138,8.514915411778839,0.626397873060897,-0.9096918108222165,0.37683008856493233,15.707224709567628
21,1.5,60,own75,btc_ma100,2.0,3.053500373003974,0.2666013395755764,0.7326729151931911,-0.4869565956756873,1.9177775138325577,0.6780672830056313,1.592207829625526,0.8620686762966442,-0.27926581495081904,2.48907081427771,0.2049612962799542,8.671046322866781,0.6030494272647033,-0.9127936064521671,0.39030638223325287,16.12233652570206
21,1.5,60,own75,btc_ma100,20.0,2.668872458431054,0.23100784423697562,0.672467965185832,-0.4974664615747062,1.7535876115883637,0.6192001482705455,1.52194988194154,0.7980311877643262,-0.28434486208540255,2.1620555965138895,0.17744573590919868,7.608071373825758,0.5555596206410583,-0.9207688343344914,0.39030638223325287,16.12233652570206
21,2.0,60,own75,btc_ma100,2.0,2.8269225500270134,0.24609398269804017,0.6952354603648484,-0.5013372694566034,1.7754733379824428,0.6253352451700397,1.592207829625526,0.8620686762966442,-0.27926581495081904,2.2868969227961267,0.1752983001568508,8.18334147244663,0.5747768185639638,-0.9229783665252375,0.39304347826086955,16.274712233870574
21,2.0,60,own75,btc_ma100,20.0,2.4676910368075196,0.2107503500045349,0.6352934527783524,-0.5117300300348089,1.6214009844131714,0.5667464346657248,1.52194988194154,0.7980311877643262,-0.28434486208540255,1.9835704314507996,0.15148216658956262,7.173978631047748,0.5271131939108776,-0.9301223041648908,0.39304347826086955,16.274712233870574
