signal_name,phase_offset,selected_asset,days
ret21,2,ethereum-classic,12
ret21,2,immutable-x,12
ret21,2,matic-network,9
ret21,2,bitget-token,8
ret21,2,uniswap,8
ret21,2,filecoin,7
ret21,2,litecoin,7
ret21,2,mantle,6
ret21,2,monero,6
ret21,2,bittensor,5
ret21,2,kaspa,3
ret21,2,crypto-com-chain,1
weighted_multi_horizon,0,hyperliquid,84
weighted_multi_horizon,0,zcash,74
weighted_multi_horizon,0,solana,62
weighted_multi_horizon,0,internet-computer,53
weighted_multi_horizon,0,stellar,51
weighted_multi_horizon,0,ripple,49
weighted_multi_horizon,0,bitcoin-cash,46
weighted_multi_horizon,0,sui,45
weighted_multi_horizon,0,shiba-inu,43
weighted_multi_horizon,0,hedera-hashgraph,42
weighted_multi_horizon,0,tron,38
weighted_multi_horizon,0,okb,37
weighted_multi_horizon,0,avalanche-2,33
weighted_multi_horizon,0,pepe,28
weighted_multi_horizon,0,bitget-token,27
weighted_multi_horizon,0,ethereum,18
weighted_multi_horizon,0,terra-luna,18
weighted_multi_horizon,0,near,16
weighted_multi_horizon,0,dogecoin,15
weighted_multi_horizon,0,kaspa,14
weighted_multi_horizon,0,bitcoin,12
weighted_multi_horizon,0,immutable-x,12
weighted_multi_horizon,0,uniswap,9
weighted_multi_horizon,0,mantle,8
weighted_multi_horizon,0,the-open-network,6
weighted_multi_horizon,0,bittensor,5
weighted_multi_horizon,0,binancecoin,4
weighted_multi_horizon,0,chainlink,3
weighted_multi_horizon,0,crypto-com-chain,3
weighted_multi_horizon,0,litecoin,3
weighted_multi_horizon,0,aptos,1
weighted_multi_horizon,1,hyperliquid,83
weighted_multi_horizon,1,zcash,68
weighted_multi_horizon,1,solana,62
weighted_multi_horizon,1,stellar,54
weighted_multi_horizon,1,shiba-inu,53
weighted_multi_horizon,1,sui,46
weighted_multi_horizon,1,hedera-hashgraph,45
weighted_multi_horizon,1,internet-computer,40
weighted_multi_horizon,1,tron,40
weighted_multi_horizon,1,avalanche-2,35
weighted_multi_horizon,1,okb,35
weighted_multi_horizon,1,ripple,31
weighted_multi_horizon,1,bitcoin-cash,29
weighted_multi_horizon,1,bitget-token,27
weighted_multi_horizon,1,pepe,26
weighted_multi_horizon,1,near,23
weighted_multi_horizon,1,the-open-network,22
weighted_multi_horizon,1,terra-luna,19
weighted_multi_horizon,1,ethereum,18
weighted_multi_horizon,1,dogecoin,15
weighted_multi_horizon,1,kaspa,15
weighted_multi_horizon,1,bitcoin,12
weighted_multi_horizon,1,immutable-x,12
weighted_multi_horizon,1,matic-network,8
weighted_multi_horizon,1,chainlink,7
weighted_multi_horizon,1,mantle,7
weighted_multi_horizon,1,uniswap,6
weighted_multi_horizon,1,bittensor,5
weighted_multi_horizon,1,crypto-com-chain,5
weighted_multi_horizon,1,litecoin,5
weighted_multi_horizon,1,binancecoin,3
weighted_multi_horizon,1,cardano,3
weighted_multi_horizon,2,hyperliquid,84
weighted_multi_horizon,2,zcash,71
weighted_multi_horizon,2,solana,62
weighted_multi_horizon,2,stellar,57
weighted_multi_horizon,2,internet-computer,51
weighted_multi_horizon,2,sui,47
weighted_multi_horizon,2,avalanche-2,46
weighted_multi_horizon,2,hedera-hashgraph,45
weighted_multi_horizon,2,shiba-inu,42
weighted_multi_horizon,2,bitcoin-cash,40
weighted_multi_horizon,2,tron,37
weighted_multi_horizon,2,ripple,34
weighted_multi_horizon,2,pepe,26
