date,primary,rebalance_1d,rebalance_2d,rebalance_5d,hold_rank_1,hold_rank_3,target_vol_0.6,target_vol_0.7,target_vol_0.9,target_vol_1.0,btc_ma_50,btc_ma_150,btc_ma_200,no_btc_gate,no_vol_target,fixed_stop_15,fixed_stop_20,fixed_stop_25,fixed_stop_30,fixed_stop_40,trailing_stop_15,trailing_stop_20,trailing_stop_25,trailing_stop_30,trailing_stop_40
2024-11-28,0.011763377208389603,0.01210415375799645,0.01277054609056516,0.009643628701626161,0.01170371250895208,0.009881577468657587,0.008826372403390792,0.010295189558277462,0.013230939643964268,0.014697881082138098,0.011763377208389603,0.011763377208389603,0.011763377208389603,0.011763377208389603,0.03018000718215119,0.01166375584207513,0.011757736561502918,0.011763377208389603,0.011763377208389603,0.011763377208389603,0.007499272825103764,0.011757736561502918,0.011757736561502918,0.011763377208389603,0.011763377208389603
2024-11-29,0.03987655565493009,0.039993277512259784,0.04216733735320122,0.038735887740627195,0.03868548746311573,0.03873537582971642,0.029996841009810815,0.03494407248480491,0.0447943563717943,0.04969754009554794,0.03987655565493009,0.03987655565493009,0.03987655565493009,0.03987655565493009,0.10003029857979717,0.03979075237115981,0.03987655565493009,0.03987655565493009,0.03987655565493009,0.03987655565493009,0.0321132389255665,0.03987655565493009,0.03987655565493009,0.03987655565493009,0.03987655565493009
2024-11-30,-0.017729419804983326,-0.0177793195747864,-0.018706709077227268,-0.01657165327972232,-0.017219585038302676,-0.017384897710376657,-0.013464750180106178,-0.015610445867302314,-0.01982216807920134,-0.021889174571827708,-0.017729419804983326,-0.017729419804983326,-0.017729419804983326,-0.017729419804983326,-0.04204221505860506,-0.017692730892146624,-0.017729419804983326,-0.017729419804983326,-0.017729419804983326,-0.017729419804983326,-0.016332799209109572,-0.017729419804983326,-0.017729419804983326,-0.017729419804983326,-0.017729419804983326
2024-12-01,0.03550957561407597,0.0356113270218712,0.037504264924662856,0.03282232269910779,0.034470555601044506,0.03480733716780171,0.02685145276458001,0.031198262382225783,0.03978582549142273,0.04402743803050857,0.03550957561407597,0.03550957561407597,0.03550957561407597,0.03550957561407597,0.08634184277620816,0.03543476926775857,0.03550957561407597,0.03550957561407597,0.03550957561407597,0.03550957561407597,0.032493629054626494,0.03550957561407597,0.03550957561407597,0.03550957561407597,0.03550957561407597
2024-12-02,-0.024812208865694352,-0.02488086250771815,-0.026155608779348194,-0.02299417121441505,-0.02411038888971151,-0.024338026881470798,-0.018920570681373983,-0.021890833580259783,-0.02768589364927343,-0.030513046274119104,-0.024812208865694352,-0.024812208865694352,-0.024812208865694352,-0.024812208865694352,-0.05750808043578537,-0.024761726971103237,-0.024812208865694352,-0.024812208865694352,-0.024812208865694352,-0.024812208865694352,-0.02277114681629433,-0.024812208865694352,-0.024812208865694352,-0.024812208865694352,-0.024812208865694352
2024-12-03,-0.021221946693960825,-0.021282164605903042,-0.022401820445932752,-0.0196303775550859,-0.011308443492433207,-0.020806260632604046,-0.01608563123129092,-0.01866736489894738,-0.023749802706644618,-0.026251350158275844,-0.021221946693960825,-0.021221946693960825,-0.021221946693960825,-0.021221946693960825,-0.05089314418945412,-0.021177673107938277,-0.021221946693960825,-0.021221946693960825,-0.021221946693960825,-0.021221946693960825,-0.019435542550305107,-0.021221946693960825,-0.021221946693960825,-0.021221946693960825,-0.021221946693960825
2024-12-04,-0.015127616884751727,-0.015171475355788222,-0.015987937745115866,-0.013970383480031656,-0.02593964924235126,-0.014825007681584124,-0.011406445399156029,-0.0132719976361938,-0.016973382265336734,-0.01880937206037603,-0.015127616884751727,-0.015127616884751727,-0.015127616884751727,-0.015127616884751727,-0.03741223836527585,-0.015095374576124643,-0.015127616884751727,-0.015127616884751727,-0.015127616884751727,-0.015127616884751727,-0.013828976608502352,-0.015127616884751727,-0.015127616884751727,-0.015127616884751727,-0.015127616884751727
2024-12-05,-0.013258055827863768,-0.01329708615529901,-0.01402430383411779,-0.012229470492967631,0.00030158682272385384,-0.012988853953756374,-0.00995913998966691,-0.011609890621009145,-0.014903641679459678,-0.01654665422604462,-0.013258055827863768,-0.013258055827863768,-0.013258055827863768,-0.013258055827863768,-0.033547691659077006,-0.013229365118905934,-0.013258055827863768,-0.013258055827863768,-0.013258055827863768,-0.013258055827863768,-0.012103949142639236,-0.013258055827863768,-0.013258055827863768,-0.013258055827863768,-0.013258055827863768
2024-12-06,0.01810778706473859,0.018161812878778383,0.019169210526326363,0.016685557184185518,0.09568556620887403,0.017735273958437103,0.013556820418085813,0.015830289682867926,0.020389323278674487,0.022674909077690097,0.01810778706473859,0.01810778706473859,0.01810778706473859,0.01810778706473859,0.046781198065288576,0.018068076085325346,0.01810778706473859,0.01810778706473859,0.01810778706473859,0.01810778706473859,-0.0007059332233094739,0.01810778706473859,0.01810778706473859,0.01810778706473859,0.01810778706473859
2024-12-07,0.007436853834487112,0.007458646401092617,0.007864580430019252,0.006862331374088759,-0.039143302215049136,0.007286529047456636,0.005592775271853645,0.006516063832432639,0.008355155406528425,0.00927097862239723,0.007436853834487112,0.007436853834487112,0.007436853834487112,0.007436853834487112,0.018686718902055643,0.0074208340139669815,0.007436853834487112,0.007436853834487112,0.007436853834487112,0.007436853834487112,-0.011069396894158201,0.007436853834487112,0.007436853834487112,0.007436853834487112,0.007436853834487112
2024-12-08,-0.007587832254094984,-0.005848447229370279,-0.007199503481771785,-0.007865004410954946,-0.004003768315007594,-0.008516420213116493,-0.005694129927322211,-0.006641247341433787,-0.008533888914766696,-0.009479421534569266,-0.007587832254094984,-0.007587832254094984,-0.007587832254094984,-0.007587832254094984,-0.01978530641862586,-0.007569416552019925,-0.007587832254094984,-0.007587832254094984,-0.007587832254094984,-0.007587832254094984,-0.002590525402970001,-0.007587832254094984,-0.007587832254094984,-0.007587832254094984,-0.007587832254094984
2024-12-09,-0.05710340173865658,-0.04877134755764667,-0.05318549153142782,-0.06017951579847691,-0.054924111653956276,-0.06473342728560039,-0.04283079887921437,-0.04996737296481446,-0.0642388834511819,-0.07137381634647266,-0.05710340173865658,-0.05710340173865658,-0.05710340173865658,-0.05710340173865658,-0.1559970295668599,-0.05696168907456811,-0.05710340173865658,-0.05710340173865658,-0.05710340173865658,-0.05710340173865658,-0.048796199256336825,-0.05710340173865658,-0.05710340173865658,-0.05710340173865658,-0.05710340173865658
2024-12-10,0.013868487147677522,0.008673341583135485,0.01114671629640962,0.017607229656320555,0.012372015135230896,0.02059463088746094,0.010403192341087664,0.012135994444180564,0.015600668206997348,0.01733253530898282,0.013868487147677522,0.013868487147677522,0.013868487147677522,0.013868487147677522,0.035679463410557055,0.011632226863747652,0.013133702560273797,0.013868487147677522,0.013868487147677522,0.013868487147677522,0.002834855107570089,0.004444407703708686,0.004444407703708686,0.013868487147677522,0.013868487147677522
2024-12-11,0.010344058049998939,0.010931409220490407,0.011696033458068467,0.007621588749588293,0.012245210655911443,-0.00041951488154201577,0.007759012832242895,0.009051616012702324,0.01163633911534534,0.012928459378744428,0.010344058049998939,0.010344058049998939,0.010344058049998939,0.010344058049998939,0.030141974535997207,0.010130693891245546,0.009365832331760915,0.010344058049998939,0.010344058049998939,0.010344058049998939,0.007672276599964167,0.006890967243383672,0.006890967243383672,0.010344058049998939,0.010344058049998939
2024-12-12,-0.00951318620516084,-0.008506241914231771,-0.009231393985732472,-0.009552352151771193,-0.010223396437745502,-0.009607112712555765,-0.007134288582924864,-0.008323688446744582,-0.010702780890755603,-0.011892481026108404,-0.00951318620516084,-0.00951318620516084,-0.00951318620516084,-0.00951318620516084,-0.02697450691233627,-0.009479900704560507,-0.008771458043933533,-0.00951318620516084,-0.00951318620516084,-0.00951318620516084,-0.006157409728789309,-0.006058664510970702,-0.006058664510970702,-0.00951318620516084,-0.00951318620516084
2024-12-13,0.02637836672866012,0.024661780225667895,0.026783771279215607,0.025298772085387444,0.027615928319584482,0.014787860790332008,0.019783665702091335,0.02308100472901775,0.029675753757921974,0.03297316788349769,0.02637836672866012,0.02637836672866012,0.02637836672866012,0.02637836672866012,0.07914364377789274,0.02627994357130148,0.02632143149565236,0.02637836672866012,0.02637836672866012,0.02637836672866012,0.02625569192220456,0.026305711826661415,0.026305711826661415,0.02637836672866012,0.02637836672866012
2024-12-14,-0.023305909779002376,-0.021692464244281506,-0.023510276469244307,-0.021307202355903554,-0.024346278336370042,-0.016209185675619908,-0.017593164953176865,-0.02045879994543276,-0.026134673511484685,-0.02894526790028018,-0.023305909779002376,-0.023305909779002376,-0.023305909779002376,-0.023305909779002376,-0.0663792438490508,-0.023221684951792332,-0.023305099238918103,-0.023305909779002376,-0.023305909779002376,-0.023305909779002376,-0.02325013748838134,-0.023303478154259705,-0.023303478154259705,-0.023305909779002376,-0.023305909779002376
2024-12-15,0.001933517234685933,0.0017966936711626413,0.0019508802209231568,0.0017952619620102972,0.002021982645654008,0.003410213921432037,0.0014510859791445618,0.001692380430625029,0.0021744965457732857,0.0024153185181308157,0.001933517234685933,0.001933517234685933,0.001933517234685933,0.001933517234685933,0.0057610593475492244,0.0019263636107469395,0.0019334483856976448,0.001933517234685933,0.001933517234685933,0.001933517234685933,0.0019287800849812076,0.0019333106876822104,0.0019333106876822104,0.001933517234685933,0.001933517234685933
2024-12-16,-0.014923678183960565,-0.013869511877675045,-0.015057431887941064,-0.014794687623488012,-0.015605112621695172,-0.012285097896809538,-0.011205471537979905,-0.01306563006017425,-0.01677961949875595,-0.018633457585842006,-0.014923678183960565,-0.014923678183960565,-0.014923678183960565,-0.014923678183960565,-0.044296994943149204,-0.014868569742437665,-0.01492314780472137,-0.014923678183960565,-0.014923678183960565,-0.014923678183960565,-0.014887185308447903,-0.014922087045727173,-0.014922087045727173,-0.014923678183960565,-0.014923678183960565
2024-12-17,0.0019492606157365255,0.0018096338180331184,0.001966997974191864,0.0019321594696235511,0.002039677338402379,0.0053763215778086515,0.0014581023004540672,0.001703358244092179,0.0021958119744724947,0.0024430148929110995,0.0019492606157365255,0.0019492606157365255,0.0019492606157365255,0.0019492606157365255,0.005963692283567523,0.0019419539710814337,0.0019491902906241254,0.0019492606157365255,0.0019492606157365255,0.0019492606157365255,0.0019444220555246972,0.001949049640558087,0.001949049640558087,0.0019492606157365255,0.0019492606157365255
