candidate,train_percentile,test_percentile,train_sharpe,test_sharpe
parameter_ensemble_20bps,0.5,0.4375,0.04739192522733882,0.08081396970809918
primary,0.84375,0.75,0.07674456728394118,0.06736134974626247
parameter_ensemble_20bps,0.53125,0.3125,0.07096140341778379,0.06195989551100726
primary,0.75,0.875,0.09404067222889897,0.05001040479557183
parameter_ensemble_20bps,0.59375,0.40625,0.09275153995972449,0.03950082386954072
primary,0.5625,0.75,0.0834903034258227,0.0588068169796592
parameter_ensemble_20bps,0.3125,0.40625,0.08022691811915716,0.050353193941432596
primary,0.71875,0.875,0.07732288299117394,0.06685166647963191
parameter_ensemble_20bps,0.5,0.40625,0.0753055167970752,0.057884270935153304
primary,0.75,0.78125,0.097686710636692,0.04509474616928333
parameter_ensemble_20bps,0.5625,0.40625,0.09506144123773679,0.036193831949047225
primary,0.78125,0.78125,0.08389974978279419,0.059931979486257315
parameter_ensemble_20bps,0.53125,0.25,0.0796103561245111,0.05279401135218367
primary,0.78125,0.65625,0.0780672164553727,0.06777632887336824
parameter_ensemble_20bps,0.53125,0.1875,0.0749795394160658,0.05998959309513191
primary,0.84375,0.5625,0.09921599472719239,0.04706338611486491
parameter_ensemble_20bps,0.5625,0.21875,0.09570662350736643,0.03954857587527344
primary,0.8125,0.75,0.06643023623717095,0.07619749565822292
parameter_ensemble_20bps,0.5,0.4375,0.06115449667430845,0.07033004550680207
primary,0.84375,0.6875,0.08783590104399179,0.05531794420047752
parameter_ensemble_20bps,0.53125,0.375,0.08216222669121545,0.04975704364135631
primary,0.84375,0.59375,0.08235333269781048,0.06362071710586356
parameter_ensemble_20bps,0.5,0.25,0.07775091789885419,0.057262351868382015
primary,0.6875,0.90625,0.09670176642132253,0.05257186915532022
parameter_ensemble_20bps,0.53125,0.4375,0.09194433660626222,0.0457919424461754
primary,0.46875,0.84375,0.08431663623462034,0.0605115356112504
parameter_ensemble_20bps,0.34375,0.4375,0.07751927379114948,0.055709770747216884
primary,0.65625,0.90625,0.0787759986243923,0.06825362024092593
parameter_ensemble_20bps,0.375,0.4375,0.07285441017004951,0.0626024814501261
primary,0.71875,0.9375,0.10032317970092938,0.04802171383823125
parameter_ensemble_20bps,0.5,0.46875,0.09431887548256135,0.042819209919601926
primary,0.8125,0.78125,0.08552127672037121,0.06173381446293899
parameter_ensemble_20bps,0.5,0.4375,0.07731928190158446,0.05792660370847937
primary,0.84375,0.59375,0.08092649331522608,0.06927503859399796
parameter_ensemble_20bps,0.4375,0.21875,0.07340939440750405,0.06456013688489803
primary,0.90625,0.5,0.10317037390021516,0.04989061000069708
parameter_ensemble_20bps,0.46875,0.28125,0.09600398552696203,0.045734990425361055
primary,0.78125,0.84375,0.06654666597880811,0.07696017843772213
parameter_ensemble_20bps,0.5,0.46875,0.05677168604885094,0.07408846823680172
primary,0.84375,0.84375,0.08952991591057669,0.05741829839244356
parameter_ensemble_20bps,0.4375,0.46875,0.0800276832855948,0.05515695087658752
primary,0.84375,0.65625,0.0851983221944991,0.06533854217697015
parameter_ensemble_20bps,0.4375,0.375,0.07633366959043399,0.06203067619060872
primary,0.6875,0.875,0.10637023249647097,0.039888092815015014
parameter_ensemble_20bps,0.53125,0.4375,0.10156149506979761,0.03272669406932008
primary,0.6875,0.9375,0.10377232925969204,0.04939865563718395
parameter_ensemble_20bps,0.5,0.4375,0.10015533772709768,0.04169128838874
primary,0.75,0.875,0.12263067761217715,0.027612743996678527
parameter_ensemble_20bps,0.53125,0.25,0.11888138125369024,0.02028297329025349
primary,0.59375,0.90625,0.0901107846942947,0.05691141285229562
parameter_ensemble_20bps,0.3125,0.40625,0.08430873870101885,0.05107310123218067
primary,0.71875,0.875,0.10968613891460403,0.03478551710867879
parameter_ensemble_20bps,0.46875,0.40625,0.10372589886864984,0.029369968561808305
primary,0.6875,0.84375,0.1071320942548597,0.044872574748566506
parameter_ensemble_20bps,0.5,0.4375,0.10234141290868366,0.038724817440286656
primary,0.75,0.75,0.09220911043540178,0.05835724396463877
parameter_ensemble_20bps,0.5,0.21875,0.08504637719298484,0.053557939736854736
primary,0.78125,0.5625,0.11228738784429072,0.037337394309126394
parameter_ensemble_20bps,0.5,0.25,0.10526730442937651,0.03310720397760035
primary,0.78125,0.53125,0.1112174310172005,0.046901222348941694
parameter_ensemble_20bps,0.5,0.1875,0.10541606326126045,0.041828405802930846
primary,0.78125,0.78125,0.09599487902501139,0.054050140851397505
parameter_ensemble_20bps,0.53125,0.375,0.08759891343549621,0.05078122971115865
