tranches,shift_days,offsets,cost_bps,multiple,cagr,sharpe,max_drawdown
3,4,"4,11,18",20.0,7.3601616510964964,0.5259304356114072,1.2008071375623475,-0.4350893207829898
3,5,"5,12,19",20.0,4.819292615885261,0.39508006138873464,0.9996453650917236,-0.495833857048427
3,6,"6,13,20",20.0,9.701120681866806,0.6178077513839648,1.3152127207086228,-0.3436459726142006
3,7,"7,14,0",20.0,6.056199140449268,0.4642155662257581,1.0677219195352239,-0.4309619204019828
3,8,"8,15,1",20.0,2.478701813318965,0.21189211034823496,0.6728120420770634,-0.4739446880894803
3,9,"9,16,2",20.0,3.063721711967453,0.2674978041539393,0.756340184143962,-0.49199555316823207
3,10,"10,17,3",20.0,5.79181183552802,0.4504432386013313,1.0215855716570368,-0.45399134549846065
3,11,"11,18,4",20.0,7.3601616510964964,0.5259304356114072,1.2008071375623475,-0.4350893207829898
3,12,"12,19,5",20.0,4.819292615885261,0.39508006138873464,0.9996453650917236,-0.495833857048427
3,13,"13,20,6",20.0,9.701120681866806,0.6178077513839648,1.3152127207086228,-0.3436459726142006
3,14,"14,0,7",20.0,6.056199140449268,0.4642155662257581,1.0677219195352239,-0.4309619204019828
3,15,"15,1,8",20.0,2.478701813318965,0.21189211034823496,0.6728120420770634,-0.4739446880894803
3,16,"16,2,9",20.0,3.063721711967453,0.2674978041539393,0.756340184143962,-0.49199555316823207
3,17,"17,3,10",20.0,5.79181183552802,0.4504432386013313,1.0215855716570368,-0.45399134549846065
3,18,"18,4,11",20.0,7.3601616510964964,0.5259304356114072,1.2008071375623475,-0.4350893207829898
3,19,"19,5,12",20.0,4.819292615885261,0.39508006138873464,0.9996453650917236,-0.495833857048427
3,20,"20,6,13",20.0,9.701120681866806,0.6178077513839648,1.3152127207086228,-0.3436459726142006
7,0,"0,3,6,9,12,15,18",20.0,7.523391820102614,0.533033412113596,1.1929030255403594,-0.34189917234449274
7,1,"1,4,7,10,13,16,19",20.0,4.124210889836591,0.3498269142102799,0.9774999901602298,-0.4009580847598615
7,2,"2,5,8,11,14,17,20",20.0,5.05795966131263,0.40942998761559624,1.0524402041000693,-0.3429589514776623
7,3,"3,6,9,12,15,18,0",20.0,7.523391820102614,0.533033412113596,1.1929030255403594,-0.34189917234449274
7,4,"4,7,10,13,16,19,1",20.0,4.124210889836591,0.3498269142102799,0.9774999901602298,-0.4009580847598615
7,5,"5,8,11,14,17,20,2",20.0,5.05795966131263,0.40942998761559624,1.0524402041000693,-0.3429589514776623
7,6,"6,9,12,15,18,0,3",20.0,7.523391820102614,0.533033412113596,1.1929030255403594,-0.34189917234449274
7,7,"7,10,13,16,19,1,4",20.0,4.124210889836591,0.3498269142102799,0.9774999901602298,-0.4009580847598615
7,8,"8,11,14,17,20,2,5",20.0,5.05795966131263,0.40942998761559624,1.0524402041000693,-0.3429589514776623
7,9,"9,12,15,18,0,3,6",20.0,7.523391820102614,0.533033412113596,1.1929030255403594,-0.34189917234449274
7,10,"10,13,16,19,1,4,7",20.0,4.124210889836591,0.3498269142102799,0.9774999901602298,-0.4009580847598615
7,11,"11,14,17,20,2,5,8",20.0,5.05795966131263,0.40942998761559624,1.0524402041000693,-0.3429589514776623
7,12,"12,15,18,0,3,6,9",20.0,7.523391820102614,0.533033412113596,1.1929030255403594,-0.34189917234449274
