,btc_above_ma,tracked_total_mcap_above_ma,bull,tracked_total_market_cap,tracked_alt_market_cap
2023-02-12,False,False,False,43950059477607.82,43513856054742.73
2023-02-13,False,False,False,39375640001693.1,38939484022401.664
2023-02-14,False,False,False,55270403186665.12,54825823670934.38
2023-02-15,False,False,False,60133581662436.555,59646490102314.76
2023-02-16,False,False,False,55268253841229.13,54797156770947.01
2023-02-17,False,False,False,62494557942893.484,62002540458648.92
2023-02-18,False,False,False,63673670597306.89,63180452210115.51
2023-02-19,False,False,False,59210620582554.02,58724423443896.875
2023-02-20,False,False,False,61709027780508.516,61211809319524.266
2023-02-21,False,False,False,68330786360272.61,67841326825328.69
2023-02-22,False,False,False,54789622786697.64,54305439697806.78
2023-02-23,False,False,False,51505105636154.18,51025843466789.71
2023-02-24,False,False,False,49795380024742.27,49331158068780.15
2023-02-25,False,False,False,49749028541902.27,49285228973874.44
2023-02-26,False,False,False,888733587648.1462,417154674826.7649
2023-02-27,False,False,False,49847667394737.5,49377378266494.61
2023-02-28,False,False,False,41904519465912.05,41441349476108.54
2023-03-01,False,False,False,74104388195093.83,73631097510127.38
2023-03-02,False,False,False,70101542086175.984,69631766029153.75
2023-03-03,False,False,False,51485541287670.6,51037911770723.37
2023-03-04,False,False,False,51397539039172.17,50950063463609.52
2023-03-05,False,False,False,51567163146583.48,51118068884368.38
2023-03-06,False,False,False,61695572898219.51,61246945064386.83
2023-03-07,False,False,False,75391037316126.4,74946600331300.52
2023-03-08,False,False,False,72975957931741.75,72541464078999.31
2023-03-09,False,False,False,72844613182186.62,72436829060496.5
2023-03-10,False,False,False,72715306722574.67,72310801011879.72
2023-03-11,False,False,False,67390507416902.266,66977856425326.63
2023-03-12,False,False,False,832303090252.0917,388221031401.31537
2023-03-13,False,False,False,92639781885993.28,92155194826082.81
2023-03-14,False,False,False,99844178477064.69,99348572096665.66
2023-03-15,False,False,False,94103615852238.53,93615725558534.84
2023-03-16,False,False,False,95638621618763.62,95137164464831.22
2023-03-17,False,False,False,84239349265488.19,83690016541134.67
2023-03-18,False,False,False,74973573510557.75,74433608389704.25
2023-03-19,False,False,False,75590718172762.9,75029396837694.39
2023-03-20,True,True,True,94696483476973.95,94139831230142.1
2023-03-21,True,True,True,83335319053481.39,82771038600666.6
2023-03-22,True,True,True,105196091923429.75,104649266101493.81
2023-03-23,True,True,True,108679841388762.0,108112406238574.48
2023-03-24,True,True,True,110748482728019.5,110198117054973.61
2023-03-25,True,True,True,110620598885148.55,110070236815412.05
2023-03-26,True,True,True,112529428232428.03,111969010327097.64
2023-03-27,True,True,True,103631626656598.95,103088207363325.47
2023-03-28,True,True,True,104108944017270.4,103563121116448.6
2023-03-29,True,True,True,102290155702892.81,101722520368850.17
2023-03-30,True,True,True,99970153628912.75,99408823886122.31
2023-03-31,True,True,True,84772644772832.22,84202628852384.58
2023-04-01,True,True,True,81997519389577.66,81427626181833.2
2023-04-02,True,False,False,66729570782304.67,66165295534270.11
2023-04-03,True,True,True,81518983393937.58,80962291310518.55
2023-04-04,True,True,True,90201074126925.73,89637011474145.3
2023-04-05,True,True,True,70411339971755.75,69847220666944.32
2023-04-06,True,False,False,62288970900986.3,61727585507084.14
2023-04-07,True,False,False,59679004358321.75,59119934891439.4
2023-04-08,True,True,True,97333993752439.53,96774401205143.77
2023-04-09,True,True,True,84399824852820.84,83832490194928.6
2023-04-10,True,True,True,82335844218969.84,81742183982843.25
2023-04-11,True,True,True,74991535094126.05,74386450365388.16
2023-04-12,True,True,True,72591579563402.1,71992918534390.92
2023-04-13,True,True,True,71232656436681.66,70623942174466.72
2023-04-14,True,False,False,58769208699582.01,58158813893903.39
2023-04-15,True,True,True,70408038499410.27,69801050022210.25
2023-04-16,True,False,False,67768381169551.88,67161376277275.75
2023-04-17,True,False,False,60595715788099.766,60006247602083.09
2023-04-18,True,False,False,58984973439584.56,58376504002224.42
2023-04-19,True,True,True,68875614567162.49,68298646461610.63
2023-04-20,True,False,False,63227540049329.01,62662058493383.53
2023-04-21,True,False,False,57010999807975.695,56465275197426.734
2023-04-22,True,False,False,59594796357767.18,59037870259421.52
2023-04-23,True,False,False,57610077660276.31,57057633278078.92
2023-04-24,True,False,False,59412581519847.52,58861656933478.15
2023-04-25,True,False,False,65740108560909.25,65173426702568.516
2023-04-26,True,False,False,63048882731695.96,62479702178475.71
2023-04-27,True,False,False,58666691037581.73,58076470160269.83
2023-04-28,True,False,False,62068219159001.65,61480879928284.1
2023-04-29,True,False,False,47145943229783.83,46560381431515.83
2023-04-30,True,False,False,45374662904609.09,44789389170908.6
2023-05-01,True,False,False,42201201653231.41,41638949863604.32
2023-05-02,True,False,False,35028380404934.484,34453958838203.52
2023-05-03,True,False,False,35330925421022.78,34749558475438.67
2023-05-04,True,False,False,39116472450293.03,38538627339271.92
2023-05-05,True,False,False,45393645394281.97,44802131929817.6
2023-05-06,True,False,False,40193673749660.92,39614261999789.7
2023-05-07,True,False,False,41959619715047.97,41387638189326.98
2023-05-08,True,False,False,25271497003712.773,24715317791330.543
