date,walk_forward_switch0bps,walk_forward_switch40bps,equal_weight_candidates,BTC
2023-02-12,-0.0082516202401387,-0.0082516202401387,-0.009960057395500875,-0.00377991650227516
2023-02-13,-0.0118937021555364,-0.0118937021555364,-0.02261901464027641,0.0009132366923336743
2023-02-14,0.027392097677969,0.027392097677969,0.041937517986081585,0.018924268346738105
2023-02-15,0.0428612960608724,0.0428612960608724,0.051525963599883595,0.0939226668526687
2023-02-16,0.0047762955295543,0.0047762955295543,0.01651924241266544,-0.02815415973923374
2023-02-17,0.083984021407586,0.083984021407586,0.10727191536657542,0.039880988247764426
2023-02-18,-0.0277903932958536,-0.0277903932958536,-0.03479716281068687,0.0030805253424341927
2023-02-19,-0.0039880194639907,-0.0039880194639907,-0.005370860995144363,-0.01272804476811551
2023-02-20,0.001220932339657,0.001220932339657,0.0019893461427738374,0.020614653258309135
2023-02-21,-0.0370025311505162,-0.0370025311505162,-0.04225322208615092,-0.01581983772365181
2023-02-22,0.006250366269364,0.006250366269364,0.007918211928044637,-0.010128822940341897
2023-02-23,-0.0115906270986725,-0.0115906270986725,-0.008673580368350161,-0.009977759322793545
2023-02-24,-0.0443641092476661,-0.0443641092476661,-0.055248549766297964,-0.03129200414480027
2023-02-25,-0.0043669258806702,-0.0043669258806702,-0.007229087677045113,-0.0009807624366484635
2023-02-26,0.0152585360279563,0.0152585360279563,0.01616261139510299,0.016648587756958433
2023-02-27,-0.0128152666162247,-0.0128152666162247,-0.012625632283320073,-0.0016272929817011672
2023-02-28,-0.0135683696930016,-0.0135683696930016,-0.01684316277278095,-0.01596397438043795
2023-03-01,0.021742492299739,0.021742492299739,0.02547527164332712,0.021566029637501982
2023-03-02,-0.0181081005679918,-0.0181081005679918,-0.021517480734527163,-0.007235015772380615
2023-03-03,-0.0274874245592551,-0.0274874245592551,-0.030498695717372338,-0.04740214191114356
2023-03-04,-0.0129190013106714,-0.0129190013106714,-0.014517780958497139,-0.0004171797960399459
2023-03-05,0.0088605399008636,0.0088605399008636,0.009061400497630188,0.003675696160577946
2023-03-06,-0.0021620077136407,-0.0021620077136407,-0.002257464385309025,-0.0002565871045638879
2023-03-07,-0.0181666116850332,-0.0181666116850332,-0.02400174841891214,-0.009362047810472784
2023-03-08,0.0020700860600476,0.0020700860600476,0.009046050676584125,-0.02257850830528163
2023-03-09,-0.0444799559105115,-0.0444799559105115,-0.04126369983597928,-0.06239311805125358
2023-03-10,-0.016304319193447,-0.016304319193447,-0.01729956425691751,-0.008632189847698313
2023-03-11,0.0076109108396356,0.0076109108396356,0.00328847454729895,0.022051845687653726
2023-03-12,0.0196114789659484,0.0196114789659484,0.01571035957047219,0.07422983306518849
2023-03-13,0.0107924274419179,0.0107924274419179,0.007058222915009213,0.0917518335076637
2023-03-14,0.0040633422325746,0.0040633422325746,0.0027386609051065253,0.022669321749569926
2023-03-15,-0.0001691313848396,-0.0001691313848396,-0.004272014182237389,-0.014956444855150908
