strategy,regime,annualized_return,annualized_volatility,sharpe,days
ETH_BH__bull_only,bull,1.92213392138011,0.6053109342742496,2.0713415405166034,551
ETH_BH__bull_only,non_bull,-0.28683877675848857,0.1728693241193956,-1.8642870189658447,697
TOP20_EQ__bull_only,bull,1.7740050362518245,0.6196828604521829,1.9586609643376807,551
TOP20_EQ__bull_only,non_bull,-0.31242551774993355,0.1940178463189667,-1.8260969228512496,697
TOP20_MOM_top4_monthly__bull_only,bull,2.038796848066882,0.7079423446993548,1.9198856820248353,551
TOP20_MOM_top4_monthly__bull_only,non_bull,-0.31007309823298457,0.20434205623481394,-1.7063047353042526,697
TOP20_MOM_top4_biweekly__bull_only,bull,2.3565435816381677,0.8078288585498625,1.8996205146845537,551
TOP20_MOM_top4_biweekly__bull_only,non_bull,-0.33918087748835335,0.24544055152953867,-1.5583182295416727,697
TOP20_MOM_top6_monthly__bull_only,bull,1.5186749802419062,0.6494506719612211,1.746097384674826,551
TOP20_MOM_top6_monthly__bull_only,non_bull,-0.3411521606883604,0.21174740184830448,-1.8551303626833926,697
TOP20_MOM_top6_biweekly__bull_only,bull,2.213718459493849,0.7288766701468642,1.9657325231892508,551
TOP20_MOM_top6_biweekly__bull_only,non_bull,-0.3385391816019172,0.24660960992518385,-1.546916381179224,697
TOP20_MOM_top8_monthly__bull_only,bull,1.915776139782214,0.6417719665341255,1.9893717644314788,551
TOP20_MOM_top8_monthly__bull_only,non_bull,-0.3200623433567211,0.201135357393618,-1.8088468947708323,697
TOP20_MOM_top8_biweekly__bull_only,bull,2.6217565615310625,0.6962230261047994,2.1979975137198533,551
TOP20_MOM_top8_biweekly__bull_only,non_bull,-0.3416344627020872,0.2418530883091089,-1.6012697085873446,697
TOP20_SECTOR_top2_monthly__bull_only,bull,0.7904291379792787,0.6452256756426008,1.2249111157374761,551
TOP20_SECTOR_top2_monthly__bull_only,non_bull,-0.2992791702672758,0.2031117915819398,-1.6417689887158944,697
TOP20_SECTOR_top2_biweekly__bull_only,bull,1.6118940892221998,0.7734018040930393,1.6229734404165088,551
TOP20_SECTOR_top2_biweekly__bull_only,non_bull,-0.31519932501385406,0.23470646289071745,-1.4898281680003123,697
TOP20_SECTOR_top3_monthly__bull_only,bull,1.67585188661951,0.6683879260559866,1.8051647582785373,551
TOP20_SECTOR_top3_monthly__bull_only,non_bull,-0.30462560756954005,0.17897427375111097,-1.9356464095276287,697
TOP20_SECTOR_top3_biweekly__bull_only,bull,1.704730617544671,0.700696559851153,1.7693994496254764,551
TOP20_SECTOR_top3_biweekly__bull_only,non_bull,-0.3126281026562914,0.21218060670773287,-1.6569489989555735,697
TOP20_SECTOR_top4_monthly__bull_only,bull,1.2465903652727484,0.6039346278140436,1.6424183283577658,551
TOP20_SECTOR_top4_monthly__bull_only,non_bull,-0.307430573407654,0.18431788010479705,-1.8944243169597128,697
TOP20_SECTOR_top4_biweekly__bull_only,bull,1.7073606004564246,0.6520849847070259,1.8538234266309461,551
TOP20_SECTOR_top4_biweekly__bull_only,non_bull,-0.3258011944021395,0.21880426137147302,-1.6870594328248272,697
