,equity
2024-08-14,2267651.241527476
2024-08-15,2223411.62512095
2024-08-16,2275208.596379278
2024-08-17,2298553.258562586
2024-08-18,2257651.9052822446
2024-08-19,2297257.899661753
2024-08-20,2280380.7601026157
2024-08-21,2363179.784062909
2024-08-22,2332910.848127943
2024-08-23,2475870.733919702
2024-08-24,2479462.3957668687
2024-08-25,2482701.7293786253
2024-08-26,2428061.878528452
2024-08-27,2364442.1468952894
2024-08-28,2367449.0346705564
2024-08-29,2394511.0246479632
2024-08-30,2393007.5807603295
2024-08-31,2359931.8152323877
2024-09-01,2283702.2251040107
2024-09-02,2357087.97582045
2024-09-03,2290439.267135372
2024-09-04,2310189.5219456013
2024-09-05,2237853.533597944
2024-09-06,2149317.0394866294
2024-09-07,2157857.960527457
2024-09-08,2186322.7632337166
2024-09-09,2273415.4340260774
2024-09-10,2296750.886036703
2024-09-11,2285269.1166851805
2024-09-12,2316600.9271789202
2024-09-13,2412528.448456972
2024-09-14,2391216.8883675938
2024-09-15,2356390.26252883
2024-09-16,2319366.1784039186
2024-09-17,2403502.33375958
2024-09-18,2461440.7221422666
2024-09-19,2508765.964757077
2024-09-20,2518649.944856114
2024-09-21,2524694.449334966
2024-09-22,2533630.9125156966
2024-09-23,2523849.7328224303
2024-09-24,2857655.5360486913
2024-09-25,2780378.052372695
2024-09-26,2685014.349112955
2024-09-27,2712965.7793787415
2024-09-28,2762291.832788952
2024-09-29,2879030.159193117
2024-09-30,2906981.589458903
2024-10-01,2879030.159193117
2024-10-02,3040161.9336664714
2024-10-03,3033198.744036441
2024-10-04,3100763.6355736586
2024-10-05,3099015.494083351
2024-10-06,3137245.4985646834
2024-10-07,3106568.0468655387
2024-10-08,3102515.257653466
2024-10-09,3025415.1439743754
2024-10-10,3010192.3720880225
2024-10-11,3121903.2683635973
2024-10-12,3155840.901225702
2024-10-13,3138735.007938502
2024-10-14,3299220.795909907
2024-10-15,3348979.9443761096
2024-10-16,3376446.2512680255
2024-10-17,3366167.2348492914
2024-10-18,3416941.101609454
2024-10-19,3414165.108009
2024-10-20,3446669.0517854956
2024-10-21,3363633.9346990664
2024-10-22,3256859.5911465115
2024-10-23,3263886.681539336
2024-10-24,3308391.5873605637
2024-10-25,3064785.787075951
2024-10-26,3202985.2314681835
2024-10-27,3362265.9470388913
2024-10-28,3767494.8263584864
2024-10-29,4104795.165214103
2024-10-30,3929117.905393469
2024-10-31,3767494.8263584855
2024-11-01,3713620.466680158
2024-11-02,3722989.9205372585
2024-11-03,3530916.1164666987
2024-11-04,3692539.1955016823
2024-11-05,3967934.3622098113
2024-11-06,4591137.880034684
2024-11-07,4514112.726146216
2024-11-08,4717179.040943084
2024-11-09,5113975.288247311
2024-11-10,6486423.484805458
2024-11-11,8213654.2083650315
2024-11-12,8878871.446492705
2024-11-13,9329351.891961621
2024-11-14,8463402.434609456
2024-11-15,8906880.593361238
2024-11-16,8503082.05933988
2024-11-17,8568436.735366458
2024-11-18,8671136.940551082
2024-11-19,8636452.336567212
2024-11-20,9231236.967088187
2024-11-21,9777391.407692352
2024-11-22,12698943.586540667
2024-11-23,19503429.39105422
2024-11-24,20034620.696299367
2024-11-25,17973448.8005946
2024-11-26,16372393.317179648
2024-11-27,18074449.964267977
2024-11-28,18661753.027109444
2024-11-29,20476033.18939041
2024-11-30,19623134.473926365
2024-12-01,20876297.060244147
2024-12-02,20139362.643812496
2024-12-03,20258293.208671413
2024-12-04,20770978.15269223
2024-12-05,20412381.474952534
2024-12-06,21013013.223719273
2024-12-07,21019012.888990957
2024-12-08,21285825.88069124
2024-12-09,20472466.823882483
2024-12-10,20328766.287776507
2024-12-11,21288626.14684762
2024-12-12,21043425.465738826
2024-12-13,21336503.095589038
2024-12-14,21330837.097023766
2024-12-15,21968940.88400972
2024-12-16,22320486.212808143
2024-12-17,22964616.589857448
2024-12-18,20647238.142008554
2024-12-19,20000527.877492584
2024-12-20,20377775.531793565
2024-12-21,19991545.790485416
2024-12-22,19677172.745234597
2024-12-23,20198133.79165024
2024-12-24,20931272.67138284
2024-12-25,21090930.4336347
2024-12-26,20307513.431874327
2024-12-27,19985674.51636362
2024-12-28,20192417.817059148
2024-12-29,19856683.201070797
2024-12-30,19660898.748819456
2024-12-31,19818992.329674914
2025-01-01,20031319.62320539
2025-01-02,20563649.88762178
2025-01-03,20825701.235550553
2025-01-04,20842230.64785512
2025-01-05,20870514.639021546
2025-01-06,21705621.613588642
2025-01-07,20572460.9973193
2025-01-08,20171079.03208548
2025-01-09,19639922.394411813
2025-01-10,20098763.167585798
2025-01-11,20068981.182723958
2025-01-12,20055340.125385217
2025-01-13,20057884.560318194
2025-01-14,21125794.000355676
2025-01-15,21909554.92754472
2025-01-16,21793250.957575228
2025-01-17,22697511.53363317
2025-01-18,22767631.83422692
2025-01-19,22063132.808666628
2025-01-20,22268024.418922435
2025-01-21,23144964.800457697
2025-01-22,22600764.82219564
2025-01-23,22658718.739600133
2025-01-24,22860266.18120813
2025-01-25,22833646.3361405
2025-01-26,22361737.741782814
2025-01-27,22249854.72774826
2025-01-28,22167932.878417853
2025-01-29,22255330.016464654
2025-01-30,22379069.892007
2025-01-31,21879836.677897014
2025-02-01,21495294.291384332
2025-02-02,20861417.39653594
2025-02-03,21669973.118043363
2025-02-04,20888960.066203803
2025-02-05,20640932.24501232
2025-02-06,20626099.746839322
2025-02-07,20619362.750981364
2025-02-08,20607157.553031985
2025-02-09,20609295.70549039
2025-02-10,20817127.969277002
2025-02-11,20458805.519772638
2025-02-12,20905989.358891997
2025-02-13,20640734.813078362
2025-02-14,20827833.219715778
2025-02-15,20846523.195605148
2025-02-16,20533915.72687821
2025-02-17,20460783.45322105
2025-02-18,20426684.393209867
2025-02-19,20642488.466816105
2025-02-20,21006605.509094138
2025-02-21,20537670.810034044
2025-02-22,20629559.27549515
2025-02-23,20564125.13590716
2025-02-24,19552271.201229256
2025-02-25,18926913.163010128
2025-02-26,17969798.447718985
2025-02-27,18082784.155838907
2025-02-28,18011277.377429754
2025-03-01,18380379.83033415
2025-03-02,20137275.97884034
2025-03-03,18403527.63203741
2025-03-04,18637733.317499924
2025-03-05,19354441.547444403
2025-03-06,19209430.833240047
2025-03-07,18533323.638155364
2025-03-08,18417635.89357197
2025-03-09,17241566.51285718
2025-03-10,16780740.068004698
2025-03-11,17711575.609650053
2025-03-12,17870850.51317812
2025-03-13,17318970.77952313
2025-03-14,17941408.908825565
2025-03-15,18018400.92805216
2025-03-16,17637435.146691114
2025-03-17,17947742.140536122
2025-03-18,17668272.538328633
2025-03-19,18557223.310797673
2025-03-20,17980463.48170777
2025-03-21,17955295.026650287
2025-03-22,17907643.065021046
2025-03-23,18389156.642776974
2025-03-24,18694350.059315044
2025-03-25,18410656.168411147
2025-03-26,18056858.758149173
2025-03-27,18625105.510783862
2025-03-28,18099689.95375302
2025-03-29,17608598.02607595
2025-03-30,17589822.707455084
2025-03-31,17553344.21616879
2025-04-01,18116068.15512079
2025-04-02,17542894.45841589
2025-04-03,17685574.007366538
2025-04-04,17835340.345443033
2025-04-05,17759147.220053863
2025-04-06,16662114.825634882
2025-04-07,16828125.903593697
2025-04-08,16213925.133077575
2025-04-09,17560278.37305518
2025-04-10,16915571.740426756
2025-04-11,17730162.728716865
2025-04-12,18131206.924244385
2025-04-13,17803502.79399445
2025-04-14,17983138.324982677
2025-04-15,17783781.435260553
2025-04-16,17866968.35900678
2025-04-17,18061315.70466669
2025-04-18,17958517.989373002
2025-04-19,18086431.46632327
2025-04-20,18108885.110337283
2025-04-21,18608229.91347955
2025-04-22,18523568.60157719
2025-04-23,19513868.151717372
2025-04-24,19233409.67597364
2025-04-25,19161566.506537423
2025-04-26,20086781.14706632
2025-04-27,19146001.918128878
2025-04-28,18595403.754848164
2025-04-29,19578089.485928077
2025-04-30,19543583.414056867
2025-05-01,19682811.106373753
2025-05-02,19414819.831713773
2025-05-03,20577561.891370356
2025-05-04,19527791.483942613
2025-05-05,19145787.822039247
2025-05-06,19968860.38408257
2025-05-07,19433419.02423356
2025-05-08,19358922.98353189
2025-05-09,23340311.328128558
2025-05-10,22906529.827079136
2025-05-11,23949374.521537524
2025-05-12,23323172.9316227
2025-05-13,23065163.22074061
2025-05-14,23749407.33510208
2025-05-15,22779768.1597875
2025-05-16,22316720.533749964
2025-05-17,22052257.936884966
2025-05-18,22092937.85742857
2025-05-19,22591076.12510747
2025-05-20,22912019.609455086
2025-05-21,23422642.229603074
2025-05-22,26617005.977865808
